donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
214I,IPF,cMonocyte,12,957,0.012539184952978056
214I,IPF,ncMonocyte,2,957,0.0020898641588296763
214I,IPF,pDC,1,957,0.0010449320794148381
218C,control,ATI,3,4823,0.0006220194899440182
218C,control,ATII,43,4823,0.008915612689197595
218C,control,B,60,4823,0.012440389798880364
218C,control,B_Plasma,5,4823,0.0010366991499066972
218C,control,Basal,2,4823,0.00041467965996267884
218C,control,Ciliated,160,4823,0.03317437279701431
218C,control,Club,5,4823,0.0010366991499066972
218C,control,DC_Mature,16,4823,0.0033174372797014308
218C,control,Fibroblast,32,4823,0.0066348745594028615
218C,control,Goblet,8,4823,0.0016587186398507154
218C,control,ILC_A,13,4823,0.0026954177897574125
218C,control,ILC_B,5,4823,0.0010366991499066972
218C,control,Lymphatic,22,4823,0.004561476259589467
218C,control,Macrophage,3659,4823,0.7586564379017209
218C,control,Macrophage_Alveolar,160,4823,0.03317437279701431
218C,control,Mast,8,4823,0.0016587186398507154
218C,control,Multiplet,13,4823,0.0026954177897574125
218C,control,Myofibroblast,12,4823,0.002488077959776073
218C,control,NK,189,4823,0.03918722786647315
218C,control,T,202,4823,0.04188264565623056
218C,control,T_Cytotoxic,111,4823,0.023014721127928676
218C,control,T_Regulatory,11,4823,0.0022807381297947336
218C,control,VE_Arterial,3,4823,0.0006220194899440182
218C,control,VE_Capillary_B,1,4823,0.00020733982998133942
218C,control,VE_Venous,6,4823,0.0012440389798880364
218C,control,cDC1,2,4823,0.00041467965996267884
218C,control,cDC2,21,4823,0.0043541364296081275
218C,control,cMonocyte,36,4823,0.0074642338793282186
218C,control,ncMonocyte,15,4823,0.003110097449720091
221I,IPF,ATII,3,5330,0.0005628517823639775
221I,IPF,Aberrant_Basaloid,6,5330,0.001125703564727955
221I,IPF,B,288,5330,0.05403377110694184
221I,IPF,B_Plasma,3,5330,0.0005628517823639775
221I,IPF,Basal,36,5330,0.00675422138836773
221I,IPF,Ciliated,390,5330,0.07317073170731707
221I,IPF,Club,70,5330,0.013133208255159476
221I,IPF,DC_Langerhans,16,5330,0.00300187617260788
221I,IPF,DC_Mature,9,5330,0.0016885553470919325
221I,IPF,Fibroblast,16,5330,0.00300187617260788
221I,IPF,Goblet,42,5330,0.007879924953095686
221I,IPF,ILC_A,6,5330,0.001125703564727955
221I,IPF,ILC_B,7,5330,0.0013133208255159475
221I,IPF,Ionocyte,1,5330,0.0001876172607879925
221I,IPF,Lymphatic,6,5330,0.001125703564727955
221I,IPF,Macrophage,2746,5330,0.5151969981238274
221I,IPF,Macrophage_Alveolar,575,5330,0.10787992495309569
221I,IPF,Mast,22,5330,0.004127579737335835
221I,IPF,Multiplet,139,5330,0.026078799249530958
221I,IPF,Myofibroblast,5,5330,0.0009380863039399625
221I,IPF,NK,269,5330,0.05046904315196998
221I,IPF,PNEC,1,5330,0.0001876172607879925
221I,IPF,Pericyte,1,5330,0.0001876172607879925
221I,IPF,SMC,1,5330,0.0001876172607879925
221I,IPF,T,96,5330,0.01801125703564728
221I,IPF,T_Cytotoxic,81,5330,0.015196998123827393
221I,IPF,T_Regulatory,11,5330,0.0020637898686679174
221I,IPF,VE_Arterial,3,5330,0.0005628517823639775
221I,IPF,VE_Capillary_A,1,5330,0.0001876172607879925
221I,IPF,VE_Peribronchial,8,5330,0.00150093808630394
221I,IPF,VE_Venous,3,5330,0.0005628517823639775
221I,IPF,cDC1,5,5330,0.0009380863039399625
221I,IPF,cDC2,112,5330,0.02101313320825516
221I,IPF,cMonocyte,241,5330,0.04521575984990619
221I,IPF,ncMonocyte,102,5330,0.019136960600375234
221I,IPF,pDC,9,5330,0.0016885553470919325
222C,control,ATI,75,10110,0.00741839762611276
222C,control,ATII,120,10110,0.011869436201780416
222C,control,B,96,10110,0.009495548961424332
222C,control,B_Plasma,25,10110,0.002472799208704253
222C,control,Basal,6,10110,0.0005934718100890207
222C,control,Ciliated,49,10110,0.004846686449060336
222C,control,Club,23,10110,0.002274975272007913
222C,control,DC_Langerhans,1,10110,9.891196834817012e-05
222C,control,DC_Mature,27,10110,0.0026706231454005935
222C,control,Fibroblast,85,10110,0.008407517309594461
222C,control,Goblet,7,10110,0.0006923837784371909
222C,control,ILC_A,46,10110,0.004549950544015826
222C,control,ILC_B,28,10110,0.0027695351137487635
222C,control,Lymphatic,45,10110,0.004451038575667656
222C,control,Macrophage,2583,10110,0.25548961424332345
222C,control,Macrophage_Alveolar,2779,10110,0.2748763600395648
222C,control,Mast,41,10110,0.004055390702274975
222C,control,Mesothelial,1,10110,9.891196834817012e-05
222C,control,Multiplet,111,10110,0.010979228486646885
222C,control,Myofibroblast,52,10110,0.005143422354104847
222C,control,NK,519,10110,0.0513353115727003
222C,control,PNEC,3,10110,0.0002967359050445104
222C,control,Pericyte,7,10110,0.0006923837784371909
222C,control,SMC,21,10110,0.0020771513353115725
222C,control,T,1001,10110,0.0990108803165183
222C,control,T_Cytotoxic,453,10110,0.044807121661721065
222C,control,T_Regulatory,41,10110,0.004055390702274975
222C,control,VE_Arterial,34,10110,0.0033630069238377845
222C,control,VE_Capillary_A,35,10110,0.0034619188921859545
222C,control,VE_Capillary_B,84,10110,0.00830860534124629
222C,control,VE_Peribronchial,14,10110,0.0013847675568743817
222C,control,VE_Venous,16,10110,0.001582591493570722
222C,control,cDC1,44,10110,0.004352126607319486
222C,control,cDC2,131,10110,0.012957467853610287
222C,control,cMonocyte,1452,10110,0.14362017804154303
222C,control,ncMonocyte,55,10110,0.005440158259149357
222I,IPF,ATI,4,8641,0.0004629093854877908
222I,IPF,ATII,11,8641,0.0012730008100914245
222I,IPF,Aberrant_Basaloid,25,8641,0.002893183659298692
222I,IPF,B,376,8641,0.04351348223585233
