donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
010I,IPF,cMonocyte,IL1A,165,1,0.006060606060606,1,671080,0.0113899756824019,GSE136831
010I,IPF,cMonocyte,IL1B,165,93,0.5636363636363636,564,671080,6.928337666560939,GSE136831
010I,IPF,cMonocyte,IL1R1,165,31,0.1878787878787878,43,671080,0.6751404419714064,GSE136831
010I,IPF,cMonocyte,IL1R2,165,120,0.7272727272727273,890,671080,15.201954812596265,GSE136831
010I,IPF,cMonocyte,IL1RAP,165,116,0.703030303030303,311,671080,5.421313133912118,GSE136831
010I,IPF,cMonocyte,IL1RN,165,49,0.296969696969697,108,671080,1.4628317682602092,GSE136831
010I,IPF,cMonocyte,NLRP3,165,125,0.7575757575757576,407,671080,6.995703790921684,GSE136831
010I,IPF,cMonocyte,PYCARD,165,93,0.5636363636363636,181,671080,2.692540641278726,GSE136831
010I,IPF,cMonocyte,SIGIRR,165,19,0.1151515151515151,23,671080,0.3016201269851229,GSE136831
021I,IPF,Ciliated,CASP1,144,3,0.0208333333333333,3,1406338,0.0100730051668065,GSE136831
021I,IPF,Ciliated,GSDMD,144,26,0.1805555555555555,35,1406338,0.3147898662973524,GSE136831
021I,IPF,Ciliated,IL1A,144,1,0.0069444444444444,1,1406338,0.0114784205693296,GSE136831
021I,IPF,Ciliated,IL1B,144,2,0.0138888888888888,2,1406338,0.0380775354056809,GSE136831
021I,IPF,Ciliated,IL1R1,144,47,0.3263888888888889,93,1406338,0.7003342288122932,GSE136831
021I,IPF,Ciliated,IL1R2,144,5,0.0347222222222222,7,1406338,0.0374022786860778,GSE136831
021I,IPF,Ciliated,IL1RAP,144,22,0.1527777777777778,27,1406338,0.1608308005621372,GSE136831
021I,IPF,Ciliated,IL1RN,144,3,0.0208333333333333,3,1406338,0.0234659705690915,GSE136831
021I,IPF,Ciliated,NLRP3,144,9,0.0625,10,1406338,0.0674841504156019,GSE136831
021I,IPF,Ciliated,PYCARD,144,21,0.1458333333333333,25,1406338,0.182917478106923,GSE136831
021I,IPF,Ciliated,SIGIRR,144,48,0.3333333333333333,81,1406338,0.5281332172118276,GSE136831
021I,IPF,Fibroblast,CASP1,120,2,0.0166666666666666,2,1101668,0.0122501347707465,GSE136831
021I,IPF,Fibroblast,GSDMD,120,15,0.125,16,1101668,0.1499524468686268,GSE136831
021I,IPF,Fibroblast,IL1A,120,1,0.0083333333333333,1,1101668,0.004971859276495,GSE136831
021I,IPF,Fibroblast,IL1B,120,2,0.0166666666666666,5,1101668,0.0266410268699188,GSE136831
021I,IPF,Fibroblast,IL1R1,120,111,0.925,681,1101668,7.859616582171025,GSE136831
021I,IPF,Fibroblast,IL1R2,120,10,0.0833333333333333,11,1101668,0.0948786540791801,GSE136831
021I,IPF,Fibroblast,IL1RAP,120,48,0.4,80,1101668,0.7958491773436343,GSE136831
021I,IPF,Fibroblast,IL1RN,120,1,0.0083333333333333,5,1101668,0.0538886014830143,GSE136831
021I,IPF,Fibroblast,NLRP3,120,4,0.0333333333333333,4,1101668,0.0317103160207459,GSE136831
021I,IPF,Fibroblast,PYCARD,120,15,0.125,17,1101668,0.1817125477116819,GSE136831
021I,IPF,Fibroblast,SIGIRR,120,12,0.1,15,1101668,0.1348192932959411,GSE136831
021I,IPF,Lymphatic,CASP1,83,2,0.0240963855421686,3,621696,0.0213920895590404,GSE136831
021I,IPF,Lymphatic,GSDMD,83,24,0.2891566265060241,36,621696,0.3967135420021959,GSE136831
