resource,ligand,receptor,family
consensus,WNT10A,FZD6_LRP6,exploratory
consensus,WNT10A,FZD7_LRP5,exploratory
consensus,WNT10A,FZD7_LRP6,exploratory
consensus,WNT10A,FZD5_LRP5,exploratory
consensus,WNT10A,FZD2_LRP5,exploratory
consensus,WNT10A,FZD8_LRP5,exploratory
consensus,WNT10A,FZD3_LRP5,exploratory
consensus,WNT10A,FZD4_LRP5,exploratory
consensus,WNT10A,FZD10_LRP5,exploratory
consensus,WNT10A,FZD1_LRP5,exploratory
consensus,WNT10A,FZD5_LRP6,exploratory
consensus,WNT10A,FZD2_LRP6,exploratory
consensus,WNT10A,FZD8_LRP6,exploratory
consensus,WNT10A,FZD3_LRP6,exploratory
consensus,WNT10A,FZD4_LRP6,exploratory
consensus,WNT10A,FZD10_LRP6,exploratory
consensus,WNT10A,FZD1_LRP6,exploratory
consensus,WNT8A,FZD9_LRP5,exploratory
consensus,WNT8A,FZD9_LRP6,exploratory
consensus,WNT8A,FZD6_LRP5,exploratory
consensus,WNT8A,FZD6_LRP6,exploratory
consensus,WNT8A,FZD7_LRP5,exploratory
consensus,WNT8A,FZD7_LRP6,exploratory
consensus,WNT8A,FZD5_LRP5,exploratory
consensus,WNT8A,FZD2_LRP5,exploratory
consensus,WNT8A,FZD8_LRP5,exploratory
consensus,WNT8A,FZD3_LRP5,exploratory
consensus,WNT8A,FZD4_LRP5,exploratory
consensus,WNT8A,FZD10_LRP5,exploratory
consensus,WNT8A,FZD1_LRP5,exploratory
consensus,WNT8A,FZD5_LRP6,exploratory
consensus,WNT8A,FZD2_LRP6,exploratory
consensus,WNT8A,FZD8_LRP6,exploratory
consensus,WNT8A,FZD3_LRP6,exploratory
consensus,WNT8A,FZD4_LRP6,exploratory
consensus,WNT8A,FZD10_LRP6,exploratory
consensus,WNT8A,FZD1_LRP6,exploratory
consensus,WNT5B,FZD9_LRP5,exploratory
consensus,WNT5B,FZD9_LRP6,exploratory
consensus,WNT5B,FZD6_LRP5,exploratory
consensus,WNT5B,FZD6_LRP6,exploratory
consensus,WNT5B,FZD7_LRP5,exploratory
consensus,WNT5B,FZD7_LRP6,exploratory
consensus,WNT5B,FZD5_LRP5,exploratory
consensus,WNT5B,FZD2_LRP5,exploratory
consensus,WNT5B,FZD8_LRP5,exploratory
consensus,WNT5B,FZD3_LRP5,exploratory
consensus,WNT5B,FZD10_LRP5,exploratory
consensus,WNT5B,FZD1_LRP5,exploratory
consensus,WNT5B,FZD5_LRP6,exploratory
consensus,WNT5B,FZD2_LRP6,exploratory
consensus,WNT5B,FZD8_LRP6,exploratory
consensus,WNT5B,FZD3_LRP6,exploratory
consensus,WNT5B,FZD10_LRP6,exploratory
consensus,WNT5B,FZD1_LRP6,exploratory
consensus,WNT5B,FZD4,exploratory
consensus,WNT16,FZD9_LRP5,exploratory
consensus,WNT16,FZD9_LRP6,exploratory
consensus,WNT16,FZD6_LRP5,exploratory
consensus,WNT16,FZD6_LRP6,exploratory
consensus,WNT16,FZD7_LRP5,exploratory
consensus,WNT16,FZD7_LRP6,exploratory
consensus,WNT16,FZD5_LRP5,exploratory
consensus,WNT16,FZD2_LRP5,exploratory
consensus,WNT16,FZD8_LRP5,exploratory
consensus,WNT16,FZD3_LRP5,exploratory
consensus,WNT16,FZD4_LRP5,exploratory
consensus,WNT16,FZD10_LRP5,exploratory
consensus,WNT16,FZD1_LRP5,exploratory
consensus,WNT16,FZD5_LRP6,exploratory
consensus,WNT16,FZD2_LRP6,exploratory
consensus,WNT16,FZD8_LRP6,exploratory
consensus,WNT16,FZD3_LRP6,exploratory
consensus,WNT16,FZD4_LRP6,exploratory
consensus,WNT16,FZD10_LRP6,exploratory
consensus,WNT16,FZD1_LRP6,exploratory
consensus,WNT6,FZD9_LRP5,exploratory
consensus,WNT6,FZD9_LRP6,exploratory
consensus,WNT6,FZD6_LRP5,exploratory
consensus,WNT6,FZD6_LRP6,exploratory
consensus,WNT6,FZD7_LRP5,exploratory
consensus,WNT6,FZD7_LRP6,exploratory
consensus,WNT6,FZD5_LRP5,exploratory
consensus,WNT6,FZD2_LRP5,exploratory
consensus,WNT6,FZD8_LRP5,exploratory
consensus,WNT6,FZD3_LRP5,exploratory
consensus,WNT6,FZD4_LRP5,exploratory
consensus,WNT6,FZD10_LRP5,exploratory
consensus,WNT6,FZD1_LRP5,exploratory
consensus,WNT6,FZD5_LRP6,exploratory
consensus,WNT6,FZD2_LRP6,exploratory
consensus,WNT6,FZD8_LRP6,exploratory
consensus,WNT6,FZD3_LRP6,exploratory
consensus,WNT6,FZD4_LRP6,exploratory
consensus,WNT6,FZD10_LRP6,exploratory
consensus,WNT6,FZD1_LRP6,exploratory
consensus,CCL2,ACKR2,exploratory
consensus,WNT5A,FZD1,exploratory
consensus,CXCL2,DPP4,exploratory
consensus,CXCL12,DPP4,exploratory
consensus,TGFB1,ENG,core
consensus,HBEGF,CD9,core
consensus,HBEGF,CD82,core
consensus,TGFB1,CAV1,core
consensus,WNT5A,VANGL2,exploratory
consensus,WNT11,KLRG2,exploratory
consensus,WNT7B,TMED5,exploratory
consensus,WNT5B,KLRG2,exploratory
consensus,CXCL12,SDC4,exploratory
consensus,VEGFA,GRIN2B,exploratory
consensus,VEGFA,CD44,exploratory
consensus,TGFB1,LPP,core
consensus,WNT7B,ADGRA2,exploratory
consensus,WNT7A,ADGRA2,exploratory
cellchatdb,WNT5A,FZD2,exploratory
cellchatdb,WNT5A,FZD5,exploratory
cellchatdb,IL1B,IL1R2,core
cellchatdb,AREG,EGFR,core
cellchatdb,HBEGF,EGFR,core
cellchatdb,WNT5A,FZD4,exploratory
cellchatdb,FGF7,FGFR2,exploratory
cellchatdb,FGF10,FGFR2,exploratory
cellchatdb,HBEGF,ERBB4,core
cellchatdb,CXCL12,ACKR3,exploratory
cellchatdb,CCL2,CCR2,exploratory
cellchatdb,CXCL1,CXCR2,exploratory
cellchatdb,CXCL2,CXCR2,exploratory
cellchatdb,CXCL12,CXCR4,exploratory
cellchatdb,VEGFA,FLT1,exploratory
cellchatdb,WNT5A,FZD6,exploratory
cellchatdb,VEGFA,KDR,exploratory
cellchatdb,WNT5B,FZD6,exploratory
cellchatdb,WNT5B,FZD3,exploratory
cellchatdb,WNT11,FZD6,exploratory
cellchatdb,WNT11,FZD7,exploratory
cellchatdb,WNT11,FZD3,exploratory
cellchatdb,WNT5A,FZD3,exploratory
cellchatdb,CCL2,ACKR1,exploratory
cellchatdb,CCL2,ACKR2,exploratory
cellchatdb,CXCL1,ACKR1,exploratory
cellchatdb,CXCL2,ACKR1,exploratory
cellchatdb,IL1A,IL1R1_IL1RAP,core
cellchatdb,IL1B,IL1R1_IL1RAP,core
cellchatdb,TGFB1,TGFBR1_TGFBR2,core
cellchatdb,VEGFA,FLT1_KDR,exploratory
cellchatdb,IL1A,IL1R2,core
cellchatdb,WNT5A,FZD1,exploratory
cellchatdb,WNT5A,FZD9,exploratory
cellchatdb,WNT5A,FZD7,exploratory
cellchatdb,WNT5A,FZD8,exploratory
cellchatdb,FGF10,FGFR1,exploratory
cellchatdb,FGF7,FGFR1,exploratory
cellchatdb,WNT5A,MCAM,exploratory
cellchatdb,CXCL2,CXCR1,exploratory
cellchatdb,CXCL1,CXCR1,exploratory
