gene	gene_group	mark	contrast	half_width_bp	replicate	total_tss	alternative_tss	eligible_tss	held_tss	eligible_alternatives	baseline_eligible	baseline_effect	minimum_effect	maximum_effect	effect_span	direction_changes	direction_comparisons	max_abs_change
CAV1	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT1	3	2	3	0	2	True	-0.37616603631993417	-0.3846867476297753	-0.3689363955683338	0.015750352061441486	0	2	0.008520711309841111
CAV1	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT1	3	2	3	0	2	True	-2.2980535795305483	-2.506895802810939	-2.28670654077695	0.22018926203398914	0	2	0.20884222328039082
CAV1	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT1	3	2	3	0	2	True	-0.5407284766516938	-0.5612180233607864	-0.5395134766075982	0.021704546753188225	0	2	0.020489546709092643
CAV1	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT1	3	2	3	0	2	True	-2.3500249512469433	-2.3500249512469433	-2.279885754567824	0.07013919667911939	0	2	0.07013919667911939
AQP5	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	0.7311685952691018	0.7311685952691018	0.7311685952691018	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	0.10316781203727285	0.10316781203727285	0.10316781203727285	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	0.00856740419504981	0.00856740419504981	0.00856740419504981	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-0.4631926526299166	-0.4631926526299166	-0.4631926526299166	0.0	0	0	
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	3	2	3	0	2	True	0.39803413010889344	-1.375409461066757	0.39803413010889344	1.7734435911756505	1	2	1.7734435911756505
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	3	2	3	0	2	True	-0.8715245223963901	-0.9776076094850628	-0.5549321856079654	0.42267542387709733	0	2	0.3165923367884247
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	3	2	3	0	2	True	0.18779178819958275	-0.3087440554421912	0.18779178819958275	0.49653584364177394	2	2	0.49653584364177394
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	3	2	3	0	2	True	-1.4279670019079092	-1.4279670019079092	-0.5789373561083124	0.8490296457995967	0	2	0.8490296457995967
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.9443041740885114	-0.9443041740885114	-0.9443041740885114	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-2.375245240727417	-2.375245240727417	-2.375245240727417	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-0.37671066913987605	-0.37671066913987605	-0.37671066913987605	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-1.0516964059232734	-1.0516964059232734	-1.0516964059232734	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.7507335665541315	-0.7507335665541315	-0.7507335665541315	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-1.7492002097119825	-1.7492002097119825	-1.7492002097119825	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-0.3100919220706744	-0.3100919220706744	-0.3100919220706744	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-1.0286438217461957	-1.0286438217461957	-1.0286438217461957	0.0	0	0	
CDKN1A	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	2	1	2	0	1	True	0.8374601501951453	-0.654268202789499	0.8374601501951453	1.4917283529846443	1	1	1.4917283529846443
CDKN1A	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	2	1	2	0	1	True	0.264579641695299	-1.1469691449783581	0.264579641695299	1.4115487866736571	1	1	1.4115487866736571
CDKN1A	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	2	1	2	0	1	True	-0.13692426926905021	-0.13692426926905021	-0.0923123668691277	0.04461190239992252	0	1	0.04461190239992252
CDKN1A	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	2	1	2	0	1	True	-0.5690458511669405	-0.7728650784505788	-0.5690458511669405	0.20381922728363833	0	1	0.20381922728363833
SFN	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.41014989246184275	-0.41014989246184275	-0.41014989246184275	0.0	0	0	
SFN	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-0.5559576650038052	-0.5559576650038052	-0.5559576650038052	0.0	0	0	
SFN	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-0.3999085948047607	-0.3999085948047607	-0.3999085948047607	0.0	0	0	
SFN	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-0.8164798450443456	-0.8164798450443456	-0.8164798450443456	0.0	0	0	
ITGB6	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	0.6291526219074539	0.6291526219074539	0.6291526219074539	0.0	0	0	
ITGB6	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-0.718156888577461	-0.718156888577461	-0.718156888577461	0.0	0	0	
ITGB6	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	0.8697025900058613	0.8697025900058613	0.8697025900058613	0.0	0	0	
ITGB6	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-0.784336270393224	-0.784336270393224	-0.784336270393224	0.0	0	0	
KRT17	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	1.2705973134932158	1.2705973134932158	1.2705973134932158	0.0	0	0	
KRT17	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	0.39734195911941006	0.39734195911941006	0.39734195911941006	0.0	0	0	
KRT17	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	1.8092906919730858	1.8092906919730858	1.8092906919730858	0.0	0	0	
KRT17	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	1.313553476661439	1.313553476661439	1.313553476661439	0.0	0	0	
TP63	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	3	2	2	1	2	False		0.5842572174449616	3.5332322474646665	2.948975030019705	0	0	
TP63	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	3	2	3	0	2	True	-2.203361949605002	-2.203361949605002	1.874736043427731	4.078097993032733	2	2	4.078097993032733
TP63	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	3	2	3	0	2	True	0.10123358778451941	0.10123358778451941	3.2071057696250778	3.1058721818405584	0	2	3.1058721818405584
TP63	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	3	2	3	0	2	True	-1.9813980333724248	-1.9813980333724248	3.4316528177780574	5.413050851150482	2	2	5.413050851150482
COL1A1	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	0.4227318397408266	0.4227318397408266	0.4227318397408266	0.0	0	0	
COL1A1	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-0.42263144615944204	-0.42263144615944204	-0.42263144615944204	0.0	0	0	
COL1A1	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	0.7835553906263775	0.7835553906263775	0.7835553906263775	0.0	0	0	
COL1A1	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	0.15944828272419942	0.15944828272419942	0.15944828272419942	0.0	0	0	
ATF3	regulators	H3K27ac	iATCs_minus_iAT2	1000	CUT1	5	4	5	0	4	True	-1.2797060505865399	-1.2797060505865399	3.920020389170977	5.199726439757517	2	4	5.199726439757517
ATF3	regulators	H3K27ac	iATCs_minus_iAT1	1000	CUT1	5	4	5	0	4	True	-1.608428299401077	-1.608428299401077	-0.036761193682692817	1.5716671057183842	0	4	1.5716671057183842
ATF3	regulators	H3K27ac	iATCs_minus_iAT2	5000	CUT1	5	4	5	0	4	True	-1.8549045648664955	-1.8549045648664955	0.0057174093263342995	1.8606219741928298	1	4	1.8606219741928298
ATF3	regulators	H3K27ac	iATCs_minus_iAT1	5000	CUT1	5	4	5	0	4	True	-0.4230517028193743	-2.12539297290495	-0.4230517028193743	1.7023412700855758	0	4	1.7023412700855758
HNF1B	regulators	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.6002701399561348	-0.6002701399561348	-0.6002701399561348	0.0	0	0	
HNF1B	regulators	H3K27ac	iATCs_minus_iAT1	1000	CUT1	1	0	1	0	0	True	-2.1185990208988343	-2.1185990208988343	-2.1185990208988343	0.0	0	0	
HNF1B	regulators	H3K27ac	iATCs_minus_iAT2	5000	CUT1	1	0	1	0	0	True	-1.1484046092447988	-1.1484046092447988	-1.1484046092447988	0.0	0	0	
HNF1B	regulators	H3K27ac	iATCs_minus_iAT1	5000	CUT1	1	0	1	0	0	True	-1.2579026113275997	-1.2579026113275997	-1.2579026113275997	0.0	0	0	
TP53	regulators	H3K27ac	iATCs_minus_iAT2	1000	CUT1	2	1	2	0	1	True	-0.4273579428442065	-3.0896528529404916	-0.4273579428442065	2.662294910096285	0	1	2.662294910096285
TP53	regulators	H3K27ac	iATCs_minus_iAT1	1000	CUT1	2	1	2	0	1	True	-0.7765809781979613	-0.7765809781979613	-0.1938857104656826	0.5826952677322788	0	1	0.5826952677322788
TP53	regulators	H3K27ac	iATCs_minus_iAT2	5000	CUT1	2	1	2	0	1	True	-0.29166262580509184	-1.6324544702528134	-0.29166262580509184	1.3407918444477216	0	1	1.3407918444477216
TP53	regulators	H3K27ac	iATCs_minus_iAT1	5000	CUT1	2	1	2	0	1	True	-1.0295350240080894	-1.0295350240080894	-0.9371900712578789	0.09234495275021048	0	1	0.09234495275021048
CEBPA	regulators	H3K27ac	iATCs_minus_iAT2	1000	CUT1	1	0	1	0	0	True	-0.09035059690901726	-0.09035059690901726	-0.09035059690901726	0.0	0	0	
