donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
THD0001,control,AT2,CASP1,1219,107,0.0877768662838392,112,16705137,0.0646930895234762,GSE135893
THD0001,control,AT2,GSDMD,1219,335,0.2748154224774405,409,16705137,0.2386530943257738,GSE135893
THD0001,control,AT2,IL1A,1219,0,0.0,0,16705137,0.0,GSE135893
THD0001,control,AT2,IL1B,1219,12,0.0098441345365053,12,16705137,0.0087297508750998,GSE135893
THD0001,control,AT2,IL1R1,1219,518,0.4249384741591468,793,16705137,0.4951760142224028,GSE135893
THD0001,control,AT2,IL1R2,1219,23,0.0188679245283018,26,16705137,0.0170215795662595,GSE135893
THD0001,control,AT2,IL1RAP,1219,83,0.0680885972108285,88,16705137,0.0561979966688707,GSE135893
THD0001,control,AT2,IL1RN,1219,1,0.0008203445447087,1,16705137,0.0016552553363776,GSE135893
THD0001,control,AT2,NLRP3,1219,5,0.0041017227235438,5,16705137,0.0024567411305454,GSE135893
THD0001,control,AT2,PYCARD,1219,229,0.1878589007383101,273,16705137,0.1587521188235965,GSE135893
THD0001,control,AT2,SIGIRR,1219,506,0.4150943396226415,714,16705137,0.4127663666306497,GSE135893
THD0001,control,Endothelial Cells,CASP1,62,14,0.2258064516129032,18,405024,0.3663741210220408,GSE135893
THD0001,control,Endothelial Cells,GSDMD,62,31,0.5,48,405024,1.238326354390007,GSE135893
THD0001,control,Endothelial Cells,IL1A,62,0,0.0,0,405024,0.0,GSE135893
THD0001,control,Endothelial Cells,IL1B,62,1,0.0161290322580645,1,405024,0.0259768598132783,GSE135893
THD0001,control,Endothelial Cells,IL1R1,62,28,0.4516129032258064,65,405024,1.4830684914227732,GSE135893
THD0001,control,Endothelial Cells,IL1R2,62,2,0.032258064516129,2,405024,0.0538954336895962,GSE135893
THD0001,control,Endothelial Cells,IL1RAP,62,4,0.064516129032258,4,405024,0.1603324376837854,GSE135893
THD0001,control,Endothelial Cells,IL1RN,62,0,0.0,0,405024,0.0,GSE135893
THD0001,control,Endothelial Cells,NLRP3,62,0,0.0,0,405024,0.0,GSE135893
THD0001,control,Endothelial Cells,PYCARD,62,20,0.3225806451612903,24,405024,0.6875628503575751,GSE135893
THD0001,control,Endothelial Cells,SIGIRR,62,35,0.5645161290322581,59,405024,1.5049965921254955,GSE135893
THD0001,control,Macrophages,CASP1,292,111,0.3801369863013699,170,3158898,0.5407478402655869,GSE135893
THD0001,control,Macrophages,GSDMD,292,57,0.1952054794520548,70,3158898,0.229484429922909,GSE135893
THD0001,control,Macrophages,IL1A,292,11,0.0376712328767123,15,3158898,0.0545587372080378,GSE135893
THD0001,control,Macrophages,IL1B,292,70,0.2397260273972602,566,3158898,1.920280524733194,GSE135893
