config,donor,disease,source,target
all_cells_primary,THD0001,control,Macrophages,AT2
all_cells_primary,THD0002,control,Macrophages,AT2
all_cells_primary,TILD001,IPF,HAS1 High Fibroblasts,Macrophages
all_cells_primary,TILD001,IPF,Macrophages,HAS1 High Fibroblasts
all_cells_primary,TILD001,IPF,Macrophages,Myofibroblasts
all_cells_primary,TILD001,IPF,Macrophages,PLIN2+ Fibroblasts
all_cells_primary,TILD001,IPF,Myofibroblasts,Macrophages
all_cells_primary,TILD001,IPF,PLIN2+ Fibroblasts,Macrophages
all_cells_primary,TILD006,IPF,Macrophages,Myofibroblasts
all_cells_primary,TILD006,IPF,Myofibroblasts,Macrophages
all_cells_primary,TILD006,IPF,Myofibroblasts,Proliferating Macrophages
all_cells_primary,TILD006,IPF,Proliferating Macrophages,Myofibroblasts
all_cells_primary,TILD015,IPF,Macrophages,Myofibroblasts
all_cells_primary,TILD015,IPF,Myofibroblasts,Macrophages
all_cells_primary,TILD028,IPF,AT2,Myofibroblasts
all_cells_primary,TILD028,IPF,Macrophages,AT2
all_cells_primary,TILD028,IPF,Macrophages,Myofibroblasts
all_cells_primary,TILD028,IPF,Myofibroblasts,AT2
all_cells_primary,TILD028,IPF,Myofibroblasts,Macrophages
all_cells_primary,VUHD65,control,Macrophages,AT2
all_cells_primary,VUHD66,control,AT2,Fibroblasts
all_cells_primary,VUHD66,control,AT2,Myofibroblasts
all_cells_primary,VUHD66,control,Fibroblasts,AT2
all_cells_primary,VUHD66,control,Fibroblasts,Macrophages
all_cells_primary,VUHD66,control,Macrophages,AT2
all_cells_primary,VUHD66,control,Macrophages,Fibroblasts
all_cells_primary,VUHD66,control,Macrophages,Myofibroblasts
all_cells_primary,VUHD66,control,Myofibroblasts,AT2
all_cells_primary,VUHD66,control,Myofibroblasts,Macrophages
all_cells_primary,VUHD67,control,Macrophages,AT2
all_cells_primary,VUHD071,control,Macrophages,AT2
all_cells_primary,VUILD53,IPF,Macrophages,AT2
all_cells_primary,VUILD59,IPF,AT2,Myofibroblasts
all_cells_primary,VUILD59,IPF,AT2,PLIN2+ Fibroblasts
all_cells_primary,VUILD59,IPF,Macrophages,AT2
all_cells_primary,VUILD59,IPF,Macrophages,Myofibroblasts
all_cells_primary,VUILD59,IPF,Macrophages,PLIN2+ Fibroblasts
all_cells_primary,VUILD59,IPF,Myofibroblasts,AT2
all_cells_primary,VUILD59,IPF,Myofibroblasts,Macrophages
all_cells_primary,VUILD59,IPF,Myofibroblasts,Proliferating Macrophages
all_cells_primary,VUILD59,IPF,PLIN2+ Fibroblasts,AT2
all_cells_primary,VUILD59,IPF,PLIN2+ Fibroblasts,Macrophages
all_cells_primary,VUILD59,IPF,PLIN2+ Fibroblasts,Proliferating Macrophages
all_cells_primary,VUILD59,IPF,Proliferating Macrophages,AT2
all_cells_primary,VUILD59,IPF,Proliferating Macrophages,Myofibroblasts
all_cells_primary,VUILD59,IPF,Proliferating Macrophages,PLIN2+ Fibroblasts
all_cells_primary,VUILD60,IPF,Macrophages,AT2
all_cells_primary,VUILD60,IPF,Proliferating Macrophages,AT2
all_cells_primary,VUILD61,IPF,Macrophages,AT2
all_cells_primary,VUILD63,IPF,Macrophages,AT2
all_cells_primary,VUILD64,IPF,Macrophages,AT2
all_cells_primary,VUILD65,IPF,Macrophages,AT2
cap500_seed1,THD0001,control,Macrophages,AT2
cap500_seed1,THD0002,control,Macrophages,AT2
cap500_seed1,TILD001,IPF,HAS1 High Fibroblasts,Macrophages
cap500_seed1,TILD001,IPF,Macrophages,HAS1 High Fibroblasts
cap500_seed1,TILD001,IPF,Macrophages,Myofibroblasts
cap500_seed1,TILD001,IPF,Macrophages,PLIN2+ Fibroblasts
cap500_seed1,TILD001,IPF,Myofibroblasts,Macrophages
