config,donor,disease,resource,cells,pairs,retained_edges
all_cells_primary,THD0001,control,consensus,1511,1,28
all_cells_primary,THD0001,control,cellchatdb,1511,1,9
all_cells_primary,THD0002,control,consensus,1792,1,23
all_cells_primary,THD0002,control,cellchatdb,1792,1,7
all_cells_primary,TILD001,IPF,consensus,1493,6,199
all_cells_primary,TILD001,IPF,cellchatdb,1493,6,40
all_cells_primary,TILD006,IPF,consensus,2317,4,54
all_cells_primary,TILD006,IPF,cellchatdb,2317,4,3
all_cells_primary,TILD015,IPF,consensus,2516,2,61
all_cells_primary,TILD015,IPF,cellchatdb,2516,2,13
all_cells_primary,TILD028,IPF,consensus,1964,5,145
all_cells_primary,TILD028,IPF,cellchatdb,1964,5,43
all_cells_primary,VUHD65,control,consensus,1119,1,25
all_cells_primary,VUHD65,control,cellchatdb,1119,1,8
all_cells_primary,VUHD66,control,consensus,786,9,197
all_cells_primary,VUHD66,control,cellchatdb,786,9,44
all_cells_primary,VUHD67,control,consensus,3193,1,19
all_cells_primary,VUHD67,control,cellchatdb,3193,1,7
all_cells_primary,VUHD071,control,consensus,2021,1,4
all_cells_primary,VUHD071,control,cellchatdb,2021,1,0
all_cells_primary,VUILD53,IPF,consensus,489,1,24
all_cells_primary,VUILD53,IPF,cellchatdb,489,1,8
all_cells_primary,VUILD59,IPF,consensus,8281,14,309
all_cells_primary,VUILD59,IPF,cellchatdb,8281,14,62
all_cells_primary,VUILD60,IPF,consensus,1199,2,27
all_cells_primary,VUILD60,IPF,cellchatdb,1199,2,10
all_cells_primary,VUILD61,IPF,consensus,1366,1,17
all_cells_primary,VUILD61,IPF,cellchatdb,1366,1,5
all_cells_primary,VUILD63,IPF,consensus,421,1,7
all_cells_primary,VUILD63,IPF,cellchatdb,421,1,0
all_cells_primary,VUILD64,IPF,consensus,563,1,19
all_cells_primary,VUILD64,IPF,cellchatdb,563,1,4
all_cells_primary,VUILD65,IPF,consensus,873,1,20
all_cells_primary,VUILD65,IPF,cellchatdb,873,1,7
cap500_seed1,THD0001,control,consensus,792,1,28
cap500_seed1,THD0001,control,cellchatdb,792,1,9
cap500_seed1,THD0002,control,consensus,1000,1,23
cap500_seed1,THD0002,control,cellchatdb,1000,1,7
cap500_seed1,TILD001,IPF,consensus,1163,6,198
cap500_seed1,TILD001,IPF,cellchatdb,1163,6,39
cap500_seed1,TILD006,IPF,consensus,695,4,54
cap500_seed1,TILD006,IPF,cellchatdb,695,4,3
cap500_seed1,TILD015,IPF,consensus,594,2,62
cap500_seed1,TILD015,IPF,cellchatdb,594,2,15
cap500_seed1,TILD028,IPF,consensus,665,5,148
cap500_seed1,TILD028,IPF,cellchatdb,665,5,44
cap500_seed1,VUHD65,control,consensus,828,1,25
cap500_seed1,VUHD65,control,cellchatdb,828,1,8
cap500_seed1,VUHD66,control,consensus,782,9,207
cap500_seed1,VUHD66,control,cellchatdb,782,9,50
cap500_seed1,VUHD67,control,consensus,1000,1,21
cap500_seed1,VUHD67,control,cellchatdb,1000,1,9
cap500_seed1,VUHD071,control,consensus,598,1,4
cap500_seed1,VUHD071,control,cellchatdb,598,1,0
cap500_seed1,VUILD53,IPF,consensus,489,1,24
cap500_seed1,VUILD53,IPF,cellchatdb,489,1,8
cap500_seed1,VUILD59,IPF,consensus,2071,14,314
cap500_seed1,VUILD59,IPF,cellchatdb,2071,14,64
cap500_seed1,VUILD60,IPF,consensus,688,2,28
cap500_seed1,VUILD60,IPF,cellchatdb,688,2,10
cap500_seed1,VUILD61,IPF,consensus,895,1,17
cap500_seed1,VUILD61,IPF,cellchatdb,895,1,5
cap500_seed1,VUILD63,IPF,consensus,421,1,7
cap500_seed1,VUILD63,IPF,cellchatdb,421,1,0
cap500_seed1,VUILD64,IPF,consensus,563,1,19
