logFC	logCPM	F	PValue	FDR	feature_id	contrast	FDR_all_three
1.29183249604388	1.4166846448403	18.8894954509095	0.000162577020590826	0.000702463116537805	19888	WT_positive_minus_negative	0.000704934313190768
3.43075372218355	-0.571850171690334	33.498529243084	2.08682915415555e-06	1.42388923288819e-05	20671	WT_positive_minus_negative	1.46313787419239e-05
0.155561829770669	3.66209715229196	1.74378238730601	0.197245187676193	0.304674597509588	27395	WT_positive_minus_negative	0.30322563479479
-0.184161710136457	5.29582484786175	7.57785463459517	0.0102045105982484	0.0267680788575523	18777	WT_positive_minus_negative	0.0261247145158545
-0.0819979818958493	4.93640312099515	1.05800817343861	0.312385136995524	0.433461615598511	21399	WT_positive_minus_negative	0.433500383295103
-0.0902204854078105	6.35279695151463	2.80155610537231	0.105196745854827	0.185903143593955	108664	WT_positive_minus_negative	0.183328271286053
-0.0466646815885837	6.58464246825754	0.897069351826199	0.35158992720326	0.472604115956492	12421	WT_positive_minus_negative	0.473739591601267
0.184485956037501	2.74693978983016	1.70405736230047	0.202276614368525	0.310806491240051	620393	WT_positive_minus_negative	0.309193873821953
-0.129702635417638	6.26371970814862	6.48664119191195	0.0165869599054287	0.0403517199580795	319263	WT_positive_minus_negative	0.0393622130857962
0.0287228984383948	3.28330293562448	0.0313372018036984	0.860751614802597	0.905487699664033	59014	WT_positive_minus_negative	0.906046135678327
0.099000942862971	1.84157618908041	0.278766403360804	0.601628969514882	0.702927341189225	76187	WT_positive_minus_negative	0.703580767102448
1.05390766646868	1.10275694974951	18.7580244568829	0.000169063582811223	0.000727855313789937	17864	WT_positive_minus_negative	0.000729406956409009
-0.0444373847510394	5.98566637435512	0.671792288453687	0.419279942034422	0.538538707003815	70675	WT_positive_minus_negative	0.540417642515873
0.132358307858026	2.72944551640854	0.92494530941479	0.34432957969361	0.465252590161672	170755	WT_positive_minus_negative	0.466319085146727
-0.0330359741149626	1.55049195397367	0.0244318606351535	0.876901436558608	0.91740291886207	620986	WT_positive_minus_negative	0.918116176481922
0.443866036466954	1.39695315695651	2.4526123973314	0.128455177790276	0.217778686472238	73824	WT_positive_minus_negative	0.215199986171739
-0.0830106002176058	1.16815752253859	0.190541762952171	0.665783658967467	0.757908969371916	100038398	WT_positive_minus_negative	0.756613714785587
-0.711776475823825	-0.495643900352612	3.36198398929885	0.0767854471338237	0.144763426212443	100039596	WT_positive_minus_negative	0.141861837395722
-0.0367236008762538	5.79221470009781	0.200716669984777	0.657555514306544	0.750635032370537	26754	WT_positive_minus_negative	0.749810955095513
0.179648411794119	4.77655389802229	5.22143843938942	0.0300059489040203	0.0664249255521157	211660	WT_positive_minus_negative	0.0650028812577064
-0.054538888119697	7.79766055779772	2.04507849632986	0.163652131218465	0.262778091608096	211673	WT_positive_minus_negative	0.261308980651658
2.80480483600691	5.0053713190176	233.000445119031	4.44066987758973e-08	4.42811271341146e-07	109294	WT_positive_minus_negative	4.68549889050633e-07
1.67518248703291	-0.219029938400856	13.810733681716	0.000845574463215915	0.00303913212213531	320492	WT_positive_minus_negative	0.00301908415385245
2.57254954191286	3.36350473284519	255.080033425951	1.09531019185966e-15	8.85147548796585e-14	240725	WT_positive_minus_negative	9.09643508231066e-14
3.44631787541341	-0.088208941072891	46.142046322681	1.29746977750497e-07	1.16367289409058e-06	240726	WT_positive_minus_negative	1.2156727697927e-06
0.018863402361028	6.71450657690247	0.174353668401737	0.679423546213305	0.769652897937186	17978	WT_positive_minus_negative	0.768287999930447
-0.154158177007283	7.93993269944672	13.0047757218959	0.00118187501520806	0.00409367824169909	72265	WT_positive_minus_negative	0.0040513968781136
-0.209134033885573	6.0157440240786	12.887130638609	0.00123376607193642	0.00424083171736055	212442	WT_positive_minus_negative	0.00420419788554147
-0.241732983335531	3.98331269533462	6.63858720573105	0.0154818652640522	0.0381477880636865	14048	WT_positive_minus_negative	0.0371766151557937
0.111830447641006	2.71474306457912	0.724475847173862	0.401827775689676	0.52239201435888	21749	WT_positive_minus_negative	0.523870695238714
-0.148965954163485	6.2745090862966	7.14939100962788	0.0123174305671951	0.0314751733663701	19989	WT_positive_minus_negative	0.030665441409948
0.038148950002041	5.18078442498141	0.287273206629595	0.596162960711034	0.698276175616547	98711	WT_positive_minus_negative	0.698848675449629
