	WT_positive_minus_negative	Mutant_positive_minus_negative	Mutant_minus_WT_CD44_interaction
mouseMutant1	0	0	0
mouseMutant2	0	0	0
mouseMutant3	0	0	0
mouseMutant4	0	0	0
mouseWT1	0	0	0
mouseWT2	0	0	0
mouseWT3	0	0	0
mouseWT4	0	0	0
positiveWT	1	0	-1
positiveMutant	0	1	1
