feature_id	symbol	NCBI_name	omitted_mouse	contrast	logFC	rank	residual_df
16669	Krt19	Krt19	WT3	Mutant_positive_minus_negative	0.650921538550888	9	5
16669	Krt19	Krt19	WT1	WT_positive_minus_negative	1.02349832420866	9	5
16669	Krt19	Krt19	Mutant1	Mutant_minus_WT_CD44_interaction	-0.493526709514569	9	5
16669	Krt19	Krt19	Mutant3	Mutant_positive_minus_negative	0.588501931673588	9	5
16669	Krt19	Krt19	WT1	Mutant_minus_WT_CD44_interaction	-0.372574121377747	9	5
16669	Krt19	Krt19	Mutant2	Mutant_positive_minus_negative	0.588329110681555	9	5
16669	Krt19	Krt19	Mutant4	WT_positive_minus_negative	1.08277794513526	9	5
16669	Krt19	Krt19	Mutant1	Mutant_positive_minus_negative	0.589003454909106	9	5
16669	Krt19	Krt19	Mutant3	WT_positive_minus_negative	1.08255185789298	9	5
16669	Krt19	Krt19	Mutant4	Mutant_minus_WT_CD44_interaction	-0.448485473290963	9	5
16669	Krt19	Krt19	Mutant4	Mutant_positive_minus_negative	0.634292471844296	9	5
16669	Krt19	Krt19	Mutant2	Mutant_minus_WT_CD44_interaction	-0.494217890303733	9	5
12740	Cldn4	Cldn4	WT4	Mutant_minus_WT_CD44_interaction	-1.7280924993563	9	5
12740	Cldn4	Cldn4	WT2	Mutant_positive_minus_negative	1.27120485805704	9	5
12740	Cldn4	Cldn4	WT1	Mutant_positive_minus_negative	1.27123141329344	9	5
12740	Cldn4	Cldn4	WT1	WT_positive_minus_negative	2.83471675637273	9	5
12740	Cldn4	Cldn4	WT4	Mutant_positive_minus_negative	1.27114100165188	9	5
12740	Cldn4	Cldn4	WT2	WT_positive_minus_negative	2.8509073083371	9	5
12740	Cldn4	Cldn4	WT1	Mutant_minus_WT_CD44_interaction	-1.56348534307929	9	5
12740	Cldn4	Cldn4	WT3	WT_positive_minus_negative	2.80741211644453	9	5
12740	Cldn4	Cldn4	WT2	Mutant_minus_WT_CD44_interaction	-1.57970245028006	9	5
12740	Cldn4	Cldn4	WT4	WT_positive_minus_negative	2.99923350100818	9	5
12740	Cldn4	Cldn4	WT3	Mutant_minus_WT_CD44_interaction	-1.53624048217292	9	5
12740	Cldn4	Cldn4	Mutant4	Mutant_minus_WT_CD44_interaction	-1.74927690132215	9	5
12740	Cldn4	Cldn4	Mutant2	WT_positive_minus_negative	2.94233837738861	9	5
12740	Cldn4	Cldn4	Mutant3	Mutant_minus_WT_CD44_interaction	-1.69891059153879	9	5
12740	Cldn4	Cldn4	Mutant1	WT_positive_minus_negative	2.94251195861504	9	5
12740	Cldn4	Cldn4	WT3	Mutant_positive_minus_negative	1.27117163427161	9	5
12740	Cldn4	Cldn4	Mutant4	Mutant_positive_minus_negative	1.19294467665491	9	5
12740	Cldn4	Cldn4	Mutant1	Mutant_minus_WT_CD44_interaction	-1.72137287285969	9	5
12740	Cldn4	Cldn4	Mutant3	Mutant_positive_minus_negative	1.24362295122307	9	5
12740	Cldn4	Cldn4	Mutant3	WT_positive_minus_negative	2.94253354276186	9	5
12740	Cldn4	Cldn4	Mutant2	Mutant_positive_minus_negative	1.22297751070041	9	5
12740	Cldn4	Cldn4	Mutant4	WT_positive_minus_negative	2.94222157797706	9	5
12740	Cldn4	Cldn4	Mutant1	Mutant_positive_minus_negative	1.22113908575535	9	5
12740	Cldn4	Cldn4	Mutant2	Mutant_minus_WT_CD44_interaction	-1.7193608666882	9	5
11596	Ager	Ager	WT2	WT_positive_minus_negative	-0.0457173364265659	9	5
11596	Ager	Ager	WT1	Mutant_positive_minus_negative	-0.0399604180015946	9	5
