feature_id	symbol	NCBI_name	logFC	logCPM	F	PValue	FDR	contrast	FDR_all_three
16420	Itgb6	Itgb6	1.18546495114506	8.2962371484938	199.916911171641	1.23729453100862e-10	2.2219747619363e-09	WT_positive_minus_negative	2.49322882378307e-09
16420	Itgb6	Itgb6	-0.103582046423712	8.2962371484938	0.958223454262872	0.341798817295294	0.50462092465428	Mutant_minus_WT_CD44_interaction	0.463755249583506
16420	Itgb6	Itgb6	1.08188290472135	8.2962371484938	275.966062880782	1.02678904710094e-11	1.76625929654304e-10	Mutant_positive_minus_negative	2.78039421550056e-10
16691	Krt8	Krt8	0.291800762129707	8.03613008340864	37.7787356677792	1.18332092665261e-06	8.50806649580256e-06	WT_positive_minus_negative	8.81299559901213e-06
16691	Krt8	Krt8	0.0547754326725343	8.03613008340864	0.736872769237471	0.397879870348194	0.55919149081978	Mutant_minus_WT_CD44_interaction	0.520034598892788
16691	Krt8	Krt8	0.346576194802242	8.03613008340864	65.9478856001725	7.11171421218501e-09	5.91030303782874e-08	Mutant_positive_minus_negative	9.11442932678381e-08
16669	Krt19	Krt19	1.08262815374651	8.30753867984247	591.229548179881	1.66853833755333e-20	7.6144237780816e-18	WT_positive_minus_negative	7.76671225364324e-18
16669	Krt19	Krt19	-0.482592243373069	8.30753867984247	69.6664352058088	4.08362237977675e-09	1.51220727552783e-07	Mutant_minus_WT_CD44_interaction	5.54505409958717e-08
16669	Krt19	Krt19	0.600035910373441	8.30753867984247	262.492026996694	7.5812304608217e-16	3.80680814984173e-14	Mutant_positive_minus_negative	6.68354385398349e-14
12740	Cldn4	Cldn4	1.22022269853164	8.19565607740462	997.462848132208	1.32531852788714e-23	1.11232979693568e-20	Mutant_positive_minus_negative	2.1134266141778e-20
12740	Cldn4	Cldn4	2.94243299041379	8.19565607740462	842.242881418592	1.35254403154437e-22	1.27312451661869e-19	WT_positive_minus_negative	1.50998489180356e-19
12740	Cldn4	Cldn4	-1.72221029188216	8.19565607740462	226.993214469713	4.82126638573247e-15	1.41144847624576e-12	Mutant_minus_WT_CD44_interaction	3.39003485986518e-13
11596	Ager	Ager	0.0417731064869505	10.1857101749942	0.748525748687523	0.394221505402879	0.515137348646713	WT_positive_minus_negative	0.516524950620048
11596	Ager	Ager	-0.13259324081917	10.1857101749942	3.82402811290914	0.0604657148106904	0.141479628150093	Mutant_minus_WT_CD44_interaction	0.116665620435565
11596	Ager	Ager	-0.0908201343322191	10.1857101749942	3.63954628824671	0.0666207368783343	0.105921442094911	Mutant_positive_minus_negative	0.126295595838263
20389	Sftpc	Sftpc	-0.808345912405899	15.2168530633948	173.312333538721	1.37883613551368e-13	3.88311793106782e-12	Mutant_positive_minus_negative	6.34268175894773e-12
20389	Sftpc	Sftpc	-0.569126670267558	15.2168530633948	86.4424643439747	4.2514383971931e-10	6.71744584224523e-09	WT_positive_minus_negative	7.48755030316098e-09
20389	Sftpc	Sftpc	-0.239219242138341	15.2168530633948	7.68320480285314	0.00974777703203254	0.0338132144934087	Mutant_minus_WT_CD44_interaction	0.025143495804447
12575	Cdkn1a	Cdkn1a	0.219885938807794	7.7784712122619	19.4148165908663	0.000137623419838394	0.000604919258417147	WT_positive_minus_negative	0.000607500706177106
12575	Cdkn1a	Cdkn1a	0.377095111304162	7.7784712122619	73.6093924857203	2.32027743805336e-09	2.17137664226996e-08	Mutant_positive_minus_negative	3.35000850454428e-08
12575	Cdkn1a	Cdkn1a	0.157209172496368	7.7784712122619	5.5950020150002	0.0250962669137843	0.0712001604377907	Mutant_minus_WT_CD44_interaction	0.055888481116775
110310	Krt7	Krt7	0.572667310036467	8.38378256411914	125.38898441479	6.5663791318238e-12	1.65540698319738e-10	WT_positive_minus_negative	1.87286651855475e-10
110310	Krt7	Krt7	0.770220320495485	8.38378256411914	291.071168347937	2.00415237477612e-16	1.25896470635734e-14	Mutant_positive_minus_negative	2.17965618553922e-14
110310	Krt7	Krt7	0.197553010459018	8.38378256411914	8.42803351363186	0.0070883369954775	0.0261925784286328	Mutant_minus_WT_CD44_interaction	0.0191152715566605
