symbol	feature_id	NCBI_name
Itgb6	16420	Itgb6
Krt8	16691	Krt8
Krt19	16669	Krt19
Cldn4	12740	Cldn4
Ager	11596	Ager
Sftpc	20389	Sftpc
Cdkn1a	12575	Cdkn1a
Krt7	110310	Krt7
