sample_id,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,4,5,6,7,8,9
DD046Q,2.255,1.384,6.319,2.065,8.396,5.939,3.416,2.925,6.364,0.0,1.44,6.598,6.632,0.815,1.786,1.541,0.893,0.96,0.525,1.998,1.652,1.585,0.123,1.418,0.0,5.459,5.258,2.545,5.504,6.821,7.38
DD047Q,3.326,0.886,2.001,3.364,2.973,1.22,5.089,0.543,5.604,0.0,2.697,11.36,3.393,1.544,0.343,0.295,0.486,18.87,2.344,3.164,0.963,0.524,0.172,1.163,2.087,2.754,1.773,1.039,12.589,5.156,2.278
DD073R,5.423,1.933,2.235,3.249,2.754,0.846,0.64,1.534,0.483,0.278,0.894,6.957,2.694,2.44,1.027,4.155,0.894,2.416,2.271,1.836,11.898,6.583,0.024,0.785,0.036,4.107,8.081,10.798,3.406,7.078,2.247
