cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,difference_IPF_minus_control,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
GSE136831,broad,consensus,core,IL1B,ADRB2,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,-0.8814232325412261,-0.8413124736426676,-0.9215339914397846,-1.220144874421937,-0.6532080235241642,descriptive_no_p_value
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.6102175858202266,-0.6813049542545455,-0.5391302173859058,-0.7349268139149654,-0.4892460083714161,descriptive_no_p_value
GSE136831,broad,consensus,core,IL1B,SIGIRR,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,-0.5961881843728563,-0.8413124736426676,-0.3510638951030445,-1.0454922701107625,-0.1606899299735005,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.26429711601798545,0.1319957448295188,0.3965984872064512,0.0969913308772119,0.5003467343575432,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.5056523073732704,0.1319957448295188,0.8793088699170215,0.2729573315864169,0.6687081135066526,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR10,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.20798866496071078,0.1319957448295188,0.2839815850919005,0.05390865023942659,0.2998031604648146,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.4733882550091737,0.1319957448295188,0.8147807651888277,0.24818811068020796,0.7132671246137683,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.1686842478829811,0.1319957448295188,0.20537275093644336,-0.0038052076376886568,0.30908746106381857,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,CCR5,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.7822870118709213,0.1319957448295188,1.4325782789123234,0.5362497251337581,0.9643493999083868,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,ACKR1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.3647673577753361,0.1319957448295188,0.5975389707211536,0.035458566996292795,0.6861078645523886,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CCL2,ACKR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,-0.05533512631589366,0.1319957448295188,-0.24266599746130657,-0.2675137239915202,0.23030538048870675,descriptive_no_p_value
GSE136831,broad,consensus,core,AREG,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.06914885343109578,-0.3309053137113107,0.19260760684912048,-0.14985931192779844,0.01936765049447331,descriptive_no_p_value
GSE136831,broad,consensus,core,AREG,ERBB3,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.08892419888765879,-0.3309053137113107,0.15305691593599402,-0.22015880963790746,0.15198999050894813,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,CD4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.9181714211668828,1.474668551705899,0.3616742906278674,0.6810420428249992,1.059583923983208,descriptive_no_p_value
GSE136831,broad,consensus,exploratory,CXCL12,ITGB3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,1.274659006151774,1.474668551705899,1.0746494605976498,1.036365838689353,1.659216985384762,descriptive_no_p_value
