"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE136831","AT2","__broad__",50,"022I","IPF",53,390229,1.2000646365493
"GSE136831","AT2","__broad__",50,"098C","control",113,541726,0.93219950411559
"GSE136831","AT2","__broad__",50,"133C","control",1514,16325187,0.556951911603171
"GSE136831","AT2","__broad__",50,"1372C","control",119,1821148,0.786425623409778
"GSE136831","AT2","__broad__",50,"158I","IPF",123,719412,0.92015545201497
"GSE136831","AT2","__broad__",50,"160C","control",55,282590,1.2338235080442
"GSE136831","AT2","__broad__",50,"192C","control",87,1385289,0.980117885703052
"GSE136831","AT2","__broad__",50,"222C","control",120,1033843,0.846295967402342
"GSE136831","AT2","__broad__",50,"225I","IPF",60,109259,1.29647246468649
"GSE136831","AT2","__broad__",50,"226C","control",133,1208098,0.91915861140366
"GSE136831","AT2","__broad__",50,"296C","control",88,415525,1.28311328909843
"GSE136831","AT2","__broad__",50,"396C","control",170,483982,1.32308727369839
"GSE136831","AT2","__broad__",50,"454C","control",89,456261,1.07124561441828
"GSE136831","AT2","__broad__",30,"022I","IPF",53,390229,1.2000646365493
"GSE136831","AT2","__broad__",30,"098C","control",113,541726,0.93219950411559
"GSE136831","AT2","__broad__",30,"133C","control",1514,16325187,0.556951911603171
"GSE136831","AT2","__broad__",30,"1372C","control",119,1821148,0.786425623409778
"GSE136831","AT2","__broad__",30,"158I","IPF",123,719412,0.92015545201497
"GSE136831","AT2","__broad__",30,"160C","control",55,282590,1.2338235080442
"GSE136831","AT2","__broad__",30,"192C","control",87,1385289,0.980117885703052
"GSE136831","AT2","__broad__",30,"222C","control",120,1033843,0.846295967402342
"GSE136831","AT2","__broad__",30,"225I","IPF",60,109259,1.29647246468649
"GSE136831","AT2","__broad__",30,"226C","control",133,1208098,0.91915861140366
"GSE136831","AT2","__broad__",30,"296C","control",88,415525,1.28311328909843
"GSE136831","AT2","__broad__",30,"396C","control",170,483982,1.32308727369839
"GSE136831","AT2","__broad__",30,"454C","control",89,456261,1.07124561441828
"GSE136831","AT2","__broad__",100,"098C","control",113,541726,1.00782302637869
"GSE136831","AT2","__broad__",100,"133C","control",1514,16325187,0.758795131658699
"GSE136831","AT2","__broad__",100,"1372C","control",119,1821148,0.963020266454359
"GSE136831","AT2","__broad__",100,"158I","IPF",123,719412,0.988359916697725
"GSE136831","AT2","__broad__",100,"222C","control",120,1033843,1.01397827757167
"GSE136831","AT2","__broad__",100,"226C","control",133,1208098,1.0149802647206
"GSE136831","AT2","__broad__",100,"396C","control",170,483982,1.33491737988292
"GSE136831","AT2","ATII",50,"022I","IPF",53,390229,1.2000646365493
"GSE136831","AT2","ATII",50,"098C","control",113,541726,0.93219950411559
"GSE136831","AT2","ATII",50,"133C","control",1514,16325187,0.556951911603171
"GSE136831","AT2","ATII",50,"1372C","control",119,1821148,0.786425623409778
"GSE136831","AT2","ATII",50,"158I","IPF",123,719412,0.92015545201497
"GSE136831","AT2","ATII",50,"160C","control",55,282590,1.2338235080442
"GSE136831","AT2","ATII",50,"192C","control",87,1385289,0.980117885703052
"GSE136831","AT2","ATII",50,"222C","control",120,1033843,0.846295967402342
"GSE136831","AT2","ATII",50,"225I","IPF",60,109259,1.29647246468649
"GSE136831","AT2","ATII",50,"226C","control",133,1208098,0.91915861140366
"GSE136831","AT2","ATII",50,"296C","control",88,415525,1.28311328909843
"GSE136831","AT2","ATII",50,"396C","control",170,483982,1.32308727369839
"GSE136831","AT2","ATII",50,"454C","control",89,456261,1.07124561441828
"GSE136831","AT2","ATII",30,"022I","IPF",53,390229,1.2000646365493
"GSE136831","AT2","ATII",30,"098C","control",113,541726,0.93219950411559
"GSE136831","AT2","ATII",30,"133C","control",1514,16325187,0.556951911603171
"GSE136831","AT2","ATII",30,"1372C","control",119,1821148,0.786425623409778
"GSE136831","AT2","ATII",30,"158I","IPF",123,719412,0.92015545201497
"GSE136831","AT2","ATII",30,"160C","control",55,282590,1.2338235080442
"GSE136831","AT2","ATII",30,"192C","control",87,1385289,0.980117885703052
"GSE136831","AT2","ATII",30,"222C","control",120,1033843,0.846295967402342
"GSE136831","AT2","ATII",30,"225I","IPF",60,109259,1.29647246468649
"GSE136831","AT2","ATII",30,"226C","control",133,1208098,0.91915861140366
"GSE136831","AT2","ATII",30,"296C","control",88,415525,1.28311328909843
"GSE136831","AT2","ATII",30,"396C","control",170,483982,1.32308727369839
"GSE136831","AT2","ATII",30,"454C","control",89,456261,1.07124561441828
"GSE136831","AT2","ATII",100,"098C","control",113,541726,1.00782302637869
"GSE136831","AT2","ATII",100,"133C","control",1514,16325187,0.758795131658699
"GSE136831","AT2","ATII",100,"1372C","control",119,1821148,0.963020266454359
"GSE136831","AT2","ATII",100,"158I","IPF",123,719412,0.988359916697725
"GSE136831","AT2","ATII",100,"222C","control",120,1033843,1.01397827757167
"GSE136831","AT2","ATII",100,"226C","control",133,1208098,1.0149802647206
"GSE136831","AT2","ATII",100,"396C","control",170,483982,1.33491737988292
"GSE136831","fibroblasts","__broad__",50,"010I","IPF",67,527125,1.00209017862952
"GSE136831","fibroblasts","__broad__",50,"021I","IPF",406,3481562,0.940094145701762
"GSE136831","fibroblasts","__broad__",50,"022I","IPF",425,2876671,0.960881893076415
"GSE136831","fibroblasts","__broad__",50,"034I","IPF",457,3241121,0.974487855852651
"GSE136831","fibroblasts","__broad__",50,"040I","IPF",248,2622769,0.98754735277111
"GSE136831","fibroblasts","__broad__",50,"041I","IPF",129,1437660,0.953701770872119
"GSE136831","fibroblasts","__broad__",50,"051I","IPF",363,3226129,0.970237830741435
"GSE136831","fibroblasts","__broad__",50,"063I","IPF",239,943158,1.01573362194476
"GSE136831","fibroblasts","__broad__",50,"098C","control",201,763755,1.0388051917047
"GSE136831","fibroblasts","__broad__",50,"123I","IPF",73,395662,0.97392406385004
"GSE136831","fibroblasts","__broad__",50,"135I","IPF",81,518335,1.04963458332765
"GSE136831","fibroblasts","__broad__",50,"1372C","control",195,1245843,0.894709991592647
"GSE136831","fibroblasts","__broad__",50,"138I","IPF",264,2738862,0.929964090261325
"GSE136831","fibroblasts","__broad__",50,"166I","IPF",72,305318,1.15478403234735
"GSE136831","fibroblasts","__broad__",50,"174I","IPF",79,604297,1.06598688276007
"GSE136831","fibroblasts","__broad__",50,"192C","control",116,1450098,0.877904426846588
"GSE136831","fibroblasts","__broad__",50,"222C","control",137,1045078,0.987874522133902
"GSE136831","fibroblasts","__broad__",50,"222I","IPF",93,673633,1.03094120809586
"GSE136831","fibroblasts","__broad__",50,"225I","IPF",608,4363344,0.983504081559624
"GSE136831","fibroblasts","__broad__",50,"228I","IPF",240,2935121,1.00506306739701
"GSE136831","fibroblasts","__broad__",50,"49I","IPF",103,571621,1.1607312521482
"GSE136831","fibroblasts","__broad__",50,"59I","IPF",52,375385,1.09462241233167
"GSE136831","fibroblasts","__broad__",30,"010I","IPF",67,527125,1.00209017862952
"GSE136831","fibroblasts","__broad__",30,"021I","IPF",406,3481562,0.940094145701762
"GSE136831","fibroblasts","__broad__",30,"022I","IPF",425,2876671,0.960881893076415
"GSE136831","fibroblasts","__broad__",30,"034I","IPF",457,3241121,0.974487855852651
"GSE136831","fibroblasts","__broad__",30,"040I","IPF",248,2622769,0.98754735277111
"GSE136831","fibroblasts","__broad__",30,"041I","IPF",129,1437660,0.953701770872119
"GSE136831","fibroblasts","__broad__",30,"051I","IPF",363,3226129,0.970237830741435
"GSE136831","fibroblasts","__broad__",30,"063I","IPF",239,943158,1.01573362194476
"GSE136831","fibroblasts","__broad__",30,"098C","control",201,763755,1.0388051917047
"GSE136831","fibroblasts","__broad__",30,"123I","IPF",73,395662,0.97392406385004
"GSE136831","fibroblasts","__broad__",30,"135I","IPF",81,518335,1.04963458332765
"GSE136831","fibroblasts","__broad__",30,"1372C","control",195,1245843,0.894709991592647
"GSE136831","fibroblasts","__broad__",30,"138I","IPF",264,2738862,0.929964090261325
"GSE136831","fibroblasts","__broad__",30,"166I","IPF",72,305318,1.15478403234735
"GSE136831","fibroblasts","__broad__",30,"174I","IPF",79,604297,1.06598688276007
"GSE136831","fibroblasts","__broad__",30,"192C","control",116,1450098,0.877904426846588
"GSE136831","fibroblasts","__broad__",30,"222C","control",137,1045078,0.987874522133902
"GSE136831","fibroblasts","__broad__",30,"222I","IPF",93,673633,1.03094120809586
"GSE136831","fibroblasts","__broad__",30,"225I","IPF",608,4363344,0.983504081559624
"GSE136831","fibroblasts","__broad__",30,"228I","IPF",240,2935121,1.00506306739701
"GSE136831","fibroblasts","__broad__",30,"49I","IPF",103,571621,1.1607312521482
"GSE136831","fibroblasts","__broad__",30,"59I","IPF",52,375385,1.09462241233167
"GSE136831","fibroblasts","__broad__",100,"021I","IPF",406,3481562,0.962467503079313
"GSE136831","fibroblasts","__broad__",100,"022I","IPF",425,2876671,0.983749979309808
"GSE136831","fibroblasts","__broad__",100,"034I","IPF",457,3241121,0.997679751216279
"GSE136831","fibroblasts","__broad__",100,"040I","IPF",248,2622769,1.011050051891
"GSE136831","fibroblasts","__broad__",100,"041I","IPF",129,1437660,0.976398976943323
"GSE136831","fibroblasts","__broad__",100,"051I","IPF",363,3226129,0.993328579500638
"GSE136831","fibroblasts","__broad__",100,"063I","IPF",239,943158,1.03990712778783
"GSE136831","fibroblasts","__broad__",100,"098C","control",201,763755,1.06352777923056
"GSE136831","fibroblasts","__broad__",100,"1372C","control",195,1245843,0.916003248744274
"GSE136831","fibroblasts","__broad__",100,"138I","IPF",264,2738862,0.952096361837353
"GSE136831","fibroblasts","__broad__",100,"192C","control",116,1450098,0.898797727347369
"GSE136831","fibroblasts","__broad__",100,"222C","control",137,1045078,1.01138500757723
"GSE136831","fibroblasts","__broad__",100,"225I","IPF",608,4363344,1.00691055462365
"GSE136831","fibroblasts","__broad__",100,"228I","IPF",240,2935121,1.02898262406765
"GSE136831","fibroblasts","__broad__",100,"49I","IPF",103,571621,1.18835556535378
"GSE136831","fibroblasts","Fibroblast",50,"010I","IPF",55,432512,1.06683644008131
"GSE136831","fibroblasts","Fibroblast",50,"021I","IPF",120,1101668,0.948223061612428
"GSE136831","fibroblasts","Fibroblast",50,"022I","IPF",134,937444,0.936631599924247
"GSE136831","fibroblasts","Fibroblast",50,"040I","IPF",102,908546,1.03301693387448
"GSE136831","fibroblasts","Fibroblast",50,"041I","IPF",92,1184585,0.984000106908278
"GSE136831","fibroblasts","Fibroblast",50,"051I","IPF",144,829236,1.00562385579425
"GSE136831","fibroblasts","Fibroblast",50,"098C","control",177,723477,1.05478949690406
"GSE136831","fibroblasts","Fibroblast",50,"135I","IPF",72,446075,1.10679802953731
"GSE136831","fibroblasts","Fibroblast",50,"1372C","control",190,1216279,0.933004861803387
"GSE136831","fibroblasts","Fibroblast",50,"138I","IPF",187,2150944,0.955440201493058
"GSE136831","fibroblasts","Fibroblast",50,"174I","IPF",52,411404,1.1612617555442
"GSE136831","fibroblasts","Fibroblast",50,"192C","control",111,1436264,0.845370499393659
"GSE136831","fibroblasts","Fibroblast",50,"222C","control",85,875296,1.00533233746624
"GSE136831","fibroblasts","Fibroblast",50,"228I","IPF",55,612189,1.00525497177047
"GSE136831","fibroblasts","Fibroblast",30,"010I","IPF",55,432512,1.04361295746255
"GSE136831","fibroblasts","Fibroblast",30,"021I","IPF",120,1101668,0.927581620279223
"GSE136831","fibroblasts","Fibroblast",30,"022I","IPF",134,937444,0.916242487906885
"GSE136831","fibroblasts","Fibroblast",30,"034I","IPF",38,202226,1.09411849738585
"GSE136831","fibroblasts","Fibroblast",30,"040I","IPF",102,908546,1.01052965287488
"GSE136831","fibroblasts","Fibroblast",30,"041I","IPF",92,1184585,0.962579851167951
"GSE136831","fibroblasts","Fibroblast",30,"051I","IPF",144,829236,0.983732882390427
"GSE136831","fibroblasts","Fibroblast",30,"098C","control",177,723477,1.03182825877281
"GSE136831","fibroblasts","Fibroblast",30,"123I","IPF",44,249352,1.00535748906769
"GSE136831","fibroblasts","Fibroblast",30,"135I","IPF",72,446075,1.08270464105174
"GSE136831","fibroblasts","Fibroblast",30,"1372C","control",190,1216279,0.912694698616931
"GSE136831","fibroblasts","Fibroblast",30,"138I","IPF",187,2150944,0.934641653487942
"GSE136831","fibroblasts","Fibroblast",30,"174I","IPF",52,411404,1.13598277070407
"GSE136831","fibroblasts","Fibroblast",30,"192C","control",111,1436264,0.826968009226015
"GSE136831","fibroblasts","Fibroblast",30,"222C","control",85,875296,0.983447709993782
