cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,consensus,core,HBEGF,ERBB2_ERBB4,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,HBEGF,CD44,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,CD44,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,HBEGF,PRLR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,PRLR,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,CCL2,ACKR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,DPP4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ENG,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,CD9,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,CD9,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,HBEGF,CD82,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,CD82,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,TGFB1,CAV1,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,SDC4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,LPP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,IL1B,IL1R2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,IL1B,IL1R2,macrophages,__broad__,AT2,__broad__,50,1.0,10,3,eligible_descriptive,
GSE136831,broad,cellchatdb,core,IL1B,IL1R2,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,core,AREG,EGFR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,AREG,EGFR,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,core,HBEGF,EGFR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,HBEGF,EGFR,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,exploratory,FGF7,FGFR2,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,core,HBEGF,ERBB4,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,HBEGF,ERBB4,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,cellchatdb,exploratory,CXCL12,ACKR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,exploratory,CCL2,CCR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,exploratory,CXCL12,CXCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,exploratory,CCL2,ACKR1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,exploratory,CCL2,ACKR2,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,cellchatdb,core,IL1A,IL1R1_IL1RAP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
