donor,disease,label,cells,unit_id,full_library_sum
1372C,control,Basal,24,GSE136831_113,149046
1372C,control,Ciliated,138,GSE136831_114,650254
1372C,control,Club,39,GSE136831_115,240299
137C,control,ATI,1,GSE136831_116,4140
137C,control,ATII,4,GSE136831_117,37913
137C,control,Ciliated,6,GSE136831_118,41665
138I,IPF,ATI,1,GSE136831_119,8593
138I,IPF,ATII,12,GSE136831_120,298213
138I,IPF,Aberrant_Basaloid,3,GSE136831_121,90556
138I,IPF,Basal,45,GSE136831_122,770826
138I,IPF,Ciliated,85,GSE136831_123,907810
138I,IPF,Club,21,GSE136831_124,267631
145I,IPF,ATI,12,GSE136831_125,63851
145I,IPF,ATII,7,GSE136831_126,62785
145I,IPF,Aberrant_Basaloid,1,GSE136831_127,13660
145I,IPF,Basal,10,GSE136831_128,68042
145I,IPF,Ciliated,240,GSE136831_129,1675518
145I,IPF,Club,32,GSE136831_130,156023
157I,IPF,ATI,4,GSE136831_131,31594
157I,IPF,ATII,43,GSE136831_132,483947
157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052
157I,IPF,Basal,65,GSE136831_134,753280
157I,IPF,Ciliated,373,GSE136831_135,3580565
157I,IPF,Club,217,GSE136831_136,2236649
158I,IPF,ATI,11,GSE136831_137,77078
158I,IPF,ATII,123,GSE136831_138,719412
158I,IPF,Aberrant_Basaloid,2,GSE136831_139,21157
158I,IPF,Basal,55,GSE136831_140,481697
158I,IPF,Ciliated,231,GSE136831_141,2117707
158I,IPF,Club,58,GSE136831_142,367089
160C,control,ATI,10,GSE136831_143,41541
160C,control,ATII,55,GSE136831_144,282590
160C,control,Basal,2,GSE136831_145,8152
160C,control,Ciliated,57,GSE136831_146,487381
160C,control,Club,9,GSE136831_147,66604
166I,IPF,ATI,26,GSE136831_148,92375
166I,IPF,ATII,34,GSE136831_149,183694
166I,IPF,Aberrant_Basaloid,29,GSE136831_150,169729
166I,IPF,Basal,17,GSE136831_151,96576
166I,IPF,Ciliated,202,GSE136831_152,800110
166I,IPF,Club,21,GSE136831_153,75033
174I,IPF,ATI,2,GSE136831_154,7481
174I,IPF,ATII,4,GSE136831_155,22494
174I,IPF,Aberrant_Basaloid,45,GSE136831_156,870050
174I,IPF,Basal,56,GSE136831_157,451156
