cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
0,Iigp1,95.40913,4.8472433,0.0,0.0,0.9537530266343826,0.43230725426302635
0,Gbp4,89.93406,4.511935,0.0,0.0,0.8849878934624698,0.24948590591287292
0,Gm12250,89.21443,4.8376327,0.0,0.0,0.863680387409201,0.19701350881078175
0,Igtp,88.07569,4.373294,0.0,0.0,0.8692493946731235,0.27080894681894396
0,H2-Q4,87.785194,2.9567204,0.0,0.0,0.9268765133171912,0.6145464899237559
0,Ly6a,87.72218,3.6855397,0.0,0.0,0.9556900726392252,0.5980005694580658
0,Isg15,87.406525,4.5186296,0.0,0.0,0.8808716707021792,0.2835205163086463
0,Ly6c1,86.826996,3.925764,0.0,0.0,0.9322033898305084,0.4911259451422063
0,Gbp7,86.204865,3.707959,0.0,0.0,0.8825665859564165,0.4296814198487772
0,Xdh,84.715904,3.40154,0.0,0.0,0.8832929782082325,0.4873801765320004
0,H2-K1,82.56842,1.9042861,0.0,0.0,0.9845036319612591,0.9166693030466007
0,Ifit3,82.34607,5.0866714,0.0,0.0,0.8058111380145279,0.14068777879717803
0,H2-T23,79.35039,2.616143,0.0,0.0,0.8975786924939467,0.7169793413268373
0,Ifi47,77.049324,3.629493,0.0,0.0,0.8055690072639226,0.3073365180802936
0,Ifitm3,76.169945,2.1683595,0.0,0.0,0.9668280871670702,0.8188870258470689
0,Ifit1,75.91112,4.8456864,0.0,0.0,0.750363196125908,0.13082982694802114
0,Gbp2,74.50749,3.7515492,0.0,0.0,0.7949152542372881,0.3373026669619412
0,Irgm1,74.13947,3.6141682,0.0,0.0,0.7774818401937046,0.269037299503306
0,Tap1,73.15697,3.2017293,0.0,0.0,0.7905569007263923,0.3631054446518397
0,Cd274,72.25621,4.451477,0.0,0.0,0.7220338983050848,0.14783764117814546
1,Cd93,228.43752,3.895514,0.0,0.0,0.9834318410462777,0.34090682457984
1,Hpgd,225.20079,4.303834,0.0,0.0,0.978841800804829,0.34634531744996816
1,Epas1,224.3446,3.5628796,0.0,0.0,0.9964159959758552,0.5444322566293617
1,Tmem100,223.00847,3.6624115,0.0,0.0,0.9805394869215291,0.40757246849279344
1,Ptprb,221.89394,4.0683413,0.0,0.0,0.9907256036217303,0.3285417321868264
1,Tspan7,216.53047,3.5650957,0.0,0.0,0.9747547786720322,0.3376621384246013
1,Calcrl,216.13715,3.7717435,0.0,0.0,0.9912600603621731,0.40200357452422775
1,Bmpr2,209.8538,2.84876,0.0,0.0,0.9804451710261569,0.6485843810166684
1,Sema3c,203.11604,3.5747168,0.0,0.0,0.9396378269617707,0.3693572759977602
1,Clec14a,202.66957,3.2640433,0.0,0.0,0.9522132796780685,0.3329983814922488
1,Cdh5,201.85501,3.4427645,0.0,0.0,0.9889964788732394,0.3688203302983117
1,BC028528,201.81514,3.036292,0.0,0.0,0.9439134808853119,0.38276557717827364
1,Gpihbp1,201.5875,3.433733,0.0,0.0,0.9435676559356136,0.2888844569561315
1,Adgrf5,200.779,3.3183038,0.0,0.0,0.9877389336016097,0.4318194021493169
1,Cyyr1,199.63542,3.1963184,0.0,0.0,0.9502640845070423,0.3189610867780957
1,Cemip2,197.45062,3.2492788,0.0,0.0,0.896661217303823,0.3119270981153206
1,Ehd4,196.80164,3.062225,0.0,0.0,0.9703219315895373,0.4777819540221068
1,Pltp,195.51083,2.7062387,0.0,0.0,0.9603558853118712,0.5326271218943445
1,Tek,194.0605,3.1252449,0.0,0.0,0.876351861167002,0.25693618783894695
1,Glp1r,193.72823,3.5113552,0.0,0.0,0.83783953722334,0.1959468270344489
10,Sftpd,125.249435,8.787829,0.0,0.0,0.9755335762623634,0.041461013221491955
10,Sftpb,123.88657,9.080036,0.0,0.0,0.9646017699115044,0.042106743728102705
10,Sftpa1,123.00134,9.715209,0.0,0.0,0.9593961478396669,0.06540418893691022
10,Cxcl15,122.30414,9.007227,0.0,0.0,0.9538434842963734,0.03873743702529218
10,Wfdc2,121.90831,6.9690933,0.0,0.0,0.9774423043553705,0.0754737488172263
10,Atp1b1,121.370865,6.2747226,0.0,0.0,0.9651223321186881,0.05828836662148684
10,Scd1,121.16513,7.1251388,0.0,0.0,0.9606107929897623,0.1645973454722144
10,Npc2,120.66272,4.1744623,0.0,0.0,0.982647926427208,0.6921080224023732
10,Slc34a2,120.05651,9.458696,0.0,0.0,0.9337150789519347,0.022504667161087386
