gene,t,pval,pval_adj,mean_logCPM_homeostasis,mean_logCPM_H1N1,log2FC_H1N1_vs_homeostasis
4930404H11Rik,15.830665424393937,1.0375011357502324e-13,2.968083249154265e-09,0.1858392300474675,0.05805671195163297,-0.12778251809583452
Adamts13,14.298774520299064,6.228542882365601e-13,8.909307738935755e-09,0.35947125926102264,0.16308821736542806,-0.19638304189559458
Slc6a19,11.486587622626807,8.940712032000815e-11,8.525862993715978e-07,0.1656080075935169,0.056679593117500864,-0.10892841447601603
Upb1,12.576708197426365,6.042386938518208e-10,4.321515138428223e-06,1.0894158605731319,0.5161839360144875,-0.5732319245586444
Gm20513,-10.057457130031892,9.9129121851773e-10,5.671771835871044e-06,0.06984886992000877,0.2229833907874638,0.15313452086745502
Gm28320,9.745984535899135,1.9076425965385414e-09,8.709230776520875e-06,0.9215725209524728,0.576912677404081,-0.34465984354839174
Pde8b,9.812048098385775,2.1310338169619032e-09,8.709230776520875e-06,3.003297686239245,2.444669704808858,-0.5586279814303867
Rpsa-ps12,9.430305084873506,2.9797247954164892e-09,9.875538842516201e-06,0.1858392300474675,0.08627184865828152,-0.09956738138918597
Nupr1,-9.408548719146076,3.1068180083419254e-09,9.875538842516201e-06,5.022334041423761,5.66276400867842,0.6404299672546587
Rgs16,-9.193084215048264,4.048811788934899e-09,1.157196684153601e-05,1.6622110775289154,2.3732267882634948,0.7110157107345794
Chl1,-9.162306607812972,4.449511858812085e-09,1.157196684153601e-05,0.47872182319469797,1.6452518673315055,1.1665300441368076
Gm10039,-8.761680512664071,9.500438493641381e-09,1.8869043545090444e-05,0.35151311067390234,0.7221540193556789,0.37064090868177657
Gm39822,-8.868296698025679,9.5233577978045e-09,1.8869043545090444e-05,0.7720880253742481,1.306776442203972,0.5346884168297239
Gm5547,8.86555984216106,1.0220618487651772e-08,1.8869043545090444e-05,1.9807974480565629,1.5151640092476482,-0.4656334388089147
Zfp809,-8.726569057258773,1.0501063123323321e-08,1.8869043545090444e-05,2.5986049597509693,2.896543785750658,0.2979388259996889
Gm45738,-8.852912131761748,1.0553156345128884e-08,1.8869043545090444e-05,0.0,0.03994800259242294,0.03994800259242294
Kpna2-ps,-8.766765268108555,1.2503147230214276e-08,2.0251315802270236e-05,0.0,0.06950891530457531,0.06950891530457531
Rps19-ps3,8.755232669372164,1.3284512369552054e-08,2.0251315802270236e-05,1.3178251943768018,1.0105386677891561,-0.30728652658764566
Cct8l1,10.523227534068365,1.393811470674457e-08,2.0251315802270236e-05,0.1238689964694441,0.047527650453005894,-0.07634134601643822
Gm38318,8.846182842512357,1.4157799078768342e-08,2.0251315802270236e-05,0.8770772232438115,0.6779383947450263,-0.19913882849878528
Elavl2,8.4948093564041,1.5614866488084576e-08,2.0715699756157374e-05,0.9125085556269389,0.5634752886516391,-0.3490332669752998
Lrg1,-8.575544062812112,1.5930697519416325e-08,2.0715699756157374e-05,3.96331988477813,4.872395490520125,0.9090756057419949
Gm44084,9.725628731564267,1.7495294210578548e-08,2.1163618711116517e-05,0.1238689964694441,0.048591237783614856,-0.07527775868582925
Gm15982,8.58212915757224,1.775471368382258e-08,2.1163618711116517e-05,0.1656080075935169,0.084191702114249,-0.0814163054792679
7SK.140,-8.474322619110675,1.9066325388848488e-08,2.1817977468967103e-05,0.023831350448171862,0.1436879353256084,0.11985658487743653
Gm17241,-8.350725786813614,2.039522302662215e-08,2.2441020782523327e-05,0.047105797607319616,0.16886061500022548,0.12175481739290586
Nav3,-8.255632735421447,2.5271400375413374e-08,2.677645266443799e-05,1.1051031366650685,1.5182344590210757,0.41313132235600714
5430400D12Rik,-8.28383311790667,2.7497599281079238e-08,2.809469000832553e-05,0.20566765676068238,0.36380857804485167,0.1581409212841693
Gpr21,8.467466121957095,3.155800412839338e-08,3.1131426969140616e-05,1.1167896343747672,0.9034562313528964,-0.21333340302187076
Gm6311,-8.258746467643961,3.4661355072960294e-08,3.2249542902400074e-05,0.0,0.0464405355667013,0.0464405355667013
Ubb,-10.858794497466043,3.4946023139485546e-08,3.2249542902400074e-05,5.929082346711971,6.851904348606964,0.9228220018949926
Gm38235,8.138032501952258,3.911487737828911e-08,3.4764834418185746e-05,1.80525879227342,1.4130238902679537,-0.3922349020054663
Gm45251,8.416615909036587,4.010205312500453e-08,3.4764834418185746e-05,1.8838581821128968,1.4198870270944752,-0.46397115501842157
Gm44696,-8.12368461715096,4.571608841485275e-08,3.84660546285914e-05,0.0,0.0777840891429232,0.0777840891429232
Mospd4,8.065123660825462,5.6794554737358595e-08,4.642224634075299e-05,0.36730472548101856,0.23361969170745506,-0.1336850337735635
Ccdc88c,7.818745104941378,6.359042887367157e-08,4.999687572419184e-05,3.15042222590509,2.5869800881147045,-0.5634421377903855
Fgd3,7.925550384860178,6.486808657960059e-08,4.999687572419184e-05,1.4814937101823022,1.056759712276842,-0.4247339979054603
Nrde2,7.9091061544322825,6.808821177188366e-08,4.999687572419184e-05,2.681559401504442,2.4233476068813005,-0.2582117946231417
Syt14,7.850562883253496,6.978709471921628e-08,4.999687572419184e-05,0.3504525184431825,0.17149608255534338,-0.1789564358878391
A530030E21Rik,7.78500486766821,6.990614614680067e-08,4.999687572419184e-05,0.6094337750460435,0.29124287103453234,-0.3181909040115111
A930024E05Rik,7.809870757781176,7.42089431049508e-08,5.177974254503494e-05,1.2459393027103172,0.910829486545475,-0.33510981616484214
Vcam1,-7.869558546705938,7.639014295104433e-08,5.203260022722562e-05,4.744205162169331,5.135069825322127,0.39086466315279544
Slc9b2,-8.711552063943175,8.921308398986158e-08,5.935367225074326e-05,0.2515097108903952,0.754720851460904,0.5032111405705088
Nr6a1os,-7.7785610034035795,9.37735285148805e-08,6.096984326712958e-05,0.0,0.06293566279733397,0.06293566279733397
2810442N19Rik,-7.748933540336906,9.667297306509762e-08,6.145823140991806e-05,0.06984886992000877,0.18621201082286545,0.11636314090285668
Samd13,-7.697116662805704,1.1135773236187821e-07,6.92548262480133e-05,0.0,0.07591673878956373,0.07591673878956373
Jazf1,-7.767823573389198,1.1821773760578337e-07,7.195687313672873e-05,0.6859644171063493,0.8803660803102197,0.19440166320387042
Gm37745,8.574292917206057,1.3165422671358176e-07,7.846591912129473e-05,1.1744731658494236,0.8548405965974328,-0.3196325692519908
Gm12350,-7.533350238899317,1.429548614051627e-07,8.346229949140601e-05,1.1879331611510004,1.7038283212207685,0.5158951600697681
