sample_id,n_cells
EEM-scRNA-250,7969
EEM-scRNA-239,7082
EEM-scRNA-181,6445
EEM-scRNA-237,5899
EEM-scRNA-158,5848
EEM-scRNA-251,5737
EEM-scRNA-179,5655
EEM-scRNA-166,5628
EEM-scRNA-162,5601
EEM-scRNA-167,5534
EEM-scRNA-249,5531
EEM-scRNA-182,5492
EEM-scRNA-238,5426
EEM-scRNA-180,5360
EEM-scRNA-127,5025
EEM-scRNA-310,4958
EEM-scRNA-117,4787
EEM-scRNA-118,4770
EEM-scRNA-172,4743
EEM-scRNA-126,4675
EEM-scRNA-125,4641
EEM-scRNA-170,4555
EEM-scRNA-116,4497
EEM-scRNA-311,4396
EEM-scRNA-289,4148
EEM-scRNA-291,4113
EEM-scRNA-236,4037
EEM-scRNA-124,3672
EEM-scRNA-290,3436
EEM-scRNA-312,3287
EEM-scRNA-113,3204
EEM-scRNA-292,3089
EEM-scRNA-288,2935
