"NGenes","Correlation","Direction","PValue","FDR","set","cohort","compartment","label","cell_floor","correlation_setting","n_control","n_IPF","assayed_fraction","mean_member_log2FC","FDR_global"
152,0.334292947232663,"Up",0.599580458781514,0.799440611708685,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",50,"estimated",6,8,0.99,0.34094839221858,0.764589451413134
98,0.12482921169572,"Up",0.396962894188158,0.793925788376315,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",50,"estimated",6,8,0.995,0.342847961719234,0.68050781860827
49,0.114927055869649,"Up",0.316807006198409,0.793925788376315,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",50,"estimated",6,8,1,0.243223130931812,0.68050781860827
134,0.0401446186807721,"Up",0.922649244702932,0.982885638188282,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",50,"estimated",6,8,0.97,0.109515269679883,0.999584812621382
150,0.0131431511850204,"Down",0.982885638188282,0.982885638188282,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",50,"estimated",6,8,0.99,0.071485596238232,0.999584812621382
166,0.0161702423929447,"Up",0.0577341138445556,0.461872910756445,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",50,"estimated",6,8,0.965,0.256336919645165,0.68050781860827
134,0.0185485293145575,"Down",0.325737511625143,0.793925788376315,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",50,"estimated",6,8,0.975,-0.0247228977661727,0.68050781860827
124,0.0638524162935895,"Up",0.588160097828395,0.799440611708685,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",50,"estimated",6,8,0.95,0.138566541953582,0.764589451413134
152,0.01,"Up",0.0148960844244588,0.0572106231266182,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.99,0.34094839221858,0.0446882532733763
98,0.01,"Up",0.023759665113861,0.0572106231266182,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.995,0.342847961719234,0.061096281721357
49,0.01,"Up",0.0286053115633091,0.0572106231266182,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",50,"fixed001",6,8,1,0.243223130931812,0.0643619510174454
134,0.01,"Up",0.870307551902279,0.980962577998185,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.97,0.109515269679883,0.979095995890064
150,0.01,"Down",0.980962577998185,0.980962577998185,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.99,0.071485596238232,0.998310688594455
166,0.01,"Up",0.0136625188900768,0.0572106231266182,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.965,0.256336919645165,0.0446882532733763
134,0.01,"Down",0.211779199192332,0.338846718707731,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.975,-0.0247228977661727,0.304962046836958
124,0.01,"Up",0.268554772692624,0.358073030256832,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",50,"fixed001",6,8,0.95,0.138566541953582,0.34528470774766
152,0.334292947232663,"Up",0.599580458781514,0.799440611708685,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",30,"estimated",6,8,0.99,0.34094839221858,0.786949352150737
98,0.12482921169572,"Up",0.396962894188158,0.793925788376315,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",30,"estimated",6,8,0.995,0.342847961719234,0.722126472235954
49,0.114927055869649,"Up",0.316807006198409,0.793925788376315,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",30,"estimated",6,8,1,0.243223130931812,0.722126472235954
134,0.0401446186807721,"Up",0.922649244702932,0.982885638188282,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",30,"estimated",6,8,0.97,0.109515269679883,0.999584812621382
150,0.0131431511850204,"Down",0.982885638188282,0.982885638188282,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",30,"estimated",6,8,0.99,0.071485596238232,0.999584812621382
166,0.0161702423929447,"Up",0.0577341138445556,0.461872910756445,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",30,"estimated",6,8,0.965,0.256336919645165,0.722126472235954
134,0.0185485293145575,"Down",0.325737511625143,0.793925788376315,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",30,"estimated",6,8,0.975,-0.0247228977661727,0.722126472235954
124,0.0638524162935895,"Up",0.588160097828395,0.799440611708685,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",30,"estimated",6,8,0.95,0.138566541953582,0.786949352150737
152,0.01,"Up",0.0148960844244588,0.0572106231266182,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.99,0.34094839221858,0.0446882532733763
98,0.01,"Up",0.023759665113861,0.0572106231266182,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.995,0.342847961719234,0.0623691209238852
49,0.01,"Up",0.0286053115633091,0.0572106231266182,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",30,"fixed001",6,8,1,0.243223130931812,0.0667457269810545
134,0.01,"Up",0.870307551902279,0.980962577998185,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.97,0.109515269679883,0.961918873155151
150,0.01,"Down",0.980962577998185,0.980962577998185,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.99,0.071485596238232,0.998310688594455
166,0.01,"Up",0.0136625188900768,0.0572106231266182,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.965,0.256336919645165,0.0446882532733763
134,0.01,"Down",0.211779199192332,0.338846718707731,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.975,-0.0247228977661727,0.296490878869264
124,0.01,"Up",0.268554772692624,0.358073030256832,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",30,"fixed001",6,8,0.95,0.138566541953582,0.337144735496467
161,0.353137039939033,"Up",0.60385831266605,0.851762554317786,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",100,"estimated",5,5,0.99,0.538852709698316,0.861860896880403
108,0.111248264252696,"Up",0.369523325764784,0.74965234286503,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",100,"estimated",5,5,0.995,0.498577112355303,0.732578388146311
54,0.074464695014103,"Up",0.374826171432515,0.74965234286503,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",100,"estimated",5,5,1,0.331156833146152,0.732578388146311
141,0.0283873245304216,"Up",0.704924849624652,0.851762554317786,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",100,"estimated",5,5,0.97,0.204129287713948,0.861860896880403
156,0.0161672234107624,"Up",0.851762554317786,0.851762554317786,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",100,"estimated",5,5,0.99,0.102238397584917,0.912602736769057
172,0.0114818829512406,"Up",0.0369877470754038,0.295901976603231,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",100,"estimated",5,5,0.965,0.326135736819777,0.554816206131057
146,0.0186736593158872,"Down",0.33962231623363,0.74965234286503,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",100,"estimated",5,5,0.975,-0.0111572091340861,0.732578388146311
138,0.0702062072833439,"Up",0.746946110629682,0.851762554317786,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",100,"estimated",5,5,0.95,0.135925787984027,0.861860896880403
161,0.01,"Up",0.0113159225137072,0.0452636900548289,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.99,0.538852709698316,0.042434709426402
108,0.01,"Up",0.0178318416142777,0.047551577638074,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.995,0.498577112355303,0.0534955248428332
54,0.01,"Up",0.0914312560028265,0.182862512005653,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","__broad__",100,"fixed001",5,5,1,0.331156833146152,0.195924120006057
141,0.01,"Up",0.572534669342971,0.654325336391966,"HALLMARK_HYPOXIA","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.97,0.204129287713948,0.660616926164966
156,0.01,"Up",0.821092035295214,0.821092035295214,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.99,0.102238397584917,0.87974146638773
172,0.01,"Up",0.00899159105619962,0.0452636900548289,"HALLMARK_P53_PATHWAY","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.965,0.326135736819777,0.042434709426402
146,0.01,"Down",0.212035773425394,0.33925723748063,"HALLMARK_E2F_TARGETS","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.975,-0.0111572091340861,0.318053660138091
138,0.01,"Up",0.480436633779067,0.640582178372089,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","__broad__",100,"fixed001",5,5,0.95,0.135925787984027,0.600545792223833
152,0.334292947232663,"Up",0.599580458781514,0.799440611708685,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",50,"estimated",6,8,0.99,0.34094839221858,0.764589451413134
98,0.12482921169572,"Up",0.396962894188158,0.793925788376315,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",50,"estimated",6,8,0.995,0.342847961719234,0.68050781860827
49,0.114927055869649,"Up",0.316807006198409,0.793925788376315,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",50,"estimated",6,8,1,0.243223130931812,0.68050781860827
134,0.0401446186807721,"Up",0.922649244702932,0.982885638188282,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",50,"estimated",6,8,0.97,0.109515269679883,0.999584812621382
150,0.0131431511850204,"Down",0.982885638188282,0.982885638188282,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",50,"estimated",6,8,0.99,0.071485596238232,0.999584812621382
166,0.0161702423929447,"Up",0.0577341138445556,0.461872910756445,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",50,"estimated",6,8,0.965,0.256336919645165,0.68050781860827
134,0.0185485293145575,"Down",0.325737511625143,0.793925788376315,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",50,"estimated",6,8,0.975,-0.0247228977661727,0.68050781860827
124,0.0638524162935895,"Up",0.588160097828395,0.799440611708685,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",50,"estimated",6,8,0.95,0.138566541953582,0.764589451413134
152,0.01,"Up",0.0148960844244588,0.0572106231266182,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",50,"fixed001",6,8,0.99,0.34094839221858,0.0446882532733763
98,0.01,"Up",0.023759665113861,0.0572106231266182,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",50,"fixed001",6,8,0.995,0.342847961719234,0.061096281721357
49,0.01,"Up",0.0286053115633091,0.0572106231266182,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",50,"fixed001",6,8,1,0.243223130931812,0.0643619510174454
134,0.01,"Up",0.870307551902279,0.980962577998185,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",50,"fixed001",6,8,0.97,0.109515269679883,0.979095995890064
150,0.01,"Down",0.980962577998185,0.980962577998185,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",50,"fixed001",6,8,0.99,0.071485596238232,0.998310688594455
166,0.01,"Up",0.0136625188900768,0.0572106231266182,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",50,"fixed001",6,8,0.965,0.256336919645165,0.0446882532733763
134,0.01,"Down",0.211779199192332,0.338846718707731,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",50,"fixed001",6,8,0.975,-0.0247228977661727,0.304962046836958
124,0.01,"Up",0.268554772692624,0.358073030256832,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",50,"fixed001",6,8,0.95,0.138566541953582,0.34528470774766
152,0.334292947232663,"Up",0.599580458781514,0.799440611708685,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",30,"estimated",6,8,0.99,0.34094839221858,0.786949352150737
98,0.12482921169572,"Up",0.396962894188158,0.793925788376315,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",30,"estimated",6,8,0.995,0.342847961719234,0.722126472235954
49,0.114927055869649,"Up",0.316807006198409,0.793925788376315,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",30,"estimated",6,8,1,0.243223130931812,0.722126472235954
134,0.0401446186807721,"Up",0.922649244702932,0.982885638188282,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",30,"estimated",6,8,0.97,0.109515269679883,0.999584812621382
150,0.0131431511850204,"Down",0.982885638188282,0.982885638188282,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",30,"estimated",6,8,0.99,0.071485596238232,0.999584812621382
166,0.0161702423929447,"Up",0.0577341138445556,0.461872910756445,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",30,"estimated",6,8,0.965,0.256336919645165,0.722126472235954
134,0.0185485293145575,"Down",0.325737511625143,0.793925788376315,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",30,"estimated",6,8,0.975,-0.0247228977661727,0.722126472235954
124,0.0638524162935895,"Up",0.588160097828395,0.799440611708685,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",30,"estimated",6,8,0.95,0.138566541953582,0.786949352150737
152,0.01,"Up",0.0148960844244588,0.0572106231266182,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",30,"fixed001",6,8,0.99,0.34094839221858,0.0446882532733763
98,0.01,"Up",0.023759665113861,0.0572106231266182,"HALLMARK_INFLAMMATORY_RESPONSE","GSE135893","AT2","AT2",30,"fixed001",6,8,0.995,0.342847961719234,0.0623691209238852
49,0.01,"Up",0.0286053115633091,0.0572106231266182,"HALLMARK_IL6_JAK_STAT3_SIGNALING","GSE135893","AT2","AT2",30,"fixed001",6,8,1,0.243223130931812,0.0667457269810545
134,0.01,"Up",0.870307551902279,0.980962577998185,"HALLMARK_HYPOXIA","GSE135893","AT2","AT2",30,"fixed001",6,8,0.97,0.109515269679883,0.961918873155151
150,0.01,"Down",0.980962577998185,0.980962577998185,"HALLMARK_GLYCOLYSIS","GSE135893","AT2","AT2",30,"fixed001",6,8,0.99,0.071485596238232,0.998310688594455
166,0.01,"Up",0.0136625188900768,0.0572106231266182,"HALLMARK_P53_PATHWAY","GSE135893","AT2","AT2",30,"fixed001",6,8,0.965,0.256336919645165,0.0446882532733763
134,0.01,"Down",0.211779199192332,0.338846718707731,"HALLMARK_E2F_TARGETS","GSE135893","AT2","AT2",30,"fixed001",6,8,0.975,-0.0247228977661727,0.296490878869264
124,0.01,"Up",0.268554772692624,0.358073030256832,"HALLMARK_G2M_CHECKPOINT","GSE135893","AT2","AT2",30,"fixed001",6,8,0.95,0.138566541953582,0.337144735496467
161,0.353137039939033,"Up",0.60385831266605,0.851762554317786,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","GSE135893","AT2","AT2",100,"estimated",5,5,0.99,0.538852709698316,0.861860896880403
