sample,min_genes,max_genes,min_counts,max_counts,max_pct_mt,max_pct_top20,n_mads_counts,n_mads_genes,n_mads_mt,rationale
EEM-scRNA-237,328,16956,500,131866,5.8012,48.3298,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,131866]; log1p(genes) median+/-5.0MAD -> [328,16956] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=5.80 bracketed to [5.0,20.0] -> 5.80; pct_top20 median+5MAD -> 48.33"
EEM-scRNA-238,200,51355,500,449377,11.2676,75.1252,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,449377]; log1p(genes) median+/-5.0MAD -> [200,51355] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=11.27 bracketed to [5.0,20.0] -> 11.27; pct_top20 median+5MAD -> 75.13"
EEM-scRNA-239,310,16929,500,128727,6.3558,53.8202,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,128727]; log1p(genes) median+/-5.0MAD -> [310,16929] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=6.36 bracketed to [5.0,20.0] -> 6.36; pct_top20 median+5MAD -> 53.82"
EEM-scRNA-249,200,24164,500,215001,7.6923,48.1579,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,215001]; log1p(genes) median+/-5.0MAD -> [200,24164] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=7.69 bracketed to [5.0,20.0] -> 7.69; pct_top20 median+5MAD -> 48.16"
EEM-scRNA-250,200,23006,500,165392,8.1559,48.3493,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,165392]; log1p(genes) median+/-5.0MAD -> [200,23006] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=8.16 bracketed to [5.0,20.0] -> 8.16; pct_top20 median+5MAD -> 48.35"
EEM-scRNA-251,200,28625,500,199530,9.1121,54.5012,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,199530]; log1p(genes) median+/-5.0MAD -> [200,28625] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=9.11 bracketed to [5.0,20.0] -> 9.11; pct_top20 median+5MAD -> 54.50"
EEM-scRNA-288,365,25004,500,276808,5.0,44.3402,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,276808]; log1p(genes) median+/-5.0MAD -> [365,25004] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=4.78 bracketed to [5.0,20.0] -> 5.00; pct_top20 median+5MAD -> 44.34"
EEM-scRNA-289,200,46205,500,422325,5.0,26.4398,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,422325]; log1p(genes) median+/-5.0MAD -> [200,46205] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=4.78 bracketed to [5.0,20.0] -> 5.00; pct_top20 median+5MAD -> 26.44"
EEM-scRNA-290,307,29007,500,352097,5.0,43.8732,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,352097]; log1p(genes) median+/-5.0MAD -> [307,29007] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=4.80 bracketed to [5.0,20.0] -> 5.00; pct_top20 median+5MAD -> 43.87"
EEM-scRNA-291,240,27806,500,288691,5.0167,45.557,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,288691]; log1p(genes) median+/-5.0MAD -> [240,27806] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=5.02 bracketed to [5.0,20.0] -> 5.02; pct_top20 median+5MAD -> 45.56"
EEM-scRNA-292,251,37836,500,551580,5.0175,46.5353,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,551580]; log1p(genes) median+/-5.0MAD -> [251,37836] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=5.02 bracketed to [5.0,20.0] -> 5.02; pct_top20 median+5MAD -> 46.54"
EEM-scRNA-310,200,51548,500,468876,9.6038,50.6995,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,468876]; log1p(genes) median+/-5.0MAD -> [200,51548] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=9.60 bracketed to [5.0,20.0] -> 9.60; pct_top20 median+5MAD -> 50.70"
EEM-scRNA-311,200,36798,500,319294,7.7846,49.7388,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,319294]; log1p(genes) median+/-5.0MAD -> [200,36798] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=7.78 bracketed to [5.0,20.0] -> 7.78; pct_top20 median+5MAD -> 49.74"
EEM-scRNA-312,200,44093,500,542193,7.3919,49.4706,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,542193]; log1p(genes) median+/-5.0MAD -> [200,44093] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=7.39 bracketed to [5.0,20.0] -> 7.39; pct_top20 median+5MAD -> 49.47"
