sample,cells_after_qc,predicted_doublets,doublet_rate_pct,expected_doublet_rate_pct,scrublet_threshold,call_method,status
EEM-scRNA-113,3299,95,2.88,2.64,0.08001109957695007,top 2.64% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 2.64%)
EEM-scRNA-116,4689,192,4.095,3.75,0.12003510445356369,top 3.75% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 3.75%)
EEM-scRNA-117,5000,213,4.26,4.0,0.11330049484968185,top 4.00% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.06% vs an expected 4.00%)
EEM-scRNA-118,4979,209,4.198,3.98,0.1211012527346611,top 3.98% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.08% vs an expected 3.98%)
EEM-scRNA-124,3795,123,3.241,3.04,0.08305425196886063,top 3.04% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.11% vs an expected 3.04%)
EEM-scRNA-125,4834,193,3.993,3.87,0.09623721987009048,top 3.87% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.17% vs an expected 3.87%)
EEM-scRNA-126,4868,193,3.965,3.89,0.09687330573797226,top 3.89% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.12% vs an expected 3.89%)
EEM-scRNA-127,5257,232,4.413,4.21,0.10087702423334122,top 4.21% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.06% vs an expected 4.21%)
EEM-scRNA-158,6156,308,5.003,4.92,0.12688535451889038,top 4.92% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 4.92%)
EEM-scRNA-162,5909,308,5.212,4.73,0.10641047358512878,top 4.73% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 4.73%)
EEM-scRNA-166,5917,289,4.884,4.73,0.13440530002117157,top 4.73% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 4.73%)
EEM-scRNA-167,5827,293,5.028,4.66,0.0995829850435257,top 4.66% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.02% vs an expected 4.66%)
EEM-scRNA-170,4743,188,3.964,3.79,0.1047503873705864,top 3.79% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.08% vs an expected 3.79%)
EEM-scRNA-172,4941,198,4.007,3.95,0.12951911985874176,top 3.95% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 3.95%)
EEM-scRNA-179,5947,292,4.91,4.76,0.11618152260780334,top 4.76% of Scrublet scores (10x multiplet-rate prior),ok (automatic threshold rejected: it called 0.00% vs an expected 4.76%)
