sample,day,n_cells,n_transitional,mean_score,pct_transitional
EEM-scRNA-113,6.0,152,4,0.11382979528689612,2.632
EEM-scRNA-116,11.0,100,22,0.7291575665603763,22.0
EEM-scRNA-117,19.0,229,13,0.2897101279443728,5.677
EEM-scRNA-118,25.0,190,4,0.28779394144310044,2.105
EEM-scRNA-124,42.0,90,3,0.18363867558286964,3.333
EEM-scRNA-125,42.0,228,2,0.1585947306921138,0.877
EEM-scRNA-126,42.0,165,0,0.16417072367146227,0.0
EEM-scRNA-127,42.0,130,4,0.2077508690618199,3.077
EEM-scRNA-158,0.0,377,3,0.05822355503906977,0.796
EEM-scRNA-162,6.0,200,11,0.2133235241051913,5.5
EEM-scRNA-166,0.0,202,2,0.07440358685456183,0.99
EEM-scRNA-167,11.0,387,127,0.8359374109696569,32.817
EEM-scRNA-170,19.0,239,9,0.346155745662771,3.766
EEM-scRNA-172,25.0,367,8,0.22417911398783202,2.18
EEM-scRNA-179,42.0,148,0,0.1756732771298132,0.0
EEM-scRNA-180,42.0,97,1,0.15400618261207166,1.031
EEM-scRNA-181,42.0,164,3,0.2011144188196938,1.829
EEM-scRNA-182,42.0,210,2,0.2809882790286306,0.952
EEM-scRNA-236,90.0,210,5,0.2358157457701054,2.381
EEM-scRNA-237,90.0,150,1,0.1920739798175551,0.667
EEM-scRNA-238,90.0,364,1,0.10419122137178184,0.275
EEM-scRNA-239,90.0,352,1,0.17906523492923412,0.284
EEM-scRNA-310,366.0,411,1,0.116987708471566,0.243
EEM-scRNA-311,366.0,315,1,0.11736066934337736,0.317
EEM-scRNA-312,366.0,217,1,0.11923004689706074,0.461
