group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Ifi27l2a,26.114813,7.198247,2.4751253629581316e-150,7.9768340197414675e-146,0.980544747081712,0.13628839433511128
0,Ly6e,25.15415,2.6571736,1.272914996416317e-139,2.0511752252252534e-135,0.9961089494163424,0.8309729630310834
0,Isg15,21.65043,4.4704275,6.021430184756116e-104,6.468621733144004e-100,0.8910505836575876,0.1956961559683649
0,Bst2,20.545292,2.7777317,8.480062581499897e-94,6.8323864219144675e-90,0.953307392996109,0.6025381644289131
0,Ctsh,20.242533,1.7524354,4.133731029107601e-91,2.664437672121595e-87,0.9961089494163424,0.9361780393599411
0,Sftpb,20.201468,2.6972287,9.503207399180634e-91,5.104489467679891e-87,0.9883268482490273,0.7002023174544786
0,Ly6a,19.618395,3.570957,1.0770239000167491e-85,4.958618035677113e-82,0.8910505836575876,0.2872907853595733
0,Lcn2,19.448423,3.6407657,3.0053087467294414e-84,1.2106886286199556e-80,0.9727626459143969,0.6078719882288026
0,Bex4,19.417143,2.3937373,5.528042971273579e-84,1.9795307653133877e-80,0.9494163424124513,0.55490160014714
0,Irf7,19.359962,4.1521316,1.6800812040783478e-83,5.414565704503699e-80,0.7898832684824902,0.13665624425234504
0,Npc2,18.52908,2.0389192,1.2032970804307747e-76,3.525441664374819e-73,1.0,0.945926062166636
0,Acot1,18.317537,2.4635196,5.996541651394141e-75,1.6104712028427532e-71,0.867704280155642,0.4664336950524186
0,Lgals9,18.165352,2.5576146,9.708207087340262e-74,2.4067392154677073e-70,0.8715953307392996,0.45319109803200297
0,H2-K1,18.02338,1.5809573,1.2769824397312222e-72,2.9396135762612735e-69,1.0,0.969836306786831
0,Ifitm3,17.99276,3.5074642,2.220182420551045e-72,4.770135936634606e-69,0.8443579766536965,0.2745999632150083
0,Rtp4,17.93655,3.2394304,6.113493193812826e-72,1.2314103665637486e-68,0.77431906614786,0.15964686407945558
0,Napsa,17.888048,1.9710053,1.4613889676242775e-71,2.770449626387954e-68,0.9727626459143969,0.7597940040463491
0,Ly6i,17.600298,4.499519,2.450331143701604e-69,4.3871817832897387e-66,0.7315175097276264,0.1570719146588192
0,H2-D1,16.87001,1.2489841,7.478373661215207e-64,1.2050651317682184e-60,1.0,0.9805039543866103
0,Sftpd,16.706583,2.2479136,1.1737215398072689e-62,1.8012713230908886e-59,0.9844357976653697,0.7756115504874012
1,Krt18,23.116955,3.0697417,3.1267810967450777e-118,1.0076990118590037e-113,0.9954954954954955,0.8881578947368421
1,Krt8,22.520056,2.766662,2.6403272508996466e-112,4.2546233320996905e-108,0.990990990990991,0.8994883040935673
1,Gapdh,21.128347,2.341101,4.365693638933376e-99,3.517439364888621e-95,0.990990990990991,0.9161184210526315
1,Rpsa,21.008692,2.0294054,5.4618845080710556e-98,3.520512278522279e-94,0.9954954954954955,0.9572368421052632
1,Rps2,20.981413,2.325051,9.697040531722206e-98,4.888073271412088e-94,0.9954954954954955,0.9555921052631579
1,Rpl28,20.977102,1.5759472,1.0617014056064483e-97,4.888073271412088e-94,0.9954954954954955,0.9638157894736842
1,Btf3,20.548899,1.5580958,7.873055749810257e-94,3.1716605088110626e-90,0.9954954954954955,0.9404239766081871
1,Clu,20.395092,4.1977353,1.848678692740179e-92,6.619912989958943e-89,0.9414414414414415,0.7076023391812866
1,Rps20,20.31067,1.5073127,1.0348068330191958e-91,3.3349754614542644e-88,1.0,0.9689327485380117
1,Rpl29,20.264963,1.5711778,2.62160430297764e-91,7.680823952396672e-88,0.9954954954954955,0.9486476608187134
1,Rplp0,20.087833,1.8498542,9.42874051533291e-90,2.5322454110679086e-86,0.9954954954954955,0.9513888888888888
1,S100a11,20.044104,1.9893178,2.272405693117288e-89,5.633468513675689e-86,0.9954954954954955,0.966374269005848
1,Rpl19,20.027111,1.308734,3.196753515933236e-89,7.35892659367831e-86,1.0,0.9782529239766082
1,S100a14,19.859644,3.949764,9.095287977589142e-88,1.9541529396116192e-84,0.8918918918918919,0.26955409356725146
1,Rpl10a,19.807375,1.6678275,2.571415027334373e-87,5.179472718808262e-84,0.9954954954954955,0.9495614035087719
1,Rpl32,19.75286,1.6035681,7.580324603806957e-87,1.4370511843028859e-83,0.9954954954954955,0.9682017543859649
1,Rps10,19.675415,1.6554826,3.503036552973258e-86,6.2719923349567864e-83,0.9954954954954955,0.9375
