module	n_genes	n_present	fraction	gate1	missing
development_specific	94	94	1.0	pass	none
development_specific_minus_identity	51	51	1.0	pass	none
shared_remodelling	12	12	1.0	pass	none
shared_D_and_I	5	5	1.0	pass	none
