series,library,arm,primary_set,state,n_cells,evaluable,median_genes_per_cell,det_Epcam,mean_Epcam,det_Adam17,mean_Adam17,det_Rhbdf1,mean_Rhbdf1,det_Rhbdf2,mean_Rhbdf2,det_Timp3,mean_Timp3,det_Areg,mean_Areg,det_Krt8,mean_Krt8,det_Cldn4,mean_Cldn4
GSE247505,Expt1_4dRFPr1,KrasG12D 4d,True,DATP_like,46,False,1653.0,0.6087,1.2787,0.1739,0.1728,0.1522,0.1481,0.087,0.073,0.1522,0.2735,0.6087,1.8542,0.587,1.5838,0.5,0.9178
GSE247505,Expt1_4dRFPr1,KrasG12D 4d,True,AT2,3629,False,1475.0,0.6815,1.0318,0.1469,0.165,0.0758,0.0849,0.1182,0.131,0.2524,0.3269,0.31,0.5274,0.6172,1.0354,0.0295,0.0326
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,True,DATP_like,430,True,1785.0,0.6674,1.0097,0.1651,0.1819,0.1442,0.1446,0.2744,0.2914,0.0047,0.0056,0.893,2.2303,0.8581,2.0927,0.7558,1.4421
GSE247505,Expt1_4dRFPr2,KrasG12D 4d,True,AT2,996,True,1494.5,0.6456,0.9719,0.1315,0.1477,0.0793,0.086,0.1315,0.1472,0.1195,0.1436,0.3143,0.5249,0.7048,1.183,0.0602,0.0743
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,True,DATP_like,640,True,3678.0,0.9656,2.1344,0.3828,0.1961,0.3391,0.1812,0.4531,0.2594,0.0953,0.0652,0.9703,2.9737,0.9734,2.99,0.9141,1.6315
GSE247505,Expt1_2wRFPr1,KrasG12D 2w,True,AT2,2953,True,3332.0,0.9265,1.3049,0.3864,0.2196,0.2089,0.1054,0.2997,0.1644,0.4954,0.4464,0.7132,1.1147,0.9272,1.6298,0.211,0.1543
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,True,DATP_like,501,True,3105.0,0.982,2.5467,0.2076,0.1011,0.2116,0.1187,0.2355,0.121,0.0539,0.0374,0.9741,3.1731,0.976,3.0838,0.9521,1.8039
GSE247505,Expt1_2wRFPr2,KrasG12D 2w,True,AT2,1968,True,3016.0,0.8943,1.5609,0.2973,0.1902,0.1672,0.0915,0.2317,0.1432,0.3227,0.2756,0.5432,0.8947,0.8572,1.6206,0.2886,0.2923
GSE316244,Expt3_Het_RFP,Areg-flox/+,False,DATP_like,2732,True,4144.0,0.9912,2.3471,0.4363,0.2738,0.2544,0.1319,0.5026,0.316,0.1482,0.1149,0.9887,2.8111,0.996,2.9807,0.9191,1.3488
GSE316244,Expt3_Het_RFP,Areg-flox/+,False,AT2,2491,True,3809.0,0.9249,1.4214,0.5749,0.4368,0.2112,0.1191,0.4749,0.3335,0.5825,0.6835,0.6945,1.1019,0.9478,1.8067,0.3416,0.2912
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,False,DATP_like,1343,True,4529.0,0.9896,2.3251,0.4803,0.2678,0.2949,0.1333,0.6061,0.37,0.1184,0.0889,0.9523,1.6652,0.9963,2.9455,0.927,1.4099
GSE316244,Expt3_Hom_RFP,Areg-flox/flox,False,AT2,3307,True,3581.0,0.9108,1.2268,0.5621,0.4479,0.173,0.1021,0.4427,0.3144,0.5888,0.6427,0.3066,0.2853,0.9138,1.4686,0.0922,0.0595
