sample_id,day,tam,label,n_scored,n_traced,pct_traced,window,series
EEM-scRNA-310,366,14,cMON,7,0,,14 to 15 dpi,later_366
EEM-scRNA-311,366,14,cMON,19,5,,14 to 15 dpi,later_366
EEM-scRNA-158,0,-42,iMAC,20,1,,-42 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,iMAC,8,1,,-3 d before harvest (uninjured),baseline
EEM-scRNA-113,6,2,iMAC,3,1,,2 to 3 dpi,immediate
EEM-scRNA-162,6,2,iMAC,23,10,,2 to 3 dpi,immediate
EEM-scRNA-116,11,7,iMAC,9,1,,7 to 8 dpi,immediate
EEM-scRNA-167,11,7,iMAC,59,17,28.81,7 to 8 dpi,immediate
EEM-scRNA-117,19,14,iMAC,16,3,,14 to 15 dpi,immediate
EEM-scRNA-170,19,14,iMAC,27,2,,14 to 15 dpi,immediate
EEM-scRNA-118,25,21,iMAC,24,6,,21 to 22 dpi,immediate
EEM-scRNA-172,25,21,iMAC,23,1,,21 to 22 dpi,immediate
EEM-scRNA-124,42,2,iMAC,19,18,,2 to 3 dpi,common_42
EEM-scRNA-179,42,2,iMAC,64,35,54.69,2 to 3 dpi,common_42
EEM-scRNA-125,42,7,iMAC,22,14,,7 to 8 dpi,common_42
EEM-scRNA-180,42,7,iMAC,81,43,53.09,7 to 8 dpi,common_42
EEM-scRNA-126,42,14,iMAC,24,6,,14 to 15 dpi,common_42
EEM-scRNA-181,42,14,iMAC,58,4,6.9,14 to 15 dpi,common_42
EEM-scRNA-127,42,21,iMAC,12,2,,21 to 22 dpi,common_42
EEM-scRNA-182,42,21,iMAC,62,6,9.68,21 to 22 dpi,common_42
EEM-scRNA-236,90,2,iMAC,32,18,56.25,2 to 3 dpi,later_90
EEM-scRNA-237,90,7,iMAC,63,23,36.51,7 to 8 dpi,later_90
EEM-scRNA-238,90,14,iMAC,33,7,21.21,14 to 15 dpi,later_90
EEM-scRNA-239,90,21,iMAC,51,5,9.8,21 to 22 dpi,later_90
EEM-scRNA-312,366,7,iMAC,14,0,,7 to 8 dpi,later_366
EEM-scRNA-310,366,14,iMAC,21,6,,14 to 15 dpi,later_366
EEM-scRNA-311,366,14,iMAC,17,3,,14 to 15 dpi,later_366
EEM-scRNA-158,0,-42,iMON,15,3,,-42 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,iMON,2,2,,-3 d before harvest (uninjured),baseline
EEM-scRNA-113,6,2,iMON,96,89,92.71,2 to 3 dpi,immediate
EEM-scRNA-162,6,2,iMON,330,313,94.85,2 to 3 dpi,immediate
EEM-scRNA-116,11,7,iMON,96,52,54.17,7 to 8 dpi,immediate
EEM-scRNA-167,11,7,iMON,262,117,44.66,7 to 8 dpi,immediate
EEM-scRNA-117,19,14,iMON,37,5,13.51,14 to 15 dpi,immediate
EEM-scRNA-170,19,14,iMON,81,15,18.52,14 to 15 dpi,immediate
EEM-scRNA-118,25,21,iMON,22,5,,21 to 22 dpi,immediate
EEM-scRNA-172,25,21,iMON,23,1,,21 to 22 dpi,immediate
EEM-scRNA-124,42,2,iMON,14,11,,2 to 3 dpi,common_42
EEM-scRNA-179,42,2,iMON,14,3,,2 to 3 dpi,common_42
EEM-scRNA-125,42,7,iMON,3,1,,7 to 8 dpi,common_42
EEM-scRNA-180,42,7,iMON,9,3,,7 to 8 dpi,common_42
EEM-scRNA-126,42,14,iMON,5,2,,14 to 15 dpi,common_42
EEM-scRNA-181,42,14,iMON,8,2,,14 to 15 dpi,common_42
EEM-scRNA-127,42,21,iMON,1,1,,21 to 22 dpi,common_42
EEM-scRNA-182,42,21,iMON,9,2,,21 to 22 dpi,common_42
EEM-scRNA-236,90,2,iMON,27,10,,2 to 3 dpi,later_90
EEM-scRNA-237,90,7,iMON,6,0,,7 to 8 dpi,later_90
EEM-scRNA-238,90,14,iMON,1,0,,14 to 15 dpi,later_90
EEM-scRNA-239,90,21,iMON,17,5,,21 to 22 dpi,later_90
EEM-scRNA-312,366,7,iMON,1,0,,7 to 8 dpi,later_366
EEM-scRNA-310,366,14,iMON,5,1,,14 to 15 dpi,later_366
EEM-scRNA-311,366,14,iMON,5,0,,14 to 15 dpi,later_366
