candidate_identity,n_cells,retained_leiden_clusters,marker_notation
Ciliated (candidate),2617,"6,9,11,12",FOXJ1+ TPPP3+ CAPS+
Neuroendocrine (candidate),31,13,ASCL1+ CALCA+ CHGA+
Transitional (candidate),745,"1,5",KRT8+ CLDN4+ KRT17+ SFN+
Basal (candidate),498,15,KRT5+ TP63+ KRT17+
Club (candidate),1654,"3,16,17",SCGB1A1+ SCGB3A2+ SFTPB+
AT2 (candidate),682,"0,4",SFTPC+ SFTPB+ NAPSA+
AT1 (candidate),159,18,AGER+ CAV1+ HOPX+
