component	variance_fraction
1	0.6923143474808229
2	0.22731305626016318
3	0.03794045144515342
4	0.012929327221679958
5	0.007860371717283402
6	0.005500693349046273
7	0.003638729381829183
8	0.0028051120217476213
9	0.002022957182704013
10	0.0015955498142198583
11	0.001471661412810254
12	0.0013119087832838463
13	0.0011742741251479236
14	0.0011236847445279692
15	0.0009978750595803654
16	1.125606603259596e-31
