file	called_intervals	median_width_bp	q25_width_bp	q75_width_bp	caller_command	biological_comparison
GSE141635_AEC2_Homeostasis_H3K4me3_calledpeaks.bed.gz	27564	1766.0	1253.0	2697.0	"#cmd=getDifferentialPeaksReplicates.pl -t H3K4me3%Homeo1 H3K4me3%Homeo2 -i ../H3/H3%Homeo1 ../H3/H3%Homeo2 -region -size 1000 -minDist 2000 -C 0 -L 50 -genome mm10PeakID (cmd=annotatePeaks.pl 0.547363174920068.peaks mm10 -d ../H3/H3%Homeo1 ../H3/H3%Homeo2 H3K4me3%Homeo1 H3K4me3%Homeo2 -raw) (cmd=getDiffExpression.pl 0.547363174920068.raw.txt input input target target -norm2total -DESeq2 -fdr 0.05 -log2fold 1 -export 0.547363174920068)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	../H3/H3%Homeo1 Tag Count in given bp (5829635.5 Total, normalization factor = 1, effective total = 10000000)	../H3/H3%Homeo2 Tag Count in given bp (8965975.5 Total, normalization factor = 1, effective total = 10000000)	H3K4me3%Homeo1 Tag Count in given bp (3821456.0 Total, normalization factor = 1, effective total = 10000000)	H3K4me3%Homeo2 Tag Count in given bp (6201553.0 Total, normalization factor = 1, effective total = 10000000)	input vs. target Log2 Fold Change	input vs. target p-value	input vs. target adj. p-value"	HELD: incompatible peak-caller settings
GSE141635_CTGFpos_Bleomycin_H3K4me3_calledpeaks.bed.gz	21379	6142.0	5002.0	8734.5	"#cmd=getDifferentialPeaksReplicates.pl -t ./CTGF1/CTGF1_Tagdir ./CTGF2/CTGF2_Tagdir -i ../H3/CTGF1/CTGF1_Tagdir ../H3/CTGF2/CTGF2_Tagdir -region -size 4000 -minDist 4000 -C 0 -L 0PeakID (cmd=annotatePeaks.pl 0.431856277472438.peaks none -d ../H3/CTGF1/CTGF1_Tagdir ../H3/CTGF2/CTGF2_Tagdir ./CTGF1/CTGF1_Tagdir ./CTGF2/CTGF2_Tagdir -raw) (cmd=getDiffExpression.pl 0.431856277472438.raw.txt input input target target -norm2total -DESeq2 -fdr 0.05 -log2fold 1 -export 0.431856277472438)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	../H3/CTGF1/CTGF1_Tagdir Tag Count in given bp (8362658.5 Total, normalization factor = 1, effective total = 10000000)	../H3/CTGF2/CTGF2_Tagdir Tag Count in given bp (11799384.5 Total, normalization factor = 1, effective total = 10000000)	./CTGF1/CTGF1_Tagdir Tag Count in given bp (9669135.5 Total, normalization factor = 1, effective total = 10000000)	./CTGF2/CTGF2_Tagdir Tag Count in given bp (13524236.5 Total, normalization factor = 1, effective total = 10000000)	input vs. target Log2 Fold Change	input vs. target p-value	input vs. target adj. p-value"	HELD: incompatible peak-caller settings
