library,group,n_cells,det_Tnc,det_Fst,det_Runx1,det_Runx2,det_Acta2,det_Pdgfrb,det_Areg,det_Ereg,det_Hbegf,det_Tgfa,det_Egfr,det_Pdgfra,det_Col13a1
Bleo1_GFPp,bleomycin,3631,0.2013,0.1066,0.2245,0.0273,0.3421,0.2253,0.0055,0.019,0.1184,0.0028,0.0733,0.3564,0.2724
Bleo2_GFPp,bleomycin,3387,0.2132,0.119,0.2374,0.0334,0.3478,0.2076,0.021,0.0248,0.1349,0.003,0.0676,0.2976,0.2707
UT1_GFPp,untreated,4063,0.0263,0.0322,0.0783,0.0034,0.2973,0.1167,0.003,0.003,0.0719,0.003,0.05,0.4324,0.3938
UT2_GFPp,untreated,3271,0.0254,0.0339,0.0884,0.0031,0.4234,0.126,0.0024,0.0043,0.0621,0.004,0.0474,0.4946,0.4311
