cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
0,FMO5,17.161503,5.7302256,5.156113633612248e-66,8.899081749678039e-62,0.9811320754716981,0.17793646167298163
0,ALOX15B,17.121243,6.187805,1.0305335695682435e-65,8.899081749678039e-62,0.9811320754716981,0.063538327018362
0,SDR16C5,17.11847,4.030417,1.080816373791916e-65,8.899081749678039e-62,1.0,0.38210434275721367
0,ABCA3,17.08317,5.3613997,1.980623517530711e-65,1.2230845376631522e-61,1.0,0.172398717575051
0,C4BPA,16.951168,4.5645757,1.8866683923331736e-64,9.320519191804344e-61,1.0,0.18274555523171088
0,SERPINA1,16.935184,4.6170235,2.4757782602581088e-64,1.0192366467772591e-60,1.0,0.3902652287962693
0,NPC2,16.89923,3.562012,4.558259878061393e-64,1.6084796749713497e-60,1.0,0.8466919265520256
0,HHIP,16.890617,6.2941456,5.274822471803459e-64,1.6286673734502158e-60,0.9811320754716981,0.0469250947245701
0,ALPL,16.835905,4.0918574,1.3313762191645702e-63,3.6540359988426724e-60,1.0,0.2475954532206354
0,CA2,16.800362,5.492572,2.4255769930008154e-63,5.991417730411315e-60,0.9811320754716981,0.0750510055377441
0,LAMP3,16.684807,4.881297,1.6905197434698614e-62,3.7961389257680953e-59,1.0,0.17473039930049547
0,SFTPA2,16.664227,6.613726,2.3855759602068997e-62,4.910509316089219e-59,1.0,0.36665695132614395
0,ZDHHC3,16.597519,4.166643,7.263059771724146e-62,1.3800372263181396e-58,0.9905660377358491,0.33955115126785196
0,SFTPA1,16.57504,7.405603,1.0559046485382194e-61,1.8629929088244684e-58,1.0,0.265083066161469
0,SFTPC,16.559763,9.33601,1.3612787641458822e-61,2.2416631168778292e-58,1.0,0.4424366074030895
0,NAPSA,16.49627,5.554698,3.902745622612918e-61,6.025107476510106e-58,1.0,0.3332847566307199
0,FTL,16.432531,2.2576334,1.1189002342618974e-60,1.625762040382537e-57,1.0,0.9734771203730691
0,SFTPD,16.356726,4.888387,3.89510882911179e-60,5.345171288216128e-57,1.0,0.3020985135529
0,NUDT16,16.33921,3.445703,5.192071147149147e-60,6.749965758196373e-57,0.9905660377358491,0.3717575051005538
0,KIAA1324L,16.199425,4.5639386,5.090081171591978e-59,6.2865047509746725e-56,0.9716981132075472,0.08000582920431361
1,KRT5,35.92997,6.837123,1.0403124447564005e-282,2.5696757697927852e-278,1.0,0.09796672828096119
1,S100A2,35.30381,5.750945,5.13271165759339e-273,6.339155532710717e-269,1.0,0.24430067775723968
1,KRT15,34.45667,5.719779,3.577873763448299e-260,2.945901994364548e-256,0.9957983193277311,0.2276648182378312
1,GAPDH,34.3535,2.7292001,1.2486786158718762e-258,7.710902622662804e-255,1.0,0.8664510166358595
1,RPL3,33.541283,2.0439277,1.2063517353061023e-246,5.959618842759207e-243,1.0,0.9542513863216266
1,IL33,33.280632,4.525809,7.361420083405813e-243,3.0305739580034496e-239,0.9852941176470589,0.1415588416512631
1,RPL10A,33.049454,2.1253288,1.5840277712326133e-239,5.5895814253166835e-236,1.0,0.9226740603820086
1,RPS2,32.947136,1.9744265,4.6496746353745766e-238,1.4356451646048428e-234,1.0,0.9574861367837338
1,RPS4X,32.734367,1.8761386,5.068103075457884e-235,1.3002252783287174e-231,1.0,0.94362292051756
1,RPL7A,32.73321,1.8290225,5.263856841134843e-235,1.3002252783287174e-231,1.0,0.9557917436845348
1,RPS27A,32.713333,1.4867488,1.0093298310111981e-234,2.2664960141643277e-231,1.0,0.9687307455329637
1,RPS24,32.693684,1.4361441,1.92045305536615e-234,3.953092576716606e-231,1.0,0.9752002464571781
1,RPL13,32.598175,1.5450666,4.352867358403247e-233,8.270782816916816e-230,1.0,0.9847504621072088
1,RPS3A,32.488823,1.6326635,1.5337661946545362e-231,2.7061113410115504e-228,1.0,0.9604128157732594
1,RPL8,32.414654,1.5324782,1.7062798700822426e-230,2.8097879380600985e-227,1.0,0.9699630314232902
1,EEF1B2,32.41103,1.9901928,1.9191320853112728e-230,2.9627801024546097e-227,1.0,0.8790819470117067
1,SFN,32.357033,3.3602555,1.1047393287617417e-229,1.6051862446908106e-226,0.9915966386554622,0.3989525569932224
1,RPS23,32.221786,1.7644582,8.743129663890239e-228,1.1414224383343712e-224,1.0,0.9517868145409735
1,RPS15,32.221657,1.442912,8.779817144388103e-228,1.1414224383343712e-224,1.0,0.9656500308071473
1,RPS5,32.181774,1.8070492,3.1751581491456733e-227,3.921479072102364e-224,1.0,0.9292975970425139
10,S100A10,31.826042,3.4326837,2.824600535503414e-222,6.977045782746983e-218,0.9902676399026764,0.9197803873722739
10,TMSB4X,31.161335,2.9719954,3.5616385004113203e-213,4.3988016299330015e-209,0.9927007299270073,0.9708708250724417
10,AGER,30.580385,7.1273303,2.2316472936529036e-205,1.837463993350679e-201,0.9391727493917275,0.16364190940979106
10,B2M,28.95615,2.2292254,2.3480354561382256e-184,1.4499705950517578e-180,0.9878345498783455,0.9885618423059326
10,HOPX,27.494879,3.2084498,2.0215366041034408e-166,7.133425093994157e-163,0.9294403892944039,0.7640689339637029
10,CAV1,27.287718,4.1912932,5.9335980939938935e-164,1.8320725814967895e-160,0.9124087591240876,0.6129327436327588
10,S100A6,26.308308,1.5754226,1.5407845508306893e-152,2.9276091684668353e-149,0.9951338199513382,0.9917645264602715
10,EMP2,25.777836,3.182815,1.5717394434698946e-146,2.4264709995718666e-143,0.9099756690997567,0.91856031721824
10,MYL9,24.710197,4.573967,8.3098642998145e-135,8.924432959552954e-132,0.8223844282238443,0.40430074729296933
