Cluster,n_cells,Proposed identity,Runner-up,Panel score,Runner-up score,Supporting markers,Conflicting markers,Top data-derived genes,Confidence,Notes
0,681,DC (candidate),CD4_T,3.099,2.933,"CD1C, ITGAX, HLA-DRA, FLT3",CD4,"HLA-DRA, CD74, HLA-DPB1, MS4A6A, HLA-DPA1, HLA-DQB1, GPR183, HLA-DRB1, HLA-DMA, C1QA",Moderate,co-expresses markers of more than one lineage - check for doublets
1,597,Pan_immune (candidate),CD4_T,1.962,1.852,PTPRC,CD4,"COTL1, LYZ, AIF1, CTSS, SH3BGRL3, OAZ1, THBS1, FCER1G, FCN1, S100A4",Low,co-expresses markers of more than one lineage - check for doublets
2,1074,Mono_Mac (candidate),CD4_T,2.563,2.481,"LYZ, CD68, CSF1R, ITGAM, C1QA","CD4, MARCO, PPARG, MCEMP1","IFI30, FTL, CD163, CD68, PSAP, CTSB, FTH1, ATP6V0C, VSIG4, LYZ",Moderate,co-expresses markers of more than one lineage - check for doublets
3,1210,Erythroid (candidate),Endothelial,1.829,1.568,"HBB, HBA1","PECAM1, CDH5, CLDN5","IFI27, CLDN5, FCN3, IFITM3, HLA-B, MT2A, RGCC, HYAL2, HLA-C, TMSB10",Moderate,co-expresses markers of more than one lineage - check for doublets
4,1420,CD8_T (candidate),T_cell,6.069,4.61,"CD8A, CD8B",,"CCL5, CD3D, IL32, CCL4, CXCR4, CD69, CD3E, HCST, BTG1, DUSP2",High,
5,1854,T_cell (candidate),Treg,3.45,2.338,"CD3D, CD3E, CD3G, TRBC2",,"ZFP36L2, IL7R, CXCR4, CD69, BTG1, TSC22D3, JUNB, CD3E, CD2, TPT1",High,
6,1661,NK (candidate),Pan_immune,5.185,1.959,"NKG7, KLRD1, GNLY",,"NKG7, GNLY, CD247, KLRD1, GZMB, PRF1, CTSW, HCST, GZMA, PFN1",High,
7,681,Fibroblast (candidate),Erythroid,1.249,1.076,"COL1A1, COL1A2, DCN, COL3A1",HBB,"DCN, A2M, LUM, CFD, FBLN1, RARRES2, ADH1B, MT2A, LGALS1, MGP",Moderate,co-expresses markers of more than one lineage - check for doublets
8,555,Fibroblast (candidate),Fibro_activated,3.349,1.397,"COL1A1, COL1A2, DCN, PDGFRA, COL3A1",,"RARRES2, C7, FN1, LUM, DCN, SELENOP, COL1A2, CFD, ADH1B, COL6A1",High,
9,336,Fibroblast (candidate),Fibro_activated,3.209,1.567,"COL1A1, COL1A2, DCN, PDGFRA, COL3A1",,"LUM, COL6A3, COL1A2, C1R, MFAP4, C1S, FBLN1, A2M, COL1A1, COL6A2",High,
10,576,Endothelial_cap (candidate),Endothelial,2.143,2.09,"CA4, EDNRB","PECAM1, CDH5, EMCN, CLDN5, HBB, HBA1","CLDN5, IFI27, HPGD, B2M, HLA-B, HLA-C, IL1RL1, IFITM3, HLA-E, HLA-A",Moderate,co-expresses markers of more than one lineage - check for doublets
11,477,AT2 (candidate),Pan_epithelial,5.105,1.378,"SFTPC, SFTPB, ABCA3, LAMP3, SLC34A2, NAPSA",,"NAPSA, SFTPC, SFTPA1, SFTPD, SFTPA2, LAMP3, SLC34A2, PGC, CTSH, ABCA3",High,
12,759,Basal (candidate),Transitional,3.148,2.283,"KRT5, TP63, DAPL1",,"S100A2, KRT17, KRT15, AQP3, SFN, KRT19, KRT5, SERPINF1, MPZL2, DUSP23",High,
13,728,Neutrophil (candidate),Pan_immune,4.4,1.72,"S100A8, S100A9, FCGR3B",,"S100A9, S100A8, NAMPT, IFITM2, SRGN, NEAT1, CSF3R, S100A12, SOD2, ACTB",High,
14,496,Mono_Mac (candidate),Erythroid,1.172,0.944,"LYZ, CD68, C1QA",HBB,"FTL, TMSB4X, HLA-DRA, FTH1, C1QA, AIF1, CD74, C1QB, TYROBP, HLA-DPA1",Moderate,co-expresses markers of more than one lineage - check for doublets
15,739,Club (candidate),Erythroid,1.569,1.502,"SCGB1A1, SCGB3A2, SCGB3A1, MGP","HBB, HBA1","SLPI, SCGB3A2, SCGB3A1, SFTPB, CYB5A, WFDC2, MGST1, TPT1, EEF1A1, SCGB1A1",Moderate,co-expresses markers of more than one lineage - check for doublets
16,255,Plasma (candidate),Club,3.207,1.737,"JCHAIN, XBP1",,"LCN2, BPIFB1, WFDC2, SLPI, AGR2, CXCL17, SCGB1A1, MDK, PIGR, KRT19",High,
