sample_id,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,5,6,7,8,9
DD046Q,2.869,6.464,6.42,1.217,8.329,2.512,3.003,6.219,1.34,7.156,0.938,0.804,0.134,2.121,0.994,1.541,0.893,1.384,1.44,0.67,0.29,1.909,0.848,13.409,0.525,0.324,0.1,0.391,0.033,0.033,0.0,0.022,0.022,0.011,8.664,0.0,6.81,2.222,4.142,0.056,3.74
DD047Q,2.63,0.105,0.01,1.086,0.01,4.775,0.524,1.229,0.01,0.01,0.448,1.506,0.362,0.267,1.306,0.286,0.486,0.457,0.496,18.975,0.038,3.069,0.362,0.048,2.078,0.114,11.77,0.705,5.518,0.172,4.927,1.963,0.267,8.063,1.982,2.916,5.404,13.104,1.553,0.963,0.01
DD073R,1.788,0.085,0.0,3.068,0.145,0.024,2.078,0.64,1.619,0.109,0.0,2.44,12.369,1.111,0.858,4.155,0.894,1.413,11.934,0.012,2.222,1.993,4.324,0.048,2.488,2.343,0.085,0.024,3.515,0.0,0.0,2.222,11.753,0.217,5.266,2.331,8.177,1.051,1.776,5.423,0.0
