donor,n_cells,strict_gate,flat_AT0,flat_preTB,flat_gate_and_AT0,flat_AT0_over_gate,flat_within_factor_2,hier_AT0,hier_preTB,hier_gate_and_AT0,hier_AT0_over_gate,hier_within_factor_2
DD046Q,8957,596,1018,93,311,1.708,True,106,13,29,0.178,False
DD047Q,10493,880,1631,169,447,1.853,True,167,12,38,0.19,False
DD073R,8279,134,152,314,66,1.134,True,8,17,3,0.06,False
