comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,CCL2,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Mast cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,CCL2,Multiciliated (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Non-classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Pericytes,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,NK cells,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,CCL2,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Alveolar macrophages,macrophages,True,0,,
AT2,AT2,AIS,normal,CCL2,Interstitial Mph perivascular,macrophages,True,0,,
AT2,AT2,AIS,normal,CCL2,AT0,other,False,0,,
AT2,AT2,AIS,normal,CCL2,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,CCL2,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CCL2,Peribronchial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CCL2,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,CCL2,pre-TB secretory,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,DC2,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,CCL2,Hillock-like,other,False,0,,
AT2,AT2,AIS,normal,CCL2,SMG mucous,other,False,0,,
AT2,AT2,AIS,normal,CCL2,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,CCL2,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,CCL2,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,CCL2,Tuft,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,AT1,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,AT2,AT2,False,0,,
AT2,AT2,AIS,normal,CXCL1,Adventitial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL1,Alveolar fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL1,B cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,EC arterial,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Mast cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL1,Multiciliated (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Non-classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Pericytes,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,NK cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,SMG serous (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Alveolar macrophages,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL1,Interstitial Mph perivascular,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL1,AT0,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,CXCL1,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL1,Peribronchial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL1,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,pre-TB secretory,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,DC2,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL1,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL1,Hillock-like,other,False,0,,
AT2,AT2,AIS,normal,CXCL1,SMG mucous,other,False,0,,
