"comp","label","case","reference","omitted_patient","direction","n_patients","mapped_background","mapped_targets","eligible","reason"
"AT2","AT2","LUAD","normal","12","down",22,13150,2602,TRUE,"eligible"
"AT2","AT2","LUAD","normal","13","up",22,13231,2789,TRUE,"eligible"
"AT2","AT2","LUAD","normal","13","down",22,13231,2567,TRUE,"eligible"
"AT2","AT2","LUAD","normal","14","up",22,13281,2896,TRUE,"eligible"
"AT2","AT2","LUAD","normal","14","down",22,13281,2683,TRUE,"eligible"
"AT2","AT2","LUAD","normal","15","up",22,13256,2827,TRUE,"eligible"
"AT2","AT2","LUAD","normal","15","down",22,13256,2640,TRUE,"eligible"
"AT2","AT2","LUAD","normal","16","up",22,13260,2966,TRUE,"eligible"
"AT2","AT2","LUAD","normal","16","down",22,13260,2583,TRUE,"eligible"
"AT2","AT2","LUAD","normal","17","up",22,13131,2817,TRUE,"eligible"
"AT2","AT2","LUAD","normal","17","down",22,13131,2464,TRUE,"eligible"
"AT2","AT2","LUAD","normal","18","up",22,13015,2716,TRUE,"eligible"
"AT2","AT2","LUAD","normal","18","down",22,13015,2412,TRUE,"eligible"
"AT2","AT2","LUAD","normal","19","up",22,13029,2837,TRUE,"eligible"
"AT2","AT2","LUAD","normal","19","down",22,13029,2673,TRUE,"eligible"
"AT2","AT2","LUAD","normal","20","up",22,13144,2887,TRUE,"eligible"
"AT2","AT2","LUAD","normal","20","down",22,13144,2634,TRUE,"eligible"
"AT2","AT2","LUAD","normal","21","up",22,13241,2871,TRUE,"eligible"
"AT2","AT2","LUAD","normal","21","down",22,13241,2727,TRUE,"eligible"
"AT2","AT2","LUAD","normal","22","up",22,13139,2911,TRUE,"eligible"
"AT2","AT2","LUAD","normal","22","down",22,13139,2553,TRUE,"eligible"
"AT2","AT2","LUAD","normal","23","up",22,13030,2861,TRUE,"eligible"
"AT2","AT2","LUAD","normal","23","down",22,13030,2690,TRUE,"eligible"
"AT2","AT2","LUAD","normal","24","up",22,13011,2746,TRUE,"eligible"
"AT2","AT2","LUAD","normal","24","down",22,13011,2543,TRUE,"eligible"
"AT2","AT2","LUAD","normal","25","up",22,13119,2872,TRUE,"eligible"
"AT2","AT2","LUAD","normal","25","down",22,13119,2503,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","__none__","up",8,12686,781,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","__none__","down",8,12686,645,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","4","up",7,12332,1283,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","4","down",7,12332,745,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","6","up",7,12891,395,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","6","down",7,12891,284,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","9","up",7,12890,698,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","9","down",7,12890,647,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","11","up",7,12733,378,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","11","down",7,12733,277,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","20","up",7,12383,439,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","20","down",7,12383,356,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","22","up",7,12639,545,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","22","down",7,12639,390,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","24","up",7,12331,352,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","24","down",7,12331,316,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","25","up",7,12821,332,TRUE,"eligible"
"AT2","AT2","LUAD","AAH","25","down",7,12821,231,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","__none__","up",12,12884,41,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","__none__","down",12,12884,3,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","3","up",11,13195,31,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","3","down",11,13195,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","5","up",11,12702,24,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","5","down",11,12702,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","8","up",11,13069,36,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","8","down",11,13069,3,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","9","up",11,13250,16,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","9","down",11,13250,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","12","up",11,12807,32,TRUE,"eligible"
"AT2","AT2","LUAD","AIS","12","down",11,12807,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","AT2","LUAD","AIS","14","up",11,13283,19,TRUE,"eligible"
