comp,label,case,reference,omitted_patient,direction,ligand,pearson,scope,rank,ranked_ligands,planned_omissions
AT2,AT2,AIS,normal,__none__,up,HBEGF,0.0252152084545778,focused_triad,7.0,11,12
AT2,AT2,AIS,normal,__none__,up,TGFB1,0.0252167910398236,focused_triad,6.0,11,12
AT2,AT2,AIS,normal,__none__,up,VEGFA,0.0099384731403452,focused_triad,11.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT10B,0.0329534973188313,focused_triad,4.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT11,0.0331584004854101,focused_triad,3.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT2,0.0350811662733522,focused_triad,2.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT2B,0.0317058560676555,focused_triad,5.0,11,12
AT2,AT2,AIS,normal,__none__,up,WNT5A,0.0387800556965084,focused_triad,1.0,11,12
AT2,AT2,AIS,normal,14,up,AREG,0.0327045445105328,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,14,up,CXCL12,0.0107246238528159,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,14,up,CXCL2,0.0173964782554882,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,14,up,FGF7,0.015736357766782,source_agnostic_planned_panel,17.0,19,12
AT2,AT2,AIS,normal,14,up,HBEGF,0.0248168772666,source_agnostic_planned_panel,13.0,19,12
AT2,AT2,AIS,normal,14,up,TGFB1,0.0216446116925878,source_agnostic_planned_panel,15.0,19,12
AT2,AT2,AIS,normal,14,up,VEGFA,0.0092752117955266,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,14,up,WNT10A,0.0463644072235684,source_agnostic_planned_panel,4.0,19,12
AT2,AT2,AIS,normal,14,up,WNT10B,0.0438946294701621,source_agnostic_planned_panel,11.0,19,12
AT2,AT2,AIS,normal,14,up,WNT11,0.043930706819904,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,14,up,WNT2,0.0455678410712179,source_agnostic_planned_panel,7.0,19,12
AT2,AT2,AIS,normal,14,up,WNT2B,0.0440504358794724,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,14,up,WNT3A,0.0229949286516789,source_agnostic_planned_panel,14.0,19,12
AT2,AT2,AIS,normal,14,up,WNT4,0.0698669978462573,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,14,up,WNT5A,0.0559784581106659,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,14,up,WNT5B,0.0439363451539424,source_agnostic_planned_panel,9.0,19,12
AT2,AT2,AIS,normal,14,up,WNT7A,0.04585414761377,source_agnostic_planned_panel,6.0,19,12
AT2,AT2,AIS,normal,14,up,WNT7B,0.0467520465803204,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,14,up,WNT9A,0.0458759489447223,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,21,up,AREG,0.0531501124556198,source_agnostic_planned_panel,2.0,19,12
AT2,AT2,AIS,normal,21,up,CXCL12,0.0276094883397407,source_agnostic_planned_panel,18.0,19,12
AT2,AT2,AIS,normal,21,up,CXCL2,0.0333667592703735,source_agnostic_planned_panel,16.0,19,12
AT2,AT2,AIS,normal,21,up,FGF7,0.0490513268323007,source_agnostic_planned_panel,3.0,19,12
AT2,AT2,AIS,normal,21,up,HBEGF,0.0327519111266411,source_agnostic_planned_panel,17.0,19,12
AT2,AT2,AIS,normal,21,up,TGFB1,0.0562001839721368,source_agnostic_planned_panel,1.0,19,12
AT2,AT2,AIS,normal,21,up,VEGFA,0.0072694681051602,source_agnostic_planned_panel,19.0,19,12
AT2,AT2,AIS,normal,21,up,WNT10A,0.0436888696335703,source_agnostic_planned_panel,8.0,19,12
AT2,AT2,AIS,normal,21,up,WNT10B,0.0407868564498561,source_agnostic_planned_panel,12.0,19,12
AT2,AT2,AIS,normal,21,up,WNT11,0.0434756405820712,source_agnostic_planned_panel,10.0,19,12
AT2,AT2,AIS,normal,21,up,WNT2,0.048223752619419,source_agnostic_planned_panel,5.0,19,12
AT2,AT2,AIS,normal,21,up,WNT2B,0.0399872063526627,source_agnostic_planned_panel,14.0,19,12
