treatment,DATP_n,cAT2_n,hAT2_n,DATP_frac,cAT2_frac,hAT2_frac,epithelial_cells
IL-1beta,1692,25,312,0.8339083292262198,0.01232134056185313,0.15377033021192707,2029
control,10,14,1208,0.008116883116883116,0.011363636363636364,0.9805194805194806,1232
