treatment,DATP_n,cAT2_n,hAT2_n,DATP_frac,cAT2_frac,hAT2_frac,epithelial_cells
IL-1beta,2105,37,557,0.7799184883290108,0.013708781030011115,0.20637273064097814,2699
control,16,42,1810,0.008565310492505354,0.022483940042826552,0.9689507494646681,1868
