cluster,n_cells,Sftpc,hAT2_canonical,AT2_identity,AT2_lipid,pAT2_inflammatory,cAT2,DATP,AT1_canonical,AT1_early,AT1_late,DATP_figure7,p53,arrest,hypoxia,hypoxia_without_Ndrg1,ifng_response,glycolysis,responder,ciliated,mesenchyme,immune,endothelium,club_or_airway,state,rule,AT1_reference_detection
0,586,1.0000000000000109,0.9823663253697491,0.5494880546075127,0.7878270762229884,0.5744027303754322,0.09044368600682585,0.21877133105802143,0.3356086461888536,0.5170648464163871,0.37030716723549756,0.511376564277593,0.528583617747445,0.9035836177474497,0.4761092150170682,0.7389078498293585,0.5221843003413007,0.46302616609784253,0.44368600682594117,0.03299203640500567,0.7010807736063781,0.008105802047781569,0.010238907849829353,0.18828213879408429,hAT2,7,
1,935,1.0000000000000182,1.0000000000000182,0.9440285204991258,0.8556149732620467,0.4344385026738026,0.038502673796791426,0.21475935828877324,0.11907308377896601,0.25846702317290715,0.44572192513369685,0.06238859180035646,0.42032085561497823,0.42139037433155535,0.3245989304812879,0.6235294117647149,0.27807486631016226,0.33083778966132354,0.026737967914438495,0.1140819964349375,0.17486631016042828,0.008021390374331552,0.007486631016042781,0.2873440285205019,hAT2,5 (reference),
2,481,0.9999999999999867,0.9847539847539718,0.46916146916146734,0.7311157311157249,0.47359667359667,0.031185031185031187,0.48066528066527725,0.7941787941787863,0.9175329175329064,0.745841995841989,0.5190575190575176,0.4267151767151756,0.5706860706860671,0.3388773388773375,0.6008316008315981,0.5244282744282707,0.46569646569646145,0.19542619542619544,0.1483021483021483,0.16008316008316006,0.0036382536382536385,0.007623007623007623,0.1406791406791407,hAT2,7,
3,365,0.9999999999999966,0.9972602739725992,0.39999999999999897,0.77077625570776,0.6241095890410939,0.1031963470319633,0.2799999999999994,0.426484018264839,0.4319634703196334,0.40547945205479335,0.38538812785388027,0.5273972602739712,0.9246575342465722,0.64794520547945,0.8712328767123259,0.4246575342465742,0.6584474885844729,0.5123287671232862,0.0401826484018265,0.6356164383561623,0.01643835616438356,0.023744292237442923,0.1333333333333332,hAT2,7,
4,79,0.9999999999999987,0.9999999999999987,0.7805907172995775,0.7721518987341766,0.6607594936708857,0.5232067510548527,0.42278481012658214,0.2658227848101267,0.3924050632911395,0.4968354430379742,0.2827004219409284,0.6044303797468352,0.5189873417721516,0.5189873417721517,0.7721518987341767,0.4873417721518985,0.45991561181434565,0.10126582278481013,0.25316455696202544,0.28270042194092837,0.022151898734177215,0.008438818565400843,0.3333333333333333,cAT2,2,
5,2121,1.0000000000000544,0.9998428414270543,0.7570328461417839,0.6515794436586672,0.6208392267798423,0.02263083451202264,0.42178217821783087,0.18591859185918522,0.2993870815652982,0.3541961338991137,0.2907433600502896,0.37399811409712674,0.40287600188590933,0.4639321074964753,0.7260726072607495,0.3386374351720884,0.4424013829954581,0.03300330033003303,0.05516265912305504,0.14214992927864165,0.004714757190004713,0.007386452931007388,0.23715228665724009,DATP,4,
