sample_id,gene,endpoint,AF1,AF2,direction
EEM-scRNA-170,Wnt2,cpm,86.10449641685149,1.6816105793484768,AF1>AF2
EEM-scRNA-172,Wnt2,cpm,69.1447738324282,2.384369977920734,AF1>AF2
EEM-scRNA-179,Wnt2,cpm,53.84776493100346,3.1185582281599573,AF1>AF2
EEM-scRNA-181,Wnt2,cpm,74.14607350852171,4.0254731943739985,AF1>AF2
EEM-scRNA-182,Wnt2,cpm,64.16348124180088,5.339398890472911,AF1>AF2
EEM-scRNA-236,Wnt2,cpm,36.745926201195765,0.0,AF1>AF2
EEM-scRNA-237,Wnt2,cpm,63.822850681042695,0.0,AF1>AF2
EEM-scRNA-238,Wnt2,cpm,48.15550983539401,2.001437031788824,AF1>AF2
EEM-scRNA-239,Wnt2,cpm,45.86083544184159,2.1249197842781435,AF1>AF2
EEM-scRNA-310,Wnt2,cpm,57.85906047171849,0.0,AF1>AF2
EEM-scRNA-311,Wnt2,cpm,80.61310956633896,0.0,AF1>AF2
EEM-scRNA-312,Wnt2,cpm,63.700903508076955,0.0,AF1>AF2
EEM-scRNA-113,Wnt2,expected_detection_1000,0.04844814225382611,0.0010220549231889484,AF1>AF2
EEM-scRNA-116,Wnt2,expected_detection_1000,0.08504799749146195,0.0,AF1>AF2
EEM-scRNA-118,Wnt2,expected_detection_1000,0.0459181170226446,0.0,AF1>AF2
EEM-scRNA-124,Wnt2,expected_detection_1000,0.019234995585831062,0.0,AF1>AF2
EEM-scRNA-125,Wnt2,expected_detection_1000,0.04806277540438922,0.003024745140258499,AF1>AF2
EEM-scRNA-158,Wnt2,expected_detection_1000,0.09132110687757568,0.002433463108370553,AF1>AF2
EEM-scRNA-162,Wnt2,expected_detection_1000,0.05803902526179749,0.0,AF1>AF2
EEM-scRNA-166,Wnt2,expected_detection_1000,0.14403572160279846,0.0018998909462586229,AF1>AF2
EEM-scRNA-167,Wnt2,expected_detection_1000,0.10095652952441168,0.0,AF1>AF2
EEM-scRNA-170,Wnt2,expected_detection_1000,0.08813578699209498,0.0008634325936534163,AF1>AF2
EEM-scRNA-172,Wnt2,expected_detection_1000,0.06846936987171531,0.0011888372934880129,AF1>AF2
EEM-scRNA-179,Wnt2,expected_detection_1000,0.052439917459391576,0.0011344942992086106,AF1>AF2
EEM-scRNA-181,Wnt2,expected_detection_1000,0.07685934441740129,0.0039926535174918745,AF1>AF2
EEM-scRNA-182,Wnt2,expected_detection_1000,0.06497085858524781,0.001275825278418495,AF1>AF2
EEM-scRNA-236,Wnt2,expected_detection_1000,0.03707317359009514,0.0,AF1>AF2
EEM-scRNA-237,Wnt2,expected_detection_1000,0.06231620561485077,0.0,AF1>AF2
EEM-scRNA-238,Wnt2,expected_detection_1000,0.0471139959099125,0.0016472293601779544,AF1>AF2
EEM-scRNA-239,Wnt2,expected_detection_1000,0.04436584011874299,0.0010056699670155332,AF1>AF2
EEM-scRNA-310,Wnt2,expected_detection_1000,0.053670084855116845,0.0,AF1>AF2
EEM-scRNA-311,Wnt2,expected_detection_1000,0.07447728279485882,0.0,AF1>AF2
EEM-scRNA-312,Wnt2,expected_detection_1000,0.0615730747510704,0.0,AF1>AF2
