source_library	group	driver	chase_days	source_labels	retained_cells
IGO15600	14wk	Slc4a11	14	2	930
IGO15601	8wk	Slc4a11	14	4	742
IGO15771	14wk	Slc4a11	14	1	61
IGO16686	12wk_3d	Slc4a11	3	6	877
IGO17402	6wk_3d	Slc4a11	3	5	586
IGO17402	Hopx_12wk3d	Hopx	3	2	1226
IGO17543	Hopx_12wk14d	Hopx	14	2	911
