annotation	group	category	sources	total_cells	state_cells	equal_source	cell_pooled	weighting_gap_pp	loo_equal_min	loo_equal_max	loo_pooled_min	loo_pooled_max	max_abs_equal_change_pp	max_abs_pooled_change_pp
cell type	6wk_3d	AT1-like	5	586	5	0.0059024320864741854	0.008532423208191127	-0.26299911217169414	0.0031645569620253164	0.007378040108092732	0.004901960784313725	0.011363636363636364	0.2737875124448869	0.36304624238774014
cell type	6wk_3d	AT2-like	5	586	29	0.04375019510655832	0.04948805460750853	-0.573785950095021	0.03886495907307132	0.05139827019898738	0.04439252336448598	0.054901960784313725	0.7648075092429054	0.5413906176805192
cell type	6wk_3d	EMT	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	6wk_3d	HPCS	5	586	544	0.9308027246697705	0.9283276450511946	0.24750796185759594	0.9224319772657846	0.9398191953108974	0.925	0.9333333333333333	0.9016470641126872	0.5005688282138765
cell type	6wk_3d	Highly proliferative	5	586	4	0.00901833234772324	0.006825938566552901	0.21923937811703384	0.0014044943820224719	0.01127291543465405	0.00196078431372549	0.009345794392523364	0.7613837965700767	0.4865154252827411
cell type	6wk_3d	Hybrid lung/gastric-like	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	6wk_3d	Lung endoderm-like	5	586	4	0.010526315789473684	0.006825938566552901	0.37003772229207826	0.0	0.013157894736842105	0.0	0.00980392156862745	1.0526315789473684	0.6825938566552902
cell type	6wk_3d	Ribosome	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	8wk	AT1-like	4	742	51	0.06052780347414945	0.06873315363881402	-0.8205350164664573	0.052334943639291455	0.0734573611539384	0.05191256830601093	0.07947019867549669	1.2929557679788957	1.6820585332803089
cell type	8wk	AT2-like	4	742	353	0.4743884263541988	0.4757412398921833	-0.13528135379844985	0.4368657278925549	0.4924212834481105	0.4503311258278146	0.48841059602649006	3.752269846164391	2.541011406436872
cell type	8wk	EMT	4	742	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cell type	8wk	HPCS	4	742	178	0.23997520300133623	0.2398921832884097	0.008301971292654087	0.22737434474252236	0.2571650049679652	0.23224043715846995	0.25165562913907286	1.7189801966628948	1.1763445850663161
cell type	8wk	Highly proliferative	4	742	14	0.017335414739438792	0.018867924528301886	-0.15325097888630942	0.011036591633261384	0.023113886319251722	0.014900662251655629	0.02147239263803681	0.6298823106177407	0.39672622766462573
cell type	8wk	Hybrid lung/gastric-like	4	742	79	0.12477901120361805	0.10646900269541779	1.8310008508200262	0.09600164456778704	0.14221742556617673	0.09202453987730061	0.1284153005464481	2.877736663583101	2.1946297851030305
cell type	8wk	Lung endoderm-like	4	742	66	0.08232924761023744	0.0889487870619946	-0.6619539451757167	0.05421677459142769	0.09866121903587212	0.07119205298013245	0.10099337748344371	2.811247301880975	1.7756734081862153
cell type	8wk	Ribosome	4	742	1	0.0006648936170212766	0.0013477088948787063	-0.06828152778574297	0.0	0.0008865248226950354	0.0	0.0016556291390728477	0.06648936170212766	0.13477088948787064
cell type	12wk_3d	AT1-like	6	877	54	0.04847395675029345	0.06157354618015964	-1.3099589429866185	0.04065462380656683	0.05424717947290116	0.04397705544933078	0.06709677419354838	0.7819332943726622	1.7596490730828855
cell type	12wk_3d	AT2-like	6	877	142	0.16577847422116201	0.1619156214367161	0.3862852784445925	0.13686520354815307	0.1810237213042004	0.1338432122370937	0.1865203761755486	2.8913270673008946	2.8072409199622395
cell type	12wk_3d	EMT	6	877	4	0.004209593441896533	0.004561003420752566	-0.03514099788560331	0.0011299435028248588	0.005051512130275839	0.0025806451612903226	0.006269592476489028	0.3079649939071674	0.19803582594622432
cell type	12wk_3d	HPCS	6	877	586	0.6785839307411266	0.6681870011402509	1.0396929600875682	0.6578153612408164	0.7211972686134899	0.6253918495297806	0.734225621414914	4.261333787236332	6.603862027466311
cell type	12wk_3d	Highly proliferative	6	877	34	0.04148364356569961	0.03876852907639681	0.27151144893028045	0.032538992968494704	0.04781958796511405	0.028680688336520075	0.047021943573667714	0.8944650597204908	1.0087840739876734
cell type	12wk_3d	Hybrid lung/gastric-like	6	877	22	0.018092898239825805	0.02508551881413911	-0.6992620574313306	0.013801873368016951	0.021711477887790966	0.015296367112810707	0.029780564263322883	0.42910248718088534	0.9789151701328405
cell type	12wk_3d	Lung endoderm-like	6	877	28	0.03670584043253119	0.03192702394526796	0.47788164872632277	0.026805629208692595	0.0415365482679914	0.02676864244741874	0.03918495297805643	0.9900211223838593	0.7257929032788469
cell type	12wk_3d	Ribosome	6	877	7	0.006671662607464768	0.00798175598631699	-0.13100933788522223	0.0029850746268656717	0.008005995128957721	0.001567398119122257	0.01338432122370937	0.3686587980599096	0.6414357867194733
