annotation	group	category	omitted_source	remaining_sources	remaining_cells	equal_source	cell_pooled	equal_change_pp	pooled_change_pp
cell type	6wk_3d	AT1-like	BO1535_B0302	4	510	0.007378040108092732	0.00980392156862745	0.1475608021618546	0.12714983604363242
cell type	6wk_3d	AT1-like	BO1540_B0303	4	440	0.007378040108092732	0.011363636363636364	0.1475608021618546	0.28312131554452374
cell type	6wk_3d	AT1-like	BR1128_B0307	4	558	0.007378040108092732	0.008960573476702509	0.1475608021618546	0.042815026851138194
cell type	6wk_3d	AT1-like	BR1615_B0304	4	428	0.004213483146067416	0.007009345794392523	-0.16889489404067698	-0.15230774137986033
cell type	6wk_3d	AT1-like	BS1265_B0305	4	408	0.0031645569620253164	0.004901960784313725	-0.2737875124448869	-0.36304624238774014
cell type	6wk_3d	AT2-like	BO1535_B0302	4	510	0.05139827019898738	0.054901960784313725	0.7648075092429054	0.5413906176805192
cell type	6wk_3d	AT2-like	BO1540_B0303	4	440	0.03927678497908831	0.045454545454545456	-0.4473410127470011	-0.40335091529630773
cell type	6wk_3d	AT2-like	BR1128_B0307	4	558	0.045759172454626476	0.05017921146953405	0.20089773480681528	0.06911568620255187
cell type	6wk_3d	AT2-like	BR1615_B0304	4	428	0.03886495907307132	0.04439252336448598	-0.4885236033487006	-0.5095531243022554
cell type	6wk_3d	AT2-like	BS1265_B0305	4	408	0.043451788827018126	0.051470588235294115	-0.02984062795401976	0.1982533627785582
cell type	6wk_3d	EMT	BO1535_B0302	4	510	0.0	0.0	0.0	0.0
cell type	6wk_3d	EMT	BO1540_B0303	4	440	0.0	0.0	0.0	0.0
cell type	6wk_3d	EMT	BR1128_B0307	4	558	0.0	0.0	0.0	0.0
cell type	6wk_3d	EMT	BR1615_B0304	4	428	0.0	0.0	0.0	0.0
cell type	6wk_3d	EMT	BS1265_B0305	4	408	0.0	0.0	0.0	0.0
cell type	6wk_3d	HPCS	BO1535_B0302	4	510	0.9398191953108974	0.9333333333333333	0.9016470641126872	0.5005688282138765
cell type	6wk_3d	HPCS	BO1540_B0303	4	440	0.9289143647413228	0.925	-0.18883599284477137	-0.3327645051194539
cell type	6wk_3d	HPCS	BR1128_B0307	4	558	0.9224319772657846	0.9265232974910395	-0.8370747403985912	-0.18043475601551284
cell type	6wk_3d	HPCS	BR1615_B0304	4	428	0.9324907476093651	0.9299065420560748	0.168802293959458	0.1578897004880231
cell type	6wk_3d	HPCS	BS1265_B0305	4	408	0.9303573384214829	0.9264705882352942	-0.044538624828760476	-0.18570568159004264
cell type	6wk_3d	Highly proliferative	BO1535_B0302	4	510	0.0014044943820224719	0.00196078431372549	-0.7613837965700767	-0.4865154252827411
