annotation	group	source_label	category	numerator	denominator	fraction
clusterK12_stringent	8wk	BH1094_B0302_GFP+	08	29	376	0.07712765957446809
clusterK12_stringent	8wk	BH1129_B0303_GFP+	08	15	90	0.16666666666666666
clusterK12_stringent	8wk	BH1290_B0304_GFP+	08	18	138	0.13043478260869565
clusterK12_stringent	8wk	BH1065_B0301_GFP+	09	0	138	0.0
clusterK12_stringent	8wk	BH1094_B0302_GFP+	09	1	376	0.0026595744680851063
clusterK12_stringent	8wk	BH1129_B0303_GFP+	09	0	90	0.0
clusterK12_stringent	8wk	BH1290_B0304_GFP+	09	1	138	0.007246376811594203
clusterK12_stringent	8wk	BH1065_B0301_GFP+	11	0	138	0.0
clusterK12_stringent	8wk	BH1094_B0302_GFP+	11	0	376	0.0
clusterK12_stringent	8wk	BH1129_B0303_GFP+	11	0	90	0.0
clusterK12_stringent	8wk	BH1290_B0304_GFP+	11	0	138	0.0
clusterK12_stringent	8wk	BH1065_B0301_GFP+	12	0	138	0.0
clusterK12_stringent	8wk	BH1094_B0302_GFP+	12	0	376	0.0
clusterK12_stringent	8wk	BH1129_B0303_GFP+	12	0	90	0.0
clusterK12_stringent	8wk	BH1290_B0304_GFP+	12	0	138	0.0
clusterK12_stringent	8wk	BH1065_B0301_GFP+	other	50	138	0.36231884057971014
clusterK12_stringent	8wk	BH1094_B0302_GFP+	other	121	376	0.32180851063829785
clusterK12_stringent	8wk	BH1129_B0303_GFP+	other	23	90	0.25555555555555554
clusterK12_stringent	8wk	BH1290_B0304_GFP+	other	33	138	0.2391304347826087
clusterK12_stringent	12wk_3d	BL1121_B0304	01	1	57	0.017543859649122806
clusterK12_stringent	12wk_3d	BL1124_B0305	01	1	67	0.014925373134328358
clusterK12_stringent	12wk_3d	BL1233_B0306	01	5	58	0.08620689655172414
clusterK12_stringent	12wk_3d	BL1237_B0302	01	1	239	0.0041841004184100415
clusterK12_stringent	12wk_3d	BL1606_B0303	01	8	354	0.022598870056497175
clusterK12_stringent	12wk_3d	BL1646_B0301	01	3	102	0.029411764705882353
clusterK12_stringent	12wk_3d	BL1121_B0304	02	1	57	0.017543859649122806
clusterK12_stringent	12wk_3d	BL1124_B0305	02	0	67	0.0
clusterK12_stringent	12wk_3d	BL1233_B0306	02	8	58	0.13793103448275862
clusterK12_stringent	12wk_3d	BL1237_B0302	02	6	239	0.02510460251046025
clusterK12_stringent	12wk_3d	BL1606_B0303	02	7	354	0.01977401129943503
