level	unit	left	right	left_category	right_category	cells
all	all	cell type	clusterK12_stringent	AT2-like	01	212
all	all	cell type	clusterK12_stringent	AT2-like	02	265
all	all	cell type	clusterK12_stringent	AT2-like	03	10
all	all	cell type	clusterK12_stringent	AT2-like	04	53
all	all	cell type	clusterK12_stringent	AT2-like	05	54
all	all	cell type	clusterK12_stringent	AT2-like	06	4
all	all	cell type	clusterK12_stringent	AT2-like	07	0
all	all	cell type	clusterK12_stringent	AT2-like	08	66
all	all	cell type	clusterK12_stringent	AT2-like	09	75
all	all	cell type	clusterK12_stringent	AT2-like	11	0
all	all	cell type	clusterK12_stringent	AT2-like	12	0
all	all	cell type	clusterK12_stringent	AT2-like	other	538
all	all	cell type	clusterK12_stringent	EMT	01	0
all	all	cell type	clusterK12_stringent	EMT	02	0
all	all	cell type	clusterK12_stringent	EMT	03	0
all	all	cell type	clusterK12_stringent	EMT	04	0
all	all	cell type	clusterK12_stringent	EMT	05	2
all	all	cell type	clusterK12_stringent	EMT	06	0
all	all	cell type	clusterK12_stringent	EMT	07	0
all	all	cell type	clusterK12_stringent	EMT	08	0
all	all	cell type	clusterK12_stringent	EMT	09	0
all	all	cell type	clusterK12_stringent	EMT	11	9
all	all	cell type	clusterK12_stringent	EMT	12	0
all	all	cell type	clusterK12_stringent	EMT	other	5
all	all	cell type	clusterK12_stringent	HPCS	01	0
all	all	cell type	clusterK12_stringent	HPCS	02	0
all	all	cell type	clusterK12_stringent	HPCS	03	16
all	all	cell type	clusterK12_stringent	HPCS	04	0
all	all	cell type	clusterK12_stringent	HPCS	05	1496
all	all	cell type	clusterK12_stringent	HPCS	06	2
all	all	cell type	clusterK12_stringent	HPCS	07	0
all	all	cell type	clusterK12_stringent	HPCS	08	11
all	all	cell type	clusterK12_stringent	HPCS	09	43
all	all	cell type	clusterK12_stringent	HPCS	11	2
all	all	cell type	clusterK12_stringent	HPCS	12	1
all	all	cell type	clusterK12_stringent	HPCS	other	146
all	all	cell type	clusterK12_stringent	Highly proliferative	01	9
all	all	cell type	clusterK12_stringent	Highly proliferative	02	0
all	all	cell type	clusterK12_stringent	Highly proliferative	03	0
all	all	cell type	clusterK12_stringent	Highly proliferative	04	0
all	all	cell type	clusterK12_stringent	Highly proliferative	05	13
all	all	cell type	clusterK12_stringent	Highly proliferative	06	2
all	all	cell type	clusterK12_stringent	Highly proliferative	07	23
all	all	cell type	clusterK12_stringent	Highly proliferative	08	0
all	all	cell type	clusterK12_stringent	Highly proliferative	09	10
all	all	cell type	clusterK12_stringent	Highly proliferative	11	0
all	all	cell type	clusterK12_stringent	Highly proliferative	12	0
all	all	cell type	clusterK12_stringent	Highly proliferative	other	50
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	01	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	02	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	03	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	04	1
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	05	3
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	06	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	07	1
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	08	240
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	09	8
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	11	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	12	0
all	all	cell type	clusterK12_stringent	Hybrid lung/gastric-like	other	55
all	all	cell type	clusterK12_stringent	Lung endoderm-like	01	41
all	all	cell type	clusterK12_stringent	Lung endoderm-like	02	0
all	all	cell type	clusterK12_stringent	Lung endoderm-like	03	8
all	all	cell type	clusterK12_stringent	Lung endoderm-like	04	88
all	all	cell type	clusterK12_stringent	Lung endoderm-like	05	16
all	all	cell type	clusterK12_stringent	Lung endoderm-like	06	9
all	all	cell type	clusterK12_stringent	Lung endoderm-like	07	0
all	all	cell type	clusterK12_stringent	Lung endoderm-like	08	31
all	all	cell type	clusterK12_stringent	Lung endoderm-like	09	7
all	all	cell type	clusterK12_stringent	Lung endoderm-like	11	0
all	all	cell type	clusterK12_stringent	Lung endoderm-like	12	0
all	all	cell type	clusterK12_stringent	Lung endoderm-like	other	331
all	all	cell type	clusterK12_stringent	Ribosome	01	0
all	all	cell type	clusterK12_stringent	Ribosome	02	1
all	all	cell type	clusterK12_stringent	Ribosome	03	0
all	all	cell type	clusterK12_stringent	Ribosome	04	0
all	all	cell type	clusterK12_stringent	Ribosome	05	0
all	all	cell type	clusterK12_stringent	Ribosome	06	2
all	all	cell type	clusterK12_stringent	Ribosome	07	0
all	all	cell type	clusterK12_stringent	Ribosome	08	0
all	all	cell type	clusterK12_stringent	Ribosome	09	4
all	all	cell type	clusterK12_stringent	Ribosome	11	0
all	all	cell type	clusterK12_stringent	Ribosome	12	0
all	all	cell type	clusterK12_stringent	Ribosome	other	3
all	all	clusterK12	clusterK12_stringent	01	01	271
all	all	clusterK12	clusterK12_stringent	01	02	0
all	all	clusterK12	clusterK12_stringent	01	03	0
all	all	clusterK12	clusterK12_stringent	01	04	0
all	all	clusterK12	clusterK12_stringent	01	05	0
all	all	clusterK12	clusterK12_stringent	01	06	0
all	all	clusterK12	clusterK12_stringent	01	07	0
all	all	clusterK12	clusterK12_stringent	01	08	0
all	all	clusterK12	clusterK12_stringent	01	09	0
all	all	clusterK12	clusterK12_stringent	01	11	0
all	all	clusterK12	clusterK12_stringent	01	12	0
all	all	clusterK12	clusterK12_stringent	01	other	155
all	all	clusterK12	clusterK12_stringent	02	01	0
all	all	clusterK12	clusterK12_stringent	02	02	277
all	all	clusterK12	clusterK12_stringent	02	03	0
all	all	clusterK12	clusterK12_stringent	02	04	0
all	all	clusterK12	clusterK12_stringent	02	05	0
all	all	clusterK12	clusterK12_stringent	02	06	0
all	all	clusterK12	clusterK12_stringent	02	07	0
all	all	clusterK12	clusterK12_stringent	02	08	0
all	all	clusterK12	clusterK12_stringent	02	09	0
all	all	clusterK12	clusterK12_stringent	02	11	0
all	all	clusterK12	clusterK12_stringent	02	12	0
all	all	clusterK12	clusterK12_stringent	02	other	170
all	all	clusterK12	clusterK12_stringent	03	01	0
all	all	clusterK12	clusterK12_stringent	03	02	0
all	all	clusterK12	clusterK12_stringent	03	03	1210
all	all	clusterK12	clusterK12_stringent	03	04	0
all	all	clusterK12	clusterK12_stringent	03	05	0
all	all	clusterK12	clusterK12_stringent	03	06	0
all	all	clusterK12	clusterK12_stringent	03	07	0
all	all	clusterK12	clusterK12_stringent	03	08	0
all	all	clusterK12	clusterK12_stringent	03	09	0
all	all	clusterK12	clusterK12_stringent	03	11	0
all	all	clusterK12	clusterK12_stringent	03	12	0
all	all	clusterK12	clusterK12_stringent	03	other	130
all	all	clusterK12	clusterK12_stringent	04	01	0
all	all	clusterK12	clusterK12_stringent	04	02	0
all	all	clusterK12	clusterK12_stringent	04	03	0
all	all	clusterK12	clusterK12_stringent	04	04	142
all	all	clusterK12	clusterK12_stringent	04	05	0
all	all	clusterK12	clusterK12_stringent	04	06	0
all	all	clusterK12	clusterK12_stringent	04	07	0
all	all	clusterK12	clusterK12_stringent	04	08	0
all	all	clusterK12	clusterK12_stringent	04	09	0
all	all	clusterK12	clusterK12_stringent	04	11	0
all	all	clusterK12	clusterK12_stringent	04	12	0
all	all	clusterK12	clusterK12_stringent	04	other	245
all	all	clusterK12	clusterK12_stringent	05	01	0
all	all	clusterK12	clusterK12_stringent	05	02	0
all	all	clusterK12	clusterK12_stringent	05	03	0
all	all	clusterK12	clusterK12_stringent	05	04	0
all	all	clusterK12	clusterK12_stringent	05	05	1589
all	all	clusterK12	clusterK12_stringent	05	06	0
all	all	clusterK12	clusterK12_stringent	05	07	0
all	all	clusterK12	clusterK12_stringent	05	08	0
all	all	clusterK12	clusterK12_stringent	05	09	0
