resource,ligand,receptor
consensus,WNT3A,FZD5_LRP6
consensus,WNT3A,FZD2_LRP6
consensus,WNT3A,FZD8_LRP6
consensus,WNT3A,FZD3_LRP6
consensus,WNT3A,FZD4_LRP6
consensus,WNT3A,FZD10_LRP6
consensus,WNT3A,FZD1_LRP6
consensus,WNT3A,LGR5
consensus,WNT3A,ATP6AP2
consensus,WNT3A,RYK
consensus,WNT3A,ROR1
consensus,WNT3A,LRP1
consensus,WNT3A,APCDD1
consensus,WNT4,FZD9_LRP5
consensus,WNT4,FZD9_LRP6
consensus,WNT4,FZD6_LRP5
consensus,WNT4,FZD6_LRP6
consensus,WNT4,FZD7_LRP5
consensus,WNT4,FZD7_LRP6
consensus,WNT4,FZD5_LRP5
consensus,WNT4,FZD2_LRP5
consensus,WNT4,FZD8_LRP5
consensus,WNT4,FZD3_LRP5
consensus,WNT4,FZD4_LRP5
consensus,WNT4,FZD10_LRP5
consensus,WNT4,FZD1_LRP5
consensus,WNT4,FZD5_LRP6
consensus,WNT4,FZD2_LRP6
consensus,WNT4,FZD8_LRP6
consensus,WNT4,FZD3_LRP6
consensus,WNT4,FZD4_LRP6
consensus,WNT4,FZD10_LRP6
consensus,WNT4,FZD1_LRP6
consensus,WNT4,NOTCH1
consensus,WNT4,SMO
consensus,WNT7B,FZD9_LRP5
consensus,WNT7B,FZD9_LRP6
consensus,WNT7B,FZD6_LRP5
consensus,WNT7B,FZD6_LRP6
consensus,WNT7B,FZD7_LRP5
consensus,WNT7B,FZD7_LRP6
consensus,WNT7B,FZD5_LRP5
consensus,WNT7B,FZD2_LRP5
consensus,WNT7B,FZD8_LRP5
consensus,WNT7B,FZD3_LRP5
consensus,WNT7B,FZD4_LRP5
consensus,WNT7B,FZD10_LRP5
consensus,WNT7B,FZD1_LRP5
consensus,WNT7B,FZD5_LRP6
consensus,WNT7B,FZD2_LRP6
consensus,WNT7B,FZD8_LRP6
consensus,WNT7B,FZD3_LRP6
consensus,WNT7B,FZD4_LRP6
consensus,WNT7B,FZD10_LRP6
consensus,WNT7B,FZD1_LRP6
consensus,WNT2B,FZD9_LRP5
consensus,WNT2B,FZD9_LRP6
consensus,WNT2B,FZD6_LRP5
consensus,WNT2B,FZD6_LRP6
consensus,WNT2B,FZD7_LRP5
consensus,WNT2B,FZD7_LRP6
consensus,WNT2B,FZD5_LRP5
consensus,WNT2B,FZD2_LRP5
consensus,WNT2B,FZD8_LRP5
consensus,WNT2B,FZD3_LRP5
consensus,WNT2B,FZD4_LRP5
consensus,WNT2B,FZD10_LRP5
consensus,WNT2B,FZD1_LRP5
consensus,WNT2B,FZD5_LRP6
