patient	normal_type2_cells	lesion_epithelial_cells	eligible
P0006	91	100	True
P0008	137	42	False
P0009	330	5	False
P0018	76	1002	True
P0019	151	222	True
P0020	191	434	True
P0028	208	984	True
P0030	72	784	True
P0031	250	182	True
P0034	369	2374	True
