cluster,n_cells,Sftpc,hAT2_canonical,AT2_identity,AT2_lipid,pAT2_inflammatory,cAT2,DATP,AT1_canonical,AT1_early,AT1_late,DATP_figure7,p53,arrest,hypoxia,hypoxia_without_Ndrg1,ifng_response,glycolysis,responder,ciliated,mesenchyme,immune,endothelium,club_or_airway,state,rule,AT1_reference_detection,sftpc_informative
0,587,1.0000000000000007,0.9823963657013067,0.5479840999432145,0.7870528109028966,0.5747870528109033,0.09028960817717212,0.21873935264054528,0.33503691084611037,0.5167518455423058,0.36967632027257263,0.5110732538330497,0.5293867120954007,0.904599659284498,0.4770017035775131,0.7393526405451453,0.5212947189097107,0.46337308347529843,0.44463373083475327,0.034071550255536646,0.7013060760931293,0.008091993185689948,0.01022146507666099,0.1885292447473028,contaminant_mesenchyme,1b,0.8021845694799663,False
1,943,0.9999999999999769,0.9999999999999769,0.9416755037115386,0.8547189819724125,0.4349946977730591,0.03817603393425241,0.21484623541887232,0.12336514669494549,0.2640509013785797,0.44644750795333304,0.06327324142806658,0.4194061505832421,0.4236479321314929,0.32237539766701795,0.6203605514315969,0.27942735949098674,0.3319194061505788,0.026511134676564158,0.11452810180275745,0.1749734888653239,0.007953340402969248,0.007423117709437964,0.28667373630258125,hAT2,5 (reference),0.8021845694799663,False
2,148,1.0000000000000022,0.9932432432432455,0.5247747747747742,0.70945945945946,0.5756756756756765,0.34459459459459413,0.2175675675675674,0.3716216216216213,0.4256756756756756,0.4695945945945946,0.27927927927927915,0.6030405405405409,0.760135135135136,0.4695945945945949,0.743243243243244,0.42229729729729726,0.5382882882882888,0.21621621621621606,0.10360360360360359,0.5157657657657658,0.018581081081081082,0.0045045045045045045,0.21396396396396375,contaminant_mesenchyme,1b,0.8021845694799663,False
3,184,1.000000000000003,0.9601449275362347,0.42934782608695715,0.7807971014492775,0.3728260869565225,0.023550724637681156,0.2695652173913049,0.9112318840579737,0.9547101449275391,0.8980978260869591,0.19202898550724626,0.41440217391304435,0.5923913043478274,0.2663043478260875,0.5217391304347836,0.45516304347826186,0.3894927536231893,0.22282608695652162,0.2083333333333335,0.18115942028985513,0.005434782608695652,0.010869565217391304,0.17572463768115934,AT1,3b,0.8021845694799663,False
4,604,0.9999999999999875,0.9999999999999875,0.7224061810154478,0.6616997792494451,0.5645695364238369,0.022075055187637974,0.4526490066225145,0.21026490066225212,0.35761589403973604,0.35844370860926955,0.3785871964679916,0.3841059602649003,0.3675496688741718,0.4172185430463553,0.7168874172185385,0.3799668874172183,0.3929359823399523,0.03973509933774837,0.06456953642384101,0.13217439293598257,0.0041390728476821195,0.00883002207505519,0.18598233995585045,DATP,4,0.8021845694799663,False
5,1119,1.000000000000017,1.000000000000017,0.8054810843014687,0.669347631814123,0.6627345844504086,0.023235031277926723,0.3742627345844532,0.15162347333929044,0.2254989574024424,0.3315460232350324,0.22847780756627878,0.38918677390527323,0.38829311885612205,0.46782841823056676,0.7622877569258338,0.31456657730116055,0.4006553470360492,0.03038427167113493,0.04766160262138811,0.15638963360142996,0.006702412868632706,0.007745010425975571,0.26928805481084456,hAT2,7,0.8021845694799663,False
6,340,0.999999999999997,0.999999999999997,0.5009803921568615,0.6852941176470569,0.5417647058823516,0.03333333333333333,0.6176470588235278,0.6931372549019589,0.8676470588235269,0.6345588235294101,0.7166666666666647,0.4323529411764696,0.5455882352941163,0.4102941176470579,0.6852941176470569,0.5566176470588221,0.5245098039215673,0.17647058823529405,0.103921568627451,0.14558823529411744,0.0029411764705882353,0.004901960784313725,0.12745098039215677,AT1,3b,0.8021845694799663,False
7,374,1.0000000000000033,0.9991087344028554,0.680926916221036,0.5837789661319089,0.6048128342246006,0.027629233511586446,0.5069518716577553,0.2165775401069523,0.3778966131907317,0.3983957219251349,0.30570409982174757,0.3241978609625675,0.4933155080213917,0.5360962566844935,0.6203208556149751,0.34090909090909166,0.6327985739750465,0.029411764705882353,0.07932263814616754,0.127896613190731,0.0020053475935828875,0.0053475935828877,0.22905525846702365,DATP,4,0.8021845694799663,False
8,268,0.999999999999995,0.999999999999995,0.4278606965174136,0.824626865671639,0.6455223880596986,0.09577114427860706,0.3201492537313438,0.4179104477611924,0.42537313432835666,0.39552238805970075,0.40547263681592005,0.49999999999999956,0.9421641791044733,0.7052238805970134,0.9253731343283541,0.43283582089552164,0.6815920398009928,0.582089552238806,0.037313432835820885,0.6293532338308431,0.014925373134328356,0.031094527363184073,0.13805970149253746,contaminant_mesenchyme,1b,0.8021845694799663,False
