treatment,state,dpt_pseudotime
IL-1beta,AT1,0.6130439
IL-1beta,DATP,0.5551941
IL-1beta,hAT2,0.20264608
control,AT1,0.84408003
control,DATP,0.5164782
control,hAT2,0.05209903
