treatment,AT1_n,DATP_n,cAT2_n,hAT2_n,AT1_frac,DATP_frac,cAT2_frac,hAT2_frac,epithelial_cells
IL-1beta,279,2105,37,2,0.1151465125877012,0.8687577383408998,0.015270326042096575,0.0008254230293025176,2423
control,202,16,42,933,0.16932103939647947,0.013411567476948869,0.03520536462699078,0.7820620284995808,1193
