contrast,set,size,tested,mean_t_set,mean_t_rest,inter_gene_corr,vif,camera_t,p,direction,fdr
A,HALLMARK_E2F_TARGETS,194,True,0.293206271320628,0.07179096893616715,0.353724390546181,69.26880737541293,0.23653668115943977,0.8130205771091776,up in first arm,0.953386945016524
A,HALLMARK_G2M_CHECKPOINT,184,True,0.17153951514719742,0.07402598630327498,0.2973347816967315,55.412265050501865,0.11342779423222656,0.9096934402778426,up in first arm,0.953386945016524
A,GOBP_MITOTIC_DNA_REPLICATION,15,True,0.13556472844509657,0.07554883957592659,0.3888116203573909,6.443362685003473,0.058455382689358494,0.953386945016524,up in first arm,0.953386945016524
A,GOBP_CELL_CYCLE_DNA_REPLICATION,36,True,0.22159018532433478,0.0751582299736043,0.3332175602377342,12.662614608320697,0.15761016855786258,0.8747668343847436,up in first arm,0.953386945016524
A,GOBP_ARGININE_METABOLIC_PROCESS,10,True,0.4099486330705859,0.07533027597679333,-0.00926217750254818,0.9166404024770664,0.7052655129756269,0.4806596993321154,up in first arm,0.953386945016524
A,GOBP_ORNITHINE_METABOLIC_PROCESS,7,False,,,,,,,,
B,HALLMARK_E2F_TARGETS,193,True,0.0038798273213585944,-0.8587235793974316,0.34027851348610205,66.33347458933159,0.8947406523064664,0.3709452373671362,up in first arm,0.46368154670892026
B,HALLMARK_G2M_CHECKPOINT,182,True,-0.2009433803791472,-0.8544196532723258,0.3125038022270412,57.56318820309446,0.70658080852007,0.4798419224209243,up in first arm,0.4798419224209243
B,GOBP_MITOTIC_DNA_REPLICATION,15,True,0.3772585687635105,-0.8453144680701125,0.44816075322199533,7.274250545107934,1.0676223320707843,0.28571423777943117,up in first arm,0.46368154670892026
B,GOBP_CELL_CYCLE_DNA_REPLICATION,36,True,0.13718456609299917,-0.8468610871835676,0.3917718520702483,14.71201482245869,0.9360824200604617,0.3492512178899417,up in first arm,0.46368154670892026
B,GOBP_ARGININE_METABOLIC_PROCESS,10,True,0.1419679534245946,-0.8445475020130769,0.051625376875286656,1.46462839187758,1.5672482998191424,0.11708530929258182,up in first arm,0.46368154670892026
B,GOBP_ORNITHINE_METABOLIC_PROCESS,7,False,,,,,,,,
