source_identifier,Classification,cell type,cells
AV1975,AV1975_bfp_B0304,AT1-like,5
AV1975,AV1975_bfp_B0304,AT2-like,7
AV1975,AV1975_bfp_B0304,EMT,5
AV1975,AV1975_bfp_B0304,GI epithelium-like,3
AV1975,AV1975_bfp_B0304,HPCS,37
AV1975,AV1975_bfp_B0304,Hybrid lung/gastric-like,6
AV1975,AV1975_bfp_B0304,Lung endoderm-like,1
AV1975,AV1975_gfp_mscarlet_B0305,AT1-like,144
AV1975,AV1975_gfp_mscarlet_B0305,AT2-like,178
AV1975,AV1975_gfp_mscarlet_B0305,EMT,13
AV1975,AV1975_gfp_mscarlet_B0305,GI epithelium-like,3
AV1975,AV1975_gfp_mscarlet_B0305,HPCS,143
AV1975,AV1975_gfp_mscarlet_B0305,Highly proliferative,5
AV1975,AV1975_gfp_mscarlet_B0305,Hybrid lung/gastric-like,19
AV1975,AV1975_gfp_mscarlet_B0305,Lung endoderm-like,200
AV1975,AV1975_mscarlet_B0302,AT1-like,53
AV1975,AV1975_mscarlet_B0302,AT2-like,17
AV1975,AV1975_mscarlet_B0302,EMT,17
AV1975,AV1975_mscarlet_B0302,GI epithelium-like,5
AV1975,AV1975_mscarlet_B0302,HPCS,269
AV1975,AV1975_mscarlet_B0302,Highly proliferative,9
AV1975,AV1975_mscarlet_B0302,Hybrid lung/gastric-like,109
AV1975,AV1975_mscarlet_B0302,Lung endoderm-like,15
AV1980,AV1980_bfp_B0309,AT1-like,1
AV1980,AV1980_bfp_B0309,AT2-like,210
AV1980,AV1980_bfp_B0309,EMT,4
AV1980,AV1980_bfp_B0309,GI epithelium-like,7
AV1980,AV1980_bfp_B0309,HPCS,50
AV1980,AV1980_bfp_B0309,Highly proliferative,1
AV1980,AV1980_bfp_B0309,Hybrid lung/gastric-like,19
AV1980,AV1980_gfp_mscarlet_B0310,AT1-like,21
AV1980,AV1980_gfp_mscarlet_B0310,AT2-like,347
AV1980,AV1980_gfp_mscarlet_B0310,EMT,33
AV1980,AV1980_gfp_mscarlet_B0310,HPCS,93
AV1980,AV1980_gfp_mscarlet_B0310,Highly proliferative,2
AV1980,AV1980_gfp_mscarlet_B0310,Hybrid lung/gastric-like,227
AV1980,AV1980_mscarlet_B0306,AT1-like,7
AV1980,AV1980_mscarlet_B0306,AT2-like,37
AV1980,AV1980_mscarlet_B0306,EMT,143
AV1980,AV1980_mscarlet_B0306,GI epithelium-like,19
AV1980,AV1980_mscarlet_B0306,HPCS,536
AV1980,AV1980_mscarlet_B0306,Highly proliferative,4
AV1980,AV1980_mscarlet_B0306,Hybrid lung/gastric-like,279
