cohort,unit,seed,module,case,reference,n_case,n_reference,difference,eligible
GSE247130,P9_control,17,Han_ISR_source_symbols,two_marker,reference,205,10857,0.00046527962918069266,True
GSE247130,P9_control,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,205,10857,-0.005028149172266599,True
GSE247130,P9_control,29,Han_ISR_source_symbols,two_marker,reference,202,10860,0.003884803230419398,True
GSE247130,P9_control,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,202,10860,-0.0016538725695773998,True
GSE247130,P9_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,447,10223,0.006616237112230708,True
GSE247130,P9_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,447,10223,0.0019376469761080983,True
GSE247130,P9_Cebpa_mutant,29,Han_ISR_source_symbols,two_marker,reference,414,10256,0.006275463915983909,True
GSE247130,P9_Cebpa_mutant,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,414,10256,0.0004835224464879023,True
GSE247130,7wk_control,17,Han_ISR_source_symbols,two_marker,reference,19,6875,0.0020652646415192932,False
GSE247130,7wk_control,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,19,6875,-0.005422574618364102,False
GSE247130,7wk_control,29,Han_ISR_source_symbols,two_marker,reference,19,6875,-0.0019107896591372964,False
GSE247130,7wk_control,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,19,6875,-0.0091943312827523,False
GSE247130,7wk_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,60,9744,0.01274757831494,True
GSE247130,7wk_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,60,9744,0.004118969426851207,True
GSE247130,7wk_Cebpa_mutant,29,Han_ISR_source_symbols,two_marker,reference,74,9730,0.011634151419997102,True
GSE247130,7wk_Cebpa_mutant,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,74,9730,0.0018454513829642971,True
GSE247130,SeV_control,17,Han_ISR_source_symbols,two_marker,reference,27,8515,0.014343369666169899,False
GSE247130,SeV_control,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,27,8515,0.0080699585025285,False
GSE247130,SeV_control,29,Han_ISR_source_symbols,two_marker,reference,36,8507,0.017997920747639895,True
GSE247130,SeV_control,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,36,8507,0.008603745561544994,True
GSE247130,SeV_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,215,8533,0.01122111081652881,True
GSE247130,SeV_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,215,8533,0.0029440051580088,True
GSE247130,SeV_Cebpa_mutant,29,Han_ISR_source_symbols,two_marker,reference,219,8525,0.010680320557515895,True
GSE247130,SeV_Cebpa_mutant,29,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,219,8525,0.002808133095362403,True
GSE277777,AV1975,17,Han_ISR_source_symbols,HPCS,AT2-like,449,202,0.03975289215307941,True
