cohort,module,eligible_units,positive,minimum,maximum
GSE247130,Han_ISR_source_symbols,4,4,0.00046527962918069266,0.01274757831494
GSE247130,Han_ISR_without_HPCS_ADI_or_operational_markers,4,3,-0.005028149172266599,0.004118969426851207
GSE277777,Han_ISR_source_symbols,2,2,0.006748766816421392,0.03975289215307941
GSE277777,Han_ISR_without_HPCS_ADI_or_operational_markers,2,1,-0.0013557700413371065,0.0222634457209641
GSE300288,Han_ISR_source_symbols,4,4,0.001426809210526403,0.026871565934066005
GSE300288,Han_ISR_without_HPCS_ADI_or_operational_markers,4,1,-0.0183274291497975,0.004208932093547488
GSE310539,Han_ISR_source_symbols,2,2,0.009968883414216603,0.015748358887619412
GSE310539,Han_ISR_without_HPCS_ADI_or_operational_markers,2,2,0.002486693025204101,0.0025595769896982062
