timepoint,n_het,n_hom,il1r1_het,il1r1_hom,wnt_het,wnt_hom,R2_corroborated,reading,why
2w,2,2,"[0.2017, 0.1619]","[0.1607, 0.1866]","[1.3143, 0.8846]","[1.5417, 1.3463]",False,not computable,"U2, Il1r1 is not lower in both homozygous libraries than in both heterozygous ones, so the genotype labels cannot be verified from three-prime counts and the contrast is refused"
12w,2,2,"[0.199, 0.0947]","[0.2, 0.1222]","[1.5578, 1.4362]","[1.7522, 1.4838]",False,not computable,"U2, Il1r1 is not lower in both homozygous libraries than in both heterozygous ones, so the genotype labels cannot be verified from three-prime counts and the contrast is refused"
