set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_COMPLEMENT,0.45641249030446135,1.5044255976486909,0.0,0.009588637017067626,Lap3;Fn1;Timp1;C2;Cfb;Serping1;Lamp2;C1s1;Casp7;Ctss;Psmb9;Xpnpep1;Rabif;Casp4;Irf7;Adam9;Gnb2;Msrb1;Plscr1;C3;Calm3;Car2;Tfpi2;Fdx1;Irf2;C1qc;Cpq;Lrp1;Ctsh;Cp;Csrp1;Mmp14;Pim1;Il6;F8;Sirt6;F3;Fcer1g;Ehd1;Serpine1;Lgmn;Src;Dock10;Stx4a;Grb2;Jak2;Ppp4c;Tnfaip3;Col4a2;Ctsb;Spock2;Ccl5;Lgals3;Gngt2;Lck;Zeb1;Pfn1;Cfh;Usp14;Lcp2;Pla2g4a,145
HALLMARK_KRAS_SIGNALING_UP,0.45091914900756525,1.4763163219842297,0.0,0.01182897276871894,Il2rg;Cfb;Fuca1;Cpe;Cbr4;Traf1;Peg3;Ctss;Psmb8;Vwa5a;Cxcl10;Tor1aip2;Csf2ra;Fbxo4;Ptgs2;Zfp277;Tmem176b;Prelid3b;Gprc5b;Cd37;Glrx;Car2;Apod;Lat2;Il1b;Flt4;Akt2;Satb1;Birc3;Spp1;Lif;Spon1;Tmem176a;Ly96;Tmem158;Gypc;Fcer1g;Rbm4;Cmklr1;Irf8;Emp1;Laptm5;Ptbp2;Gucy1a1;Yrdc;Tnfaip3;Etv5;Inhba;Ikzf1;Hsd11b1;Cfh;Sox9;Scn1b;Itgb2;Ccnd2;Ammecr1;Il33;Angptl4,143
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.486045288793047,1.4645673722011057,0.013265306122448979,0.01342133448758495,Lsp1;Fes;Sod2;Ftl1;Ndufs2;Hmox2;Selenos;Pfkp;Gclm;Glrx;Egln2;Msra;Prdx6;Txn1;Glrx2;Srxn1;Mgst1;Ptpa;Stk25;G6pdx;Atox1;Pdlim1;Gsr;Prdx2;Txnrd1;Lamtor5;Gclc;Gpx3;Prdx1;Prnp,45
HALLMARK_APICAL_JUNCTION,0.4460591648395014,1.4566614718283561,0.0,0.013589236573587828,Tgfbi;Vcam1;Tspan4;Vcan;Actn1;Mapk11;Traf1;Nectin2;Shc1;Fbn1;Adam15;Sgce;Syk;Myl9;Cdh4;Mmp2;Adam9;Crat;Rac2;Arpc2;Sdc3;Evl;Cd274;Nlgn2;Akt2;Rras;Tubg1;Lamb3;B4galt1;Vasp;Cdh1;Slit2;Jam3;Ptprc;Src;Col16a1;Stx4a;Icam1;Hras;Gtf2f1;Fscn1;Icam2,146
HALLMARK_DNA_REPAIR,0.42618209818863007,1.4094114738680257,0.001,0.02484084281430977,Rfc5;Sdcbp;Nelfe;Aaas;Vps37d;Mpg;Zwint;Umps;Mrpl40;Gtf2a2;Rbx1;Vps28;Nelfcd;Adrm1;Nt5c3;Tarbp2;Fen1;Polr2h;Rfc2;Nme1;Sf3a3;Rae1;Pole4;Hcls1;Rpa3;Surf1;Gmpr2;Polr2d;Sec61a1;Alyref;Polr2a;Ercc1;Gtf2f1;Rfc3;Polr1d;Gtf2b;Cmpk2;Tsg101;Prim1;Pnp;Polb;Itpa;Brf2;Polr3c;Pold4;Nudt9;Mpc2;Ell;Tyms;Lig1;Rala;Polr2g;Cstf3;Pola2;Pold3;Polr2c;Gsdme;Polr3gl;Ddb2;Edf1;Taf10;Upf3b;Rad51;Tk2;Gtf2h1;Polr2i;Poll;Gtf2h3;Bcam;Polr1h;Trp53;Taf13,144
HALLMARK_XENOBIOTIC_METABOLISM,0.42815051516129826,1.4011093233727003,0.005,0.026307142563765557,Smox;Dcxr;Cfb;Tnfrsf1a;Gstm4;Ninj1;Upp1;Igf1;Asl;Slc35b1;Cndp2;Hmox1;Cyp2j6;Hes6;Tmem176b;Sar1b;Car2;Tpst1;Psmb10;Arpp19;Pink1;Ccl25;Pgd;Ddt;Slc1a5;Ptgr1;Slc12a4;Tmbim6;Blvrb;Serpine1;Nfs1;Spint2;Tkfc;Irf8;Cyp2s1;Ndrg2;Alas1;Mpp2;Gch1;Shmt2;Ttpa;Cdo1;Abcc3;Gsto1;Pts;Xdh;Etfdh;Adh5;Gstt2;Hsd11b1;Acp1;Acp2;Abhd6;Ppard;Bphl;Gart;Cyfip2;Pcx;Slc46a3;Gsr;Ugdh;Lpin2;Tgfb2;Nmt1,140
HALLMARK_HEDGEHOG_SIGNALING,-0.3212492509165311,-1.3966987077041573,0.03571428571428571,0.0392156862745098,Hey2;Ets2;Hey1;Nrp1;Dpysl2;L1cam;Tle3;Myh9;Ptch1;Rasa1,25
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.4245308101806566,1.3711621606933744,0.012036108324974924,0.03745841376760997,Il2rg;Csnk2b;Tnfrsf1a;Ube2n;Ap2m1;Nfkbib;Dapp1;Arpc3;Arhgdia;Sqstm1;Cfl1;Arf1;Mapk9;Atf1;Pdk1;Stat2;Cdk4;Akt1;Grb2;Cdk1;Hras;Ralb;Pla2g12a;Sla;Pin1;Lck;Actr3;Slc2a1;Gna14;Pfn1;Mknk2;Ppp1ca;Sfn;Trib3;Prkag1;Mapk8;Tbk1;Ecsit;Cdk2;Traf2;E2f1;Ube2d3;Rac1;Eif4e;Mapk1,93
HALLMARK_HEME_METABOLISM,0.4015967617749936,1.3259065848852027,0.011,0.061773524458865574,Smox;Mpp1;Sdcbp;Lamp2;Marchf2;Mkrn1;Slc11a2;Psmd9;Lrp10;Eif2ak1;Igsf3;Myl4;Blvra;Ypel5;Gclm;C3;Car2;H1f0;Htatip2;Selenbp1;Agpat4;Sidt2;Slc6a8;E2f2;Dcaf11;Hdgf;Hmbs;Urod;Gypc;Blvrb;Nnt;Bach1;Gde1;Ubac1;Mgst3;Rnf123;Slc10a3;Hagh;Ctsb;Rcl1;Atg4a;Fbxo7;Bsg;Pgls;Slc2a1;Mocos;Abcg2;Btrc;Htra2;Fech;Bmp2k;Ccdc28a;Tmem9b;Ranbp10;Pcx;Slc6a9;Adipor1;Cir1;Rbm38;Glrx5;Bpgm;Lpin2;Ucp2;Mospd1;Picalm,157
HALLMARK_MTORC1_SIGNALING,0.39811105580131395,1.314590697597405,0.004,0.06765342320355043,Psmc2;Psmc4;Atp6v1d;Psmd14;Psat1;Psma4;Edem1;Psma3;Psmd13;Ddx39a;Coro1a;Psmd12;Cops5;Psph;Ufm1;Psmc6;Pgk1;Phgdh;Nfkbib;Dapp1;Glrx;Sqstm1;Ppa1;Eno1b;Vldlr;Dhfr;Aurka;Ppia;Tomm40;Fgl2;Got1;Igfbp5;Pno1;Rrm2;Pdk1;Tubg1;Hmbs;Niban1;Slc1a5;Slc7a5;Hk2;Eif2s2;Sdf2l1;Qdpr;Ebp;Lgmn;Psmg1;Aldoa;Mthfd2;Pnp;Gpi1;Sla;Shmt2;Nampt;Actr3;Slc2a1;Ldha;Uchl5;Nfyc;Serp1;Itgb2;G6pdx;Trib3;Eef1e1;Nupr1;Gsr;Tpi1;Nmt1;Pgm1;Tbk1;Srd5a1;Mcm4;Rrp9;Ung;Ube2d3;Asns;Rab1a;Txnrd1;Arpc5l;Cd9;Gtf2h1;Gla;Etf1;Gclc;Slc1a4;Psmb5;Tes,187
