label,median_pct_traced_42dpi_window_2,median_pct_traced_42dpi_window_7,median_pct_traced_42dpi_window_14,median_pct_traced_42dpi_window_21,pct_traced_90dpi_window_2,pct_traced_90dpi_window_7,pct_traced_90dpi_window_14,pct_traced_90dpi_window_21,pct_traced_366dpi_window_7,pct_traced_366dpi_window_14
Neutrophil,20.37,37.94,28.33,63.44,,6.98,34.38,17.65,,
aMAC,79.72,59.95,29.31,41.99,90.74,70.41,25.66,35.61,48.72,37.3
cMON,13.33,21.57,,32.5,,11.11,33.33,10.0,,
iMAC,54.69,53.09,6.9,9.68,56.25,36.51,21.21,9.8,,
iMON,,,,,,,,,,
