well,role,n_labelled,reading,why,at2_relative_pct,at2_ci_lo,at2_ci_hi,at2_geneset_percentile
wildtype_SeV,test,64,not established,R19: the AT2 arm clears at most one null,-37.82075377277168,-72.15575444506126,-3.485753100482098,0.0
7wk_Cebpa_mutant,negative control,112,not computable,R9: the transitional arm does not clear both nulls,-18.290013690200716,-41.292550280577785,4.712522900176354,0.006666666666666667
SeV_Cebpa_mutant,test,320,not computable,R9: the transitional arm does not clear both nulls,-15.489753734015403,-24.411395649198134,-6.568111818832671,0.0
