cluster,rank,feature_id,gene_symbol,mean_log_expression,mean_log_difference_vs_other_cells,descriptive_no_P_value
0,1,ENSMUSG00000069516,Lyz2,4.282415918082245,3.5579927861832026,True
0,2,ENSMUSG00000058715,Fcer1g,3.521434448351545,2.636138221807248,True
0,3,ENSMUSG00000030579,Tyrobp,3.6567549457973687,2.5071989377783717,True
0,4,ENSMUSG00000063856,Gpx1,3.6362645889609313,2.338793584043028,True
0,5,ENSMUSG00000038811,Gngt2,2.5735308214529486,2.2740816386222047,True
0,6,ENSMUSG00000073412,Lst1,2.567116729853567,2.0882723228576276,True
0,7,ENSMUSG00000015340,Cybb,2.4053976584441408,2.0882655524266864,True
0,8,ENSMUSG00000056501,Cebpb,3.470115338352101,1.9318370016435704,True
0,9,ENSMUSG00000025492,Ifitm3,3.012390598531597,1.9145625579496937,True
0,10,ENSMUSG00000038642,Ctss,2.4119772812551705,1.8713591221856931,True
0,11,ENSMUSG00000072596,Ear2,1.7649276824898956,1.7183787897943261,True
0,12,ENSMUSG00000027447,Cst3,3.4057340133042375,1.7091301427681607,True
0,13,ENSMUSG00000004207,Psap,3.220964360705092,1.7062003449365322,True
0,14,ENSMUSG00000020681,Ace,1.9705912218359876,1.6674679432356112,True
0,15,ENSMUSG00000030413,Pglyrp1,2.1382537393653687,1.6626309066208473,True
0,16,ENSMUSG00000024621,Csf1r,1.8836998038671233,1.6597919435320958,True
0,17,ENSMUSG00000021939,Ctsb,2.588227547274148,1.6543889662754818,True
0,18,ENSMUSG00000025283,Sat1,2.505478369610861,1.6216453156203319,True
0,19,ENSMUSG00000008496,Pou2f2,1.76973697222954,1.5215419360835525,True
0,20,ENSMUSG00000028581,Laptm5,2.6831900744645063,1.4562053651916058,True
0,21,ENSMUSG00000044811,Cd300c2,1.6327216229901826,1.4165686318911266,True
0,22,ENSMUSG00000022148,Fyb,2.045943036121278,1.396681543209835,True
0,23,ENSMUSG00000029322,Plac8,1.7671925688454928,1.394826255844299,True
0,24,ENSMUSG00000060063,Alox5ap,2.0883711766728683,1.392864629432514,True
0,25,ENSMUSG00000032915,Adgre4,1.4329763641657909,1.3844579474109782,True
0,26,ENSMUSG00000043832,Clec4a3,1.4933016593914388,1.3838071943952301,True
0,27,ENSMUSG00000002111,Spi1,1.9227411343662206,1.3788288885803912,True
0,28,ENSMUSG00000030830,Itgal,1.8172772939293838,1.3780692281717721,True
0,29,ENSMUSG00000034641,Cd300ld,1.591812426147382,1.3734821211947483,True
0,30,ENSMUSG00000018927,Ccl6,1.863040719458387,1.3570774968712453,True
0,31,ENSMUSG00000030707,Coro1a,2.804148783553238,1.319217026815549,True
0,32,ENSMUSG00000050708,Ftl1,4.191315592813098,1.3148189060612396,True
0,33,ENSMUSG00000023034,Nr4a1,2.795027337722049,1.3135795739884082,True
0,34,ENSMUSG00000006519,Cyba,2.6692510864212493,1.3060240832738899,True
0,35,ENSMUSG00000024610,Cd74,2.7623213623796614,1.283617239466133,True
1,1,ENSMUSG00000069516,Lyz2,5.1598537067885655,4.516245735294882,True
1,2,ENSMUSG00000024610,Cd74,4.078486331065746,2.675926132235028,True
1,3,ENSMUSG00000030579,Tyrobp,3.591368257247311,2.466622234779826,True
1,4,ENSMUSG00000025492,Ifitm3,3.3807118172619246,2.321489896151197,True
1,5,ENSMUSG00000039109,F13a1,2.294379887802744,2.261289688054695,True
1,6,ENSMUSG00000026628,Atf3,3.2294469024480708,2.2347396793407177,True
1,7,ENSMUSG00000058715,Fcer1g,3.0881322933484325,2.2117856250617156,True
1,8,ENSMUSG00000004207,Psap,3.6109084045097277,2.1334496399376546,True
1,9,ENSMUSG00000038642,Ctss,2.6167467294337245,2.1065662125123885,True
1,10,ENSMUSG00000056501,Cebpb,3.6075597395092154,2.0972269301838287,True
1,11,ENSMUSG00000060063,Alox5ap,2.731765553355217,2.0819933326565856,True
1,12,ENSMUSG00000015340,Cybb,2.3559367656707764,2.0597041315232527,True
1,13,ENSMUSG00000050335,Lgals3,2.6685935629749147,2.0219048348832445,True
1,14,ENSMUSG00000036594,H2-Aa,2.8877875888808293,2.021726052396154,True
1,15,ENSMUSG00000049103,Ccr2,2.1999789230784033,1.9976593575464632,True
1,16,ENSMUSG00000026728,Vim,3.829820158447753,1.9918636104277994,True
1,17,ENSMUSG00000029322,Plac8,2.3188070945371213,1.9878826757094314,True
1,18,ENSMUSG00000079419,Ms4a6c,2.132118787440216,1.9866356564093703,True
1,19,ENSMUSG00000051439,Cd14,2.3764866946341487,1.959744390268388,True
1,20,ENSMUSG00000073421,H2-Ab1,2.7206322808606016,1.9251999510739934,True
1,21,ENSMUSG00000026193,Fn1,2.2785857239215157,1.846438756919476,True
1,22,ENSMUSG00000027398,Il1b,2.8997487179018346,1.8291639941733648,True
1,23,ENSMUSG00000063856,Gpx1,3.117388795085886,1.821537940995762,True
1,24,ENSMUSG00000046805,Mpeg1,2.0282002220676523,1.7636529369200817,True
1,25,ENSMUSG00000030214,Plbd1,1.9467468818279472,1.6958298886363934,True
