cluster,gene_symbol,mean_log_expression,fraction_detected
0,Epcam,0.010815306574352517,0.007231404958677686
1,Epcam,0.002205830032141051,0.003943217665615142
2,Epcam,0.3814393243431544,0.3161764705882353
3,Epcam,0.25760656440412844,0.14285714285714285
4,Epcam,0.03852038448186297,0.04111842105263158
5,Epcam,0.1872014821843898,0.18723404255319148
6,Epcam,0.026830936733045076,0.05263157894736842
7,Epcam,0.0075336919463236274,0.005017921146953405
8,Epcam,0.01393297803170769,0.010611050128064398
9,Epcam,0.06806372940963042,0.04550827423167849
10,Epcam,0.012292284451558918,0.005988023952095809
11,Epcam,0.040435605325972616,0.03250303766707169
12,Epcam,0.002758633190384264,0.0015408320493066256
13,Epcam,0.019421802726510454,0.01643835616438356
14,Epcam,0.00836927116411291,0.0037678975131876413
15,Epcam,0.004391252027452798,0.0018929150892374256
16,Epcam,0.023090087327381107,0.013422818791946308
17,Epcam,0.0,0.0
18,Epcam,0.009635802658124902,0.022988505747126436
19,Epcam,0.006383776960015212,0.003538570417551309
20,Epcam,1.0841349349013734,0.6432246998284734
21,Epcam,0.9418575942037575,0.5502008032128514
22,Epcam,0.0,0.0
23,Epcam,1.4386769832037782,0.7430488974113135
24,Epcam,0.03217284318779697,0.025210084033613446
25,Epcam,0.007835744843592663,0.005412719891745603
26,Epcam,0.007519233812633743,0.007326007326007326
27,Epcam,0.004510843837764901,0.007042253521126761
28,Epcam,0.010033319855845251,0.023255813953488372
29,Epcam,0.3289019301929305,0.4336283185840708
30,Epcam,2.586490258425969,0.9966777408637874
31,Epcam,0.0,0.0
32,Epcam,0.0,0.0
0,Krt18,0.007545488925019572,0.006198347107438017
1,Krt18,0.004278747488271551,0.00473186119873817
2,Krt18,0.012066288780765374,0.01365546218487395
3,Krt18,0.6803341879473104,0.2857142857142857
4,Krt18,0.005060749373545772,0.006578947368421052
5,Krt18,0.0,0.0
6,Krt18,0.0,0.0
7,Krt18,0.009938275984965772,0.005017921146953405
8,Krt18,0.008191845027073548,0.005122575923893158
9,Krt18,0.01354934888105866,0.01182033096926714
10,Krt18,0.00775464494785149,0.0029940119760479044
11,Krt18,0.0027464301045870866,0.002430133657351154
12,Krt18,0.0037176928645106053,0.0023112480739599386
13,Krt18,0.0,0.0
14,Krt18,0.012464505483444778,0.006028636021100226
15,Krt18,0.008446619373969351,0.003515413737155219
16,Krt18,0.07861732156484719,0.03355704697986577
17,Krt18,0.0,0.0
18,Krt18,0.0,0.0
19,Krt18,0.017990107833284565,0.009907997169143666
20,Krt18,1.704810819075815,0.7238421955403087
21,Krt18,1.7815958906608413,0.8032128514056225
22,Krt18,0.034975323795287075,0.028925619834710745
23,Krt18,1.404672813952712,0.716203259827421
24,Krt18,0.9749191613758311,0.6638655462184874
25,Krt18,0.016904023245319786,0.008119079837618403
26,Krt18,0.011566422288379972,0.007936507936507936
27,Krt18,0.02045970063813975,0.014084507042253521
28,Krt18,0.0,0.0
29,Krt18,0.05007866453544228,0.08849557522123894
30,Krt18,3.507827953642785,1.0
31,Krt18,0.0,0.0
32,Krt18,0.44372807849537244,0.18181818181818182
0,Krt19,0.03625266001490522,0.01859504132231405
1,Krt19,0.0009162932728367273,0.0007886435331230284
2,Krt19,0.004550836886427984,0.0063025210084033615
3,Krt19,0.16169266422073564,0.07792207792207792
4,Krt19,0.004513381539206756,0.006578947368421052
5,Krt19,0.0,0.0
6,Krt19,0.1052170050771613,0.05263157894736842
7,Krt19,0.0031341862507618455,0.002867383512544803
8,Krt19,0.0021486703703092035,0.0010976948408342481
9,Krt19,0.0031379238651717527,0.0017730496453900709
10,Krt19,0.008101237034369371,0.0029940119760479044
11,Krt19,0.0010719642061219614,0.0009113001215066828
12,Krt19,0.003558592362837358,0.0023112480739599386
13,Krt19,0.0,0.0
14,Krt19,0.0,0.0
