feature_id	label	selection	primary_logFC	primary_FDR	LOMO_min_logFC	LOMO_max_logFC	LOMO_same_direction	LOMO_n	LOMO_FDR05	LOMO_min_FDR	LOMO_max_FDR	LOMO_max_abs_change	S061_logFC	S061_FDR	S135_descriptive_log2_ratio
ENSMUSG00000026971	Itgb6	frozen_marker	-0.811384330855072	0.143215839482932	-1.01575764504	-0.683424955973478	10	10	0	0.0649701324612951	0.517371805210317	0.2043733141849281	-1.02418611288566	0.0933828897443193	-0.624425581486138
ENSMUSG00000049382	Krt8	frozen_marker	-0.565972926844468	0.170847337792879	-0.719942380521246	-0.436186113807354	10	10	0	0.0676078007818511	0.54884328767161	0.15396945367677806	-0.934391932616798	0.0764904332594308	-0.168316642829599
ENSMUSG00000020911	Krt19	frozen_marker	-0.604238049998378	0.206089701267462	-0.77543320215976	-0.429567213771264	10	10	0	0.0591156555460318	0.593440328810704	0.17467083622711405	-1.1533694284642	0.0567395306688401	0.0495815668378474
ENSMUSG00000047501	Cldn4	frozen_marker	-0.980733302945048	0.115684224327714	-1.18707408351938	-0.8063861082748	10	10	1	0.003315345000562	0.476186789927246	0.20634078057433203	-1.35064396569112	0.0177651502472705	-0.534624578553509
ENSMUSG00000015452	Ager	frozen_marker	0.255461442095947	0.707328896478624	-0.120784733019978	0.44691538190527	9	10	0	0.34899978679135	0.903262841555305	0.376246175115925	0.2010035948401	0.813390591978973	0.177440346611686
ENSMUSG00000022097	Sftpc	frozen_marker	0.659063588926568	0.387363335290008	0.225132414177149	0.831374741749216	10	10	0	0.182515029691227	0.706399381726154	0.433931174749419	1.04980385903542	0.191965522861751	-0.0846232332872033
ENSMUSG00000023067	Cdkn1a	frozen_marker	-0.902880759378536	0.104132329142235	-1.05453428237843	-0.806287150466349	10	10	1	0.0124330862842558	0.420622557762362	0.1516535229998941	-1.09044422554595	0.0374723932675034	-0.809389968799161
ENSMUSG00000023039	Krt7	frozen_marker	-0.52551846419124	0.127528303291277	-0.592253540623019	-0.497234651664392	10	10	0	0.0523475939543602	0.476186789927246	0.066735076431779	-0.626909888817109	0.0903443613971059	-0.564926321089835
ENSMUSG00000023905	ENSMUSG00000023905	post_selection_primary_FDR_hit	-1.96473303980128	0.002613420400004	-2.08330277304743	-1.89696295279655	10	10	9	0.0001860143515275	0.0583120614958055	0.11856973324614994	-2.21592600775871	0.0029402259568634	-1.32717696052474
ENSMUSG00000024529	ENSMUSG00000024529	post_selection_primary_FDR_hit	-2.28222863822958	0.0013022751904229	-2.38105717687601	-2.13501206531138	10	10	10	0.0001860143515275	0.0129912907458757	0.14721657291820023	-2.43909241772363	0.0029402259568634	-1.842831938985
ENSMUSG00000024912	ENSMUSG00000024912	post_selection_primary_FDR_hit	-2.20633280982973	0.0347307233301058	-2.40508944220926	-2.08895494104146	10	10	4	0.0013476211017748	0.306141383181638	0.19875663237953	-2.37130832798286	0.0083942794374218	-1.43102128281307
ENSMUSG00000026479	ENSMUSG00000026479	post_selection_primary_FDR_hit	-1.16208689811942	0.0103215131105945	-1.29096749333615	-1.06536563170442	10	10	6	0.0032305935348726	0.103152835984364	0.12888059521673	-1.50083479364821	0.0121267838373488	-0.829422085627526
